LGALSL
TMEM40
TREML1
RP11-152K4.2
F13A1
MRVI1
RP11-930O11.1
DGKG
PF4
PKHD1L1
NRGN
HPSE
CMTM5
LY6G6F
NLRC5
GP6
NEXN
EGF
MYOM1
TSPAN9
FLNA
CALD1
THBS1
RP11-556I14.2
RASA3
RUFY1
MYLK
ITGB3
HLA-E
TLN1
CLEC1B
GP1BA
SELP
LINC00504
GNB5
ANO6
SDPR
CDC14B
DGKD
GP9
ELOVL7
TMEM91
SH3BP5
PDE5A
CPA3
VCL
UBASH3B
ZYX
SLC9A9
MYH9
BZRAP1-AS1
ITGA6
CNST
LIMS1
MCTP1
ACTN1
RP11-556E13.1
GPX1
CCNF
ADCY6
ARHGAP21
GSAP
RP11-417O11.5
BANK1
GSN
RGS18
MAX
YWHAZ
RASGRP2
ASAP2
FERMT3
MKI67
BIN2
DNM3
LAT
GUCY1B3
FYB
C6orf25
FYN
RP13-726E6.2
ASPM
KCNT2
PRKAR2B
MYL6
MMRN1
OPHN1
PRKG1
VASP
PTPN12
TBXAS1
ARHGAP6
RAP1B
RREB1
KALRN
ACTB
ITGA2B
SLC37A1
HIST1H4C
RAB27B
LRP12
TAGLN2
COL24A1
FXYD5
CMTM6
TRPC6
F2R
EFHC2
PDLIM1
TTC7B
DOK6
PSTPIP2
TNIK
PLEK
TGFB1
TMSB4X
FUT8
KIF2A
ACTG1
NRIP1
ATP2A3
CLIP2
PLCB4
PFN1
LPP
ZFPM2
NLK
LCP2
HIPK2
CTDSPL
MTSS1
STAR
PIK3CB
LTBP1
MEIS1
HDAC9
ZBTB16
DOCK5
LRRC16A
GNAQ
MAP3K5
CD63
PITPNC1
PBX1
SRPK2
ZC3H12C
CELF2
RP11-290H9.4
F2RL3
RSU1
SH3PXD2A
EREG
LRRFIP1
IL6ST
RP11-127H5.1
HLA-A
ILK
SLC9A1
ARHGDIB
MEMO1
MYL12A
ACRBP
CENPF
ATF7IP2
NBEAL2
STIM1
PKM
INPP5A
MGLL
MAPRE2
CLIC1
DEPDC1B
ARPC1B
SH3BGRL3
MCU
EMILIN1
KCNK6
SRC
HIST1H2AC
PTK2
PROS1
RTN4
NDC80
UNC13D
INHBA-AS1
ATP2C1
RPS8
PAM
KIAA0513
KMT2C
TMPO
SNTB1
CFL1
MLEC
WDR1
TAOK1
CAP1
ARHGAP10
PLXNA4
ICAM2
IARS
ORAI2
GRTP1
RPS21
CNN2
RAB3C
PSME4
SKA2
LRRC8B
EEF2
PROSER2
SORT1
E2F3
RRM2
PIM1
GNG11
HMGB2
HDAC5
SERPINI1
TMSB4XP8
NT5C3A
CBFB
DENND2C
NOTCH2NL
SPARC
LOXL3
YES1
PDS5B
WDR43
NPR3
R3HDM2
ESAM
RPL5
CORO1C
FKBP5
CKAP2L
TACC3
CDCA2
EIF5
RPS4X
SIDT1
MLC1
ALDOA
AC011043.1
ECE1
GNB2L1
NID1
ZCCHC7
DHCR24
KIF18A
RPS23
RPS16
LHFP
KLHL6
ATP2A2
CCND2
INF2
ALOX12
PHACTR2
PPIB
HMMR
XYLT2
RPL18
ATP6V0A2
LIN28B
DEK
TACC1
SLC39A3
SAMSN1
CXCL3
FHOD1
CASS4
RPL38
RPL34
IPO7
RASAL2
PTGIR
IL16
TMEM164
RAB30
DNM1L
EEF1B2
E2F7
C15orf26
JAK3
TBC1D4
RP4-756H11.3
EXOC3L2
RPL28
ARPC2
STAT5B
PDLIM7
PRR11
DNA2
AC093415.2
RPS6KA5
C7orf41
TPM1
HLA-C
ME2
KLF12
TMEM63A
GFOD1
CST3
TSPAN33
RBPMS2
ITGA2
RPL31
SEPT5
PDIA5
ATXN2
PIK3R6
PAPSS2
C10orf54
RPL32
NCL
RILPL2
CKAP5
CYBA
TC2N
RPL35
TPST2
TFEC
LRRC32
RALB
FRY
KHDRBS2
SMAD3
NOTCH2
STXBP2
RDH11
RICTOR
EHD3
CALM1
RFTN1
RPS11
DOK3
PPIF
GJA4
ERBB2IP
SPECC1L
EIF3B
RBBP4
JAK1
XIRP2
SCARB1
RP11-69I8.3
KIFC3
MYCT1
SYTL4
MCF2L
SLA2
TXK
SIAE
NUDT3
DAB2
CA2
KCTD7
PLCXD1
ABI1
ADAM10
LINC00657
SMC2
ARPC4
TBXA2R
SGOL2
TGFB1I1
GPD2
ILF3
VWF
SAMD14
RPL17
MAGI1
EVA1C
PTPLAD2
GNAZ
ATR
DGKI
MBP
DARS
SHCBP1
ALPK1
RPS18
RPL9
ENPP3
SMARCA4
RPS24
CNTRL
SESTD1
RPL36
CDC42BPB
PTTG1IP
SAMD1
DNAJC9
RP11-466L17.1
IDH2
RPS14
RAB11FIP3
LRRFIP2
YIF1B
CDK1
TPM3
ATXN7L1
ACTR3
DDX21
SPINT2
AIG1
C2orf88
TJP2
GPX4
GNAS
CTSW
SRSF7
ZFAND3
BID
AC079807.4
MAGED2
CNTLN
PROM1
ZNF33A
ESPL1
EFCAB13
FAR1
CAMK1
HNRNPR
MDM1
IL18R1
DGKH
SLC23A2
PKD2
THUMPD2
PDGFB
SETD5
FAM63B
ISYNA1
LIPH
MCM3
MRPS27
SERBP1
LINC00984
HEXIM1
CYP11A1
PRKCSH
GABRE
STT3B
TMEM87B
RALY
SLC9A7
RP11-215G15.5
NCLN
TSPAN15
GLS
CHD1L
RP11-708B6.2
CAMTA1
PHKB
HPGD
KB-1507C5.2
HGSNAT
LAMC1
SLC4A7
PARD3B
CLIC4
POLR1A
TGOLN2
ANO2
SH3BGRL2
PRICKLE1
LGMN
PLCH1
SEMA3C
RPL35A
CCDC18
CYFIP1
MICU1
CSK
TPP2
CCNE2
LIMD2
NCKAP1
SPIN1
MPL
RAP2B
MEGT1
RP11-145G20.1
PTPLA
HTR2A
HMGB1
AC005682.5
VPS54
RP11-38P22.2
MRTO4
DOCK1
PBK
ACOT11
IPO5
ARF3
SNHG5
GALNT1
ADARB1
XPO6
LSP1
ZNF721
AHCY
RAB8A
NUP35
GDE1
USP22
PAWR
NUP54
PRKY
GCSAML
GOLIM4
CAPNS1
PISD
CLINT1
BCAP29
METAP1D
NCOR2
PRICKLE2
SUSD3
MARK4
MADD
GOLGB1
FCGR2A
RSL1D1
TRAM1
SEC24D
ATP8B2
PIF1
TK1
SMC3
OXR1
HPRT1
PIGN
RPL26
GABARAPL1
SIGMAR1
EPT1
BNC2
COMMD7
ANP32B
TBC1D1
TMEM55A
CPEB2
SF1
CERS4
AEBP2
SMIM12
NBPF10
CIRH1A
RP11-849H4.2
NRD1
DAZAP1
SGOL1
AFAP1
LIMA1
EIF5B
ANKRD6
PFAS
ALDH18A1
PIGX
C19orf33
WDR36
HSPB1
LYRM7
KLHL8
KLF9
CASC4
QKI
MBD3
RANGAP1
CTNNB1
TUBA8
CMTM4
MGAT4B
MYBBP1A
TRAPPC6B
NMRAL1
SLC29A2
TPTEP1
LIN54
UBE2J1
KIAA0368
HCLS1
KALP
AHCTF1
AIF1
PABPC4
CAPRIN1
SERPINE2
EML2
RPS27
ATP5G1
SLC30A6
GAS2L1
TNFRSF14
P2RY1
MBNL3
H2AFX
LINC00211
ACTN4
GUF1
ATAD3B
PIP5K1C
INSIG1
TBC1D9B
HNRNPH1
AKAP1
THOC2
CNPY2
RPRD1A
SREBF2
MFNG
SDAD1
RP11-413E1.4
PPP1R14A
PARP15
SCCPDH
HMGN3
HNRNPLL
ARHGAP35
EPB41L2
TUBA1C
PLXNB3
NCOR1
NARG2
TRIM13
RPA2
PSPH
LEFTY1
SERPINB9
CCT4
RP11-541F9.2
LINC00963
KLHL23
RPL22L1
XRCC6
AC026806.2
CXCR2P1
DKC1
SSRP1
NUDC
FBXL5
GIT1
RP11-152L20.3
CRISPLD1
CRTC1
UBC
EEF1A1
RHOG
FDPS
ADSL
GP5
SPAG5
CERS2
ACSL5
TIE1
CASD1
SNX24
DOK2
TBCA
TWSG1
SSFA2
P2RY12
BLMH
ELF1
GIPC1
RP11-81H14.2
FANCB
UBE2T
NBN
TTC37
ATP5A1
GAR1
IL21R
SLAIN2
PATZ1
PLOD2
PUM2
ARHGAP1
CCNA2
VWA5A
JUND
KIAA1468
RHOC
C11orf30
LRR1
ERMP1
NDUFS5
SOD2
CDC42SE1
EIF4G2
ZSWIM7
PTP4A3
RP11-554F20.1
NOP2
ANP32E
DCAF5
HAUS1
LACE1
TKT
ITGA5
MAP2K2
PTPN13
PKP2
FAM212A
TOR4A
ULK2
PHB
TMEM50A
PARP1
SNRPD1
PRR5L
AP1G2
SOX12
CPT1A
WAS
ANKRD18DP
DOCK7
PSMD14
CMTM2
PHKA2
CENPT
CCDC85B
SNURF
DERA
PCBP2
PREP
CCT7
ERGIC3
SESN1
STX1A
ACTL6A
HOMER2
TRIM8
AC004053.1
BDH1
BCAT2
NGFRAP1
CATSPERB
POLR3G
USP1
OCIAD1
GUSBP5
KDSR
ORAI1
PELP1
MTHFD2L
VOPP1
ARSG
WDR5
WDR74
SP1
PLP2
NUP43
VANGL1
LYL1
PRPS2
NR4A1
PFKFB3
SLC15A2
RP11-361F15.2
FEZ2
PTRH2
HIST1H2BK
RP11-321N4.5
EIF3D
HBEGF
PTPN11
RP11-879F14.2
C3orf52
COMT
SCAMP2
FBXL14
B4GALT2
C1orf95
LONP1
PRKRA
CAPN1
RP5-977B1.11
NT5M
FGF2
PRMT1
DCAF16
TWF2
MGST1
SIL1
KLHL42
CLDN5
CERS5
STRA13
CPSF3
PLAT
RARS
CENPJ
PRPF3
ENOPH1
CUL5
C21orf33
HEATR2
SEPT7
RP11-706O15.1
QTRTD1
NSUN4
KCNK17
PVRL1
CDC20
PLEKHJ1
RP11-155G15.2
CSNK1G2
CITED2
MZT1
DBNL
APPL1
C11orf21
LIMK1
C17orf89
GSTP1
GPATCH4
VDAC3
ESD
PDIA4
MRPS34
KIAA0930
ETF1
TBRG4
AL627309.1
ABCE1
RPS25
FAM195A
MED14
SENP3
ABHD4
BBS5
CD2AP
LSM7
LRRC34
OST4
CA3
PHPT1
MTPN
PPAN
IDH1
CTNS
SFXN5
PA2G4
LCN2
SNX29P2
NUDT19
UACA
GOLM1
PTP4A2
ERGIC2
ATXN7
PLTP
PGLS
BICD2
TMEM141
RP11-642D21.1
SHMT1
MTFMT
CNDP2
RBM28
RP11-197M22.2
MAFG
SPTSSA
NOD1
IKBIP
NSMCE1
RASGRP4
CCNI
USP46
RP11-252A24.2
ANXA3
CTBP1
ZNF785
TEX264
PLEKHG2
GPSM3
ITFG3
ATG4C
RP11-630C16.2
GNL3
CTA-445C9.15
EXOC3L4
GTPBP4
RSAD1
TMEM220
PPAPDC1B
RPL6
TRIP10
PLEKHO2
CD7
RPS7
GPALPP1
AP003068.23
ARF1
CD151
FHL2
TEP1
WDFY3
MAPK9
