RP11-266K22.2
SLC25A21
RP11-57H12.2
RP1-90G24.10
RP11-537P22.2
RHCE
THEGL
PPAPDC1A
RELN
C17orf99
SOX6
ANK1
KREMEN1
MIR144
GYPA
SPTA1
ALS2CR12
SPTB
SLC6A9
SLC4A1
TMEM56
ACSBG1
ADD2
SLC25A37
SEC14L4
ART4
EIF5AP2
TRIM10
RFESD
GYPB
RP11-57H12.6
ABCC13
FHDC1
DNAJA4
OSBP2
ABCB10
ALAS2
ATP1B2
SELENBP1
HBB
HBZ
CPOX
ZNF385B
PRDX2
PPME1
SLC2A1
TRAK2
CD46P1
ESPN
AHSP
EPB42
ALAD
RHD
ERMAP
GYPE
TSPO2
ACSL6
FECH
SLC30A10
AQP1
UBAC1
KEL
TSPAN5
HBG2
SLC38A5
CCNE1
TFRC
KLF1
PIGQ
TANGO2
CR1L
RP11-486A14.2
HMBS
CTSE
HBG1
RP11-541G9.1
FAM210B
NFIA
HBM
CROCCP2
EPOR
RNF123
CTA-363E6.6
STEAP3
DHRS13
CTA-392E5.1
HEMGN
SLC25A39
TFR2
SLC22A4
TMOD1
BLVRB
HBA1
HBA2
SLC14A1
CDC27
MGST3
EPB41
RHAG
SLC43A1
ZNF273
TSPAN17
PPOX
LPCAT3
GYPC
HAGH
ATP7B
BSG
HEBP1
SLC36A1
GDPD5
ANKLE1
ARHGAP23
NCEH1
PIK3R2
UROS
PIGC
EGFL8
AMMECR1
TXNDC16
GCLC
KIF18B
BPGM
SLC22A16
HECTD4
SLC16A9
E2F2
TMEM14B
OAT
RP11-673E1.4
FBXO7
STX2
RCL1
HIF3A
CCNF
AP2A1
C16orf95
TNS1
MFHAS1
SLC29A1
AGPAT4
USP32
CDCA8
CAT
PIP5K1B
HMMR
HIRA
NUSAP1
KIF15
FAM211A
MYL4
NARF
DLGAP5
CA8
RMDN3
GLRX5
YPEL4
DIAPH3
DPY19L2P2
FAM178B
GBGT1
XPO7
CYBRD1
SNCA
CASC5
LGR4
RP13-726E6.2
BTRC
CAPRIN2
COL18A1
ZHX3
STRADB
NPRL3
SEC22C
BUB1
SREBF1
TMEM63B
NAPEPLD
CAMKMT
RP11-734I18.1
ABCC5
MICAL3
TESC
TMEM57
ZNF451
USP15
FAM117A
AKAP7
TMEM120B
TFDP1
FAM73B
PKDCC
C21orf58
MORC3
MARK3
KCNN4
DDI2
CDCA2
FAM104A
PARPBP
ZNF367
KIF18A
MINPP1
WHSC1
KIF23
KIF2C
NRXN3
ABCA7
KIF24
FAM13A
ADIPOR2
NDC80
AGFG2
FOXM1
CNNM2
GTSE1
ZDHHC14
SPECC1
NCAPD3
VRK1
EIF2AK1
CENPE
NCAPG
DCUN1D1
SLC2A14
RUNX1T1
GCLM
EPN2
AKAP8L
AGO2
CLSPN
MELK
ATG2B
MBOAT2
TMCC2
OTUD7B
TOP1
KCNH2
CENPI
NSMCE2
RBL1
BUB1B
UBE2O
KIF11
TBC1D22B
XK
DMTN
CDC42BPA
WRN
STRN3
MYH10
NMNAT3
RRM2
ICAM4
KIF4A
CIT
FAM83D
UGGT1
DCAF6
PLSCR4
PGRMC2
SGK1
TESK2
CTD-2116N17.1
CTD-2561J22.5
RNF215
HERC2P2
QSOX2
NCAPG2
C2orf48
KIAA0101
RP11-420A23.1
CHPT1
RGS6
DENND4A
GAPVD1
FBXO9
DEPDC1B
KATNAL1
FANCC
ATAD2
MAP2K3
CEP152
ASPM
CDK5RAP2
CD36
NEDD4L
KAT2B
ATAD5
METAP2
H1F0
HK1
C2CD3
TPX2
GAB1
MGAT3
JAZF1
MICAL2
SLC11A2
FANCI
CDC25C
MMS22L
LCOR
DNAJC9
LBR
ANKRD9
DPF3
SKA2
SLC7A1
SUCO
STIL
KLF3
SLC1A5
TMEM14C
UROD
CD58
PRC1
ST7
SLC43A3
RAD23A
INSR
UBR2
BSDC1
ZNF37BP
FAM65C
MCM4
EZH2
BLM
KIF14
ATP6V0A1
AC004158.2
LIN9
GMPR
FAXDC2
TMEM245
ARHGAP11B
RAB3IP
STAG1
CEP57L1
NCAPD2
TGM2
MICALL2
FBXO18
WDHD1
SPC25
CASP8AP2
ACHE
CTCF
IPO11
HP1BP3
DCAF11
CENPF
ABHD5
CEP192
KDM4C
MARCH8
PTPRA
SGMS1
MARCH3
LARP1
FAF1
FANCA
RP1-167A14.2
MYO19
TOP2A
FCHO2
CAPZA2
SRPK1
ANO10
GALNT10
ST3GAL2
AC069277.2
EDIL3
DNA2
KIAA0232
RHOT1
ARHGEF12
RSRC1
RBM38
STK11
VWA8
RIF1
MLTK
CLCN3
CTBP2
FBXO34
POLQ
HDGF
RAPGEF2
KIAA0922
TAF4B
MAN2A2
POLA1
ADD1
CENPP
CCDC14
LINC01036
ST7-OT4
POLE2
MXI1
WNK1
SRSF4
ASH2L
LDB1
KNTC1
SNX22
DNAJC6
MYBL2
VPS13B
MFSD2B
PTH2R
DTL
PKP4
RFC3
RPL17P50
RP11-120D5.1
SYNGR1
BRIP1
HERC1
ZBTB7A
CCDC68
RP1-193H18.3
CKAP5
FANCD2
ANP32B
BRCA1
RNF19A
PICALM
CENPK
USP6NL
NFE2
ENOSF1
APOLD1
UBR1
RHBDD1
EPS15
FRYL
STAM
C4orf21
SMC4
CDC7
CDH1
TLN2
TRIM58
IGF1R
LIN52
ZNRF2P2
NUP153
DLEU2
NBAS
DENND1A
NUP210
MKI67
ELF2
BCL2L1
AHSG
CRADD
MOB1B
RABGAP1L
DPY19L1P1
SSX2IP
ST3GAL3
MTMR3
COL4A5
ZFPM1
PEAK1
AFP
CLTC
LEPR
MPHOSPH9
DPH6
NME4
PPT2
BNIP3L
KIAA1524
MXD3
SPC24
RFX2
RANBP10
RRM1
PTPLAD1
DSTYK
FAM118A
PYGO1
NAP1L4
PIEZO1
AMBRA1
RP11-712B9.2
UBE4B
PSMF1
RAD18
NEK1
AK7
IMMP1L
EHBP1L1
TTR
PPARA
CTNNAL1
GALNT5
NUF2
CHAF1A
USP14
MLF1IP
KDM6A
OIP5
GLYR1
GTPBP2
TMPO
NFIX
ANLN
GPSM2
RP13-726E6.1
DHRS7B
NUDT4
RAP1GAP
EXO1
MCM8
CTC-260E6.6
DYRK3
RP11-146I2.1
SEC62
CTD-2541M15.1
TACC3
TRIM33
SS18L2
FAM20B
ATG14
CKAP2L
RP11-48O20.4
AURKA
NUP160
IARS
GEN1
SMAD6
ARL6IP6
KIAA1328
RP5-867C24.4
ECT2
TROAP
EZH1
KIF22
CUL4A
MRPS9
ROR2
RAD51
FGFR1OP
RP11-215N21.1
GABPB2
RACGAP1
SETD8
CTD-2659N19.10
PHOSPHO1
PLS1
LIG1
NEIL3
FGFR1OP2
ABCB7
TTC25
CKAP2
RP11-57H12.3
WDR76
MT1H
CTD-2201E18.3
ASXL2
NCAPH
MND1
C18orf25
UBE2K
A4GALT
PPIP5K2
PBK
GAS2L3
KIF20B
RAD54L
PSMD9
PKMYT1
CRB1
PCNT
RBX1
WEE1
FAM132B
RAD54B
PRR11
E2F4
GALNT6
G2E3
ELOVL1
PCMT1
DCAF12
MCM10
EP300
PDCD10
SLC25A42
ESPL1
IFT80
LCLAT1
ABCB6
KATNBL1
MST1
WDR26
POC1B
DBF4
RP11-382A20.4
LIN54
PPP1R12B
PPP6R3
SRSF2
MTBP
MED25
LRRN2
SKA3
RNF121
BIRC5
FABP1
SLC48A1
ILKAP
RP11-511B23.2
TPGS2
RCCD1
PAXIP1
HBQ1
PLK4
AP2B1
NCOA4
ATG9A
PAQR9
UBR3
ARVCF
H2AFV
PCCB
KIAA1009
OPA1
C1GALT1
SASS6
CASC7
GATA5
TBCEL
ALMS1
AC002116.7
BRCA2
USP49
DCAF10
RP11-58H15.1
SLC6A8
TTLL12
HTRA2
ANKRD18B
BCAP29
CDC45
FLCN
GINS1
HECTD1
PRMT3
TDH
LINC00884
RP11-626H12.1
PSMD1
MCM7
TNPO2
RP11-178L8.5
XG
WDR62
C6orf89
SLC37A4
IPO9
RNF144A
SCAF4
ASF1B
SP4
GART
ESCO2
SLC25A38
KIAA1715
RECQL4
IFT122
ZER1
SLC25A17
TSTA3
SMIM1
ATG4D
BTG3
ZCCHC8
E2F7
MPDU1
USP7
ACSS1
C1orf63
MGME1
HMGB1P30
ORC1
ORC4
SMIM5
GPR89A
SLC2A1-AS1
TNFRSF19
GYG2P1
CA1
IP6K1
REXO2
KIAA1586
KRT13
ERI2
UBE2H
YIPF6
GPLD1
RMND5B
TTPAL
MOSPD1
CTA-714B7.5
CNOT10
ARHGAP11A
SUPT16H
GBF1
TCP11L2
SPAG17
AFMID
U2SURP
DCUN1D4
PCNA
CDCA4
PPP2R1B
GUK1
LNX2
FN3K
FANCM
CENPO
ARL6IP1
MTMR12
CDK1
H2AFX
RP11-191G24.1
PHF7
SGOL2
UBE3C
ZNF678
CISD2
RILP
RP11-94A24.1
LONRF3
DDHD1
SGOL1
B3GALNT1
ELP4
TRIM59
IFT52
HJURP
PLEK2
SHCBP1
ANKRD32
CCDC15
TM4SF2
SMC2
ZNF788
ATG4A
ELMO3
LRRCC1
EEF1E1
TAF3
TM9SF3
DGCR8
RNF224
CCDC34
