TNFRSF10D
OLR1
CHST11
RUNX1
BHLHE41
CSF2RA
IPCEF1
SIPA1L2
ICAM1
MALAT1
RASAL2
ST6GALNAC3
DOCK4
RASSF8
SLC1A3
SH3RF3
GNG7
ARHGAP12
PLXDC2
BIN1
LHFPL2
RPS10-NUDT3
C3
PDPN
SLC8A1
PALD1
ITGAV
PAG1
B3GNT5
PDE3B
SERPINB9
MAP1B
PDE4B
NXN
ARHGAP24
CACNA1D
CD83
HIVEP3
NEAT1
IL1B
EGR3
MAML3
PCNXL2
PELI1
ATP2C1
AC069368.3
TTC28
CSF3R
HIF1A
SH3KBP1
ZEB1
RYR1
RP5-1043L13.1
SLC11A1
ARHGAP26
CCL4
CH25H
CELF2
ELL2
TPM4
CPEB4
SLCO2B1
RUNX2
TMEM2
TMEM117
NFKBIZ
LDLRAD4
PAQR5
GADD45B
UBE2E2
MTHFD1L
CCL3
SLC2A3
EPB41
FCGR2A
PCLO
DAGLB
RP11-353N4.5
TLR7
ITGAX
LCP2
SRGAP2
SLC2A5
ZFP36L1
NFKBIA
LIMS1
IER3
MARCH1
C4orf19
EML4
MAP2
CCL2
SMAD3
FOXN3
MKLN1-AS1
IRAK2
ZFP36
KB-1507C5.4
TUBA1A
STMN2
NRXN1
SCIN
IKZF1
C10orf11
RAC1
RNF122
PLVAP
PTPN1
TGFBR1
EGR1
ARHGAP25
H3F3B
BTG2
GLUL
SOD2
LPCAT2
ROBO2
SPRED1
EEPD1
RIN2
LRRC8C
ABI1
RHBDF2
FPR1
KIF21B
SUPT3H
FOXP2
AKAP13
CDKN1A
TGFBR2
PDE9A
HK2
HAVCR2
SKI
RP11-489O18.1
TSC22D2
CADM2
TNFAIP8L3
PLEK
RNF149
B4GALT1
RPS6KA3
MED13L
DENND4A
RANBP9
SOX11
RPA3-AS1
QKI
PANX1
ARL5B
ID2
RP11-557H15.4
DLEU7
IL3RA
SLC11A2
GOLGA4
PRKCH
ZBTB20
TEX14
GPM6A
EIF4G3
GAB2
DLEU1
NCAM1
MNDA
SMAP2
RP11-493L12.4
SKIL
KIAA0247
PTPRD
RP11-281P23.2
JUNB
NF1
KDM6B
GPCPD1
ITGAM
ETS2
GLS
SUZ12P
TUBB2B
CHSY1
EHD4
XBP1
NR4A1
TANC2
ITGB3
LRRTM4
ELAVL3
ETV6
NFKBID
CYTH4
NSMCE2
RP11-575A19.2
ELAVL4
FAM102B
BCL6
ZSWIM6
PPARD
PICALM
MGAT5
CCNL1
ARHGAP21
FCGR1B
LIMK2
PPP3CA
PACSIN2
ERBB4
RP11-381N20.2
P2RX4
NRG1
PCDH9
SLC25A37
OPRM1
KCNK13
DNM2
EML1
MSI2
TBC1D22A
GAP43
IRS2
RASA3
RBMS1
RALGPS2
RBFOX1
CEP170
CEACAM21
PTPRZ1
MIDN
OTUD1
AC006129.2
DHRS9
SGK1
EFNB2
CTD-2369P2.5
SDC2
ZC3HAV1
MAPT
NTM
GRIN2B
MALT1
CDK19
DAB1
CTNNA2
COMMD10
EXOC4
SPTLC2
RAB31
CLEC19A
PLK3
DLG2
CMYA5
RP11-578F21.12
KLHL6
TNFRSF10C
DPYSL5
IL1RAP
CKB
PRKAG2
KALP
AC069363.1
PACS1
TENM2
MIR503HG
SPATA13
SESN2
BCL2L1
PLAU
ARHGAP32
NPC1
VMP1
PLEKHG2
GRIK2
ATP13A3
CHIC1
TSPAN14
NRXN3
R3HDM1
CPA6
CHL1
GCH1
C15orf26
CXorf21
MCF2L2
COLGALT1
NLGN1
KIF1A
LRRC7
TULP4
ANKS1B
NEDD4L
TMEM52B
NUMB
CNTNAP2
SWAP70
CCNH
SOCS3
AFF4
FGF20
DENND5A
TGFB1
GALNT2
ADAMTS10
ROR2
STAMBPL1
MPP1
RP11-578F21.6
ANKRD17
CCSER2
CSRNP1
KSR1
RAB1A
USP9X
PTGER4
FRMPD1
RLF
EGR2
DLGAP1
MTA3
RAPGEF1
TBC1D5
GK
RP11-30B1.1
KCNH7
TBL1XR1
ARID1B
BTBD19
CRMP1
ARPP21
PDXK
LAP3
ALPK3
PITPNA
DACT1
SCG3
APLP1
LINC00461
ADCY1
SCRN1
ZNF423
FUT9
ZNF827
SLC12A6
DCLK1
AC022182.1
ZCCHC6
SLC7A5
ELOVL5
ALAS1
PLA2G4A
PEBP4
RGS16
SYT11
IL1A
BRE
XKR4
LINC00884
CUX2
ANKRD11
ZMIZ1
DCC
SCN3B
C12orf79
ARID5A
RASSF8-AS1
PIK3R1
ASTL
KIAA0408
DENND3
RAP2A
GRIA1
NSG1
ABCG1
NRG3
HIST1H2AC
YES1
SCFD2
MAP2K3
PTBP2
RP1-168P16.2
VPS13B
KLHL5
PPP6R2
MIAT
BVES
BCAS4
TCEB1
TRIM2
PDGFB
LILRB4
OSM
NEK10
DDX3X
PAFAH1B1
NCAM2
GRIA2
EML5
PCSK1N
MIOS
PPP3R1
IER2
RPS6KA2
MEMO1
OPCML
ZIC2
NCOA7
SATB2
STX4
ZNF536
CT49
C12orf52
EFCAB13
AC006129.4
PECR
RABGAP1L
NKAIN3
RP11-649A16.1
RP11-96H19.1
GRB2
MTHFS
NRG1-IT1
EPHA5
PTPRO
PCSK2
PROS1
LDHA
POU3F2
LMO3
AMACR
EPHA3
TBC1D2B
TNR
GPR84
MACROD2
PAK7
NDEL1
MEX3A
HIPK3
RHOQ
RP11-136F16.1
ELMOD1
ELMO1
IRAK3
SH3TC1
CLVS1
DCTN4
RP11-43D4.2
SV2A
DGKA
SOX2
FAM53B
SRGAP1
SPRY1
GRM3
RP5-1132H15.3
MYO10
RAB11FIP3
FLOT1
RBFOX2
NCKAP5L
SERPINB1
RP11-436D23.1
IL4R
JAK3
C5orf63
ZFAND6
SLC35F1
FABP7
ZFAND3
CDK5R1
RAB5A
SBNO2
AC017101.10
HECTD4
PLXNA4
C1orf61
CTC-467M3.1
AMBRA1
SOGA3
RP11-513G19.1
ST20-MTHFS
CSMD3
HIF1A-AS2
MIR24-2
CSMD1
NREP
UBE2W
SCO2
CACNB1
NCAN
CELF5
CDH18
CHD1
ADAM10
USP34
CELF4
APOC4
LCOR
DLL1
CNKSR2
NOTCH1
LRRC69
PLXNA2
LONP2
CPLX2
FBXW7
UBA6-AS1
SRCIN1
RORB
TTYH1
RP11-459E5.1
MIR155HG
SOX5
LY86-AS1
RP11-202H2.1
ENHO
FCGR1C
C10orf131
U3
BHLHE22
RN7SL368P
LUCAT1
TLR5
RAB2A
SBK1
PAQR3
CTC-265F19.2
ATP11A
SNTG1
CCRN4L
SMOX
SRRM4
TLE3
ST8SIA2
RP1-18D14.7
PRUNE2
PHF14
GRID1
SHISA9
UBE2F
ABCB7
TMEM109
NRG1-IT2
NRXN2
RICTOR
CTXN1
BCAN
FFAR2
CBLN1
SFXN5
GABRB3
DDX3Y
NFAT5
ISLR2
CWC27
PKIA
CSMD2
TRIM38
NBPF15
GRIK1
RP11-283G6.5
GRIA4
ATP6V0A1
RALGAPA1
BCAS3
AC084117.3
TTLL7
PEA15
MAP3K7CL
CTC-546K23.1
HPS3
MAP6
APC2
RP11-13N12.1
RP11-302M6.4
RP11-452H21.1
LY6H
MATK
RP11-1023L17.1
LRRTM3
MLKL
PDGFA
KIF21A
TNF
MIR29B1
MAP3K9
MARCKSL1
PTPRS
TRPM3
ZNF385C
GPR42
ARHGAP8
NUMA1
CLIP3
CDH4
PPP2R2B
NEURL2
CADM3
SYT14
RP11-283G6.4
HS3ST1
EBF3
CTD-2349P21.5
FARS2
MNAT1
DOK6
RP11-175P13.3
NIPAL3
RBM6
DPP6
MAPK8
AL592284.1
DHRS3
ATP8A2
AC007092.1
GBF1
AP000769.1
DOCK11
ERC1
CADPS
FYTTD1
CAP1
STRN3
TRAF1
HAMP
EIF4E
RN7SL600P
BTBD9
MGST3
COL15A1
FAM110B
SENP7
RP11-123O10.4
PCP4
PADI2
CATSPER2
KCTD8
MUM1
CACNA2D1
PPIP5K1
TNPO3
RALY
EPM2A
CLVS2
LPHN3
R3HDM2
KLHL29
CASC15
PHIP
PLEKHO2
ZNF644
LPPR5
MAP3K2
PRKAG1
LINC00264
BATF
SLAMF1
RP11-467L24.1
CCDC144A
IGSF3
PRDM8
NEK11
RIPK1
ST3GAL1
CABYR
C1QTNF3
AC132872.1
SLC1A2
GOLGA2B
RP5-1000K24.2
ZNF385B
PDCD4
AHCYL1
DGCR5
KDM3B
LINC00571
SNAP91
NTRK3
KHDRBS1
PGBD1
NKTR
SNCB
WNK3
RP11-156K13.3
RP1-34H18.1
HDGFRP3
RP11-177H13.2
HOMER1
FAM57B
IDE
SPSB1
AC092964.1
KDM3A
CTD-2006C1.2
RP11-196G11.2
TAF3
ZNF385D
GRM7
LRP8
MARK1
RNASEH2B-AS1
RFX2
SOCS5
CACNG2
UBE2H
SLC43A2
WWOX
AC003003.5
RP11-373N22.3
SENP5
ANGPTL4
PDZD4
AC061992.2
RP11-399K21.11
RALGPS1
JPH4
LRSAM1
DDX1
HOOK2
IFITM10
FRRS1L
TBC1D16
ASCL1
MAN1A2
SIVA1
TES
LINGO1
NSRP1
SELK
MCM7
FYN
UBAC2
HIST1H2BC
HIST2H2BF
RP11-439L18.1
MEIS3
CARS
