CCL21
TSPEAR
MPP7
IL7
TBX1
TFF3
PDPN
RP11-436K8.1
EFNA5
DTX1
LOX
PCLO
SCN3B
ABI3BP
PARD6G
DOCK5
KCNIP1
PTX3
PROX1
KIAA1456
LAPTM5
PROX1-AS1
OSBP2
SEMA3A
NTS
AC007362.1
GLIS3
TNFRSF11A
FLNC
RAB11FIP1
SGIP1
SERPING1
TSHZ2
FAM189A2
STON2
STK32B
GJA1
RP11-776H12.1
PRKAG2
PPFIBP1
PGM5
ISLR2
SGCD
FAM129A
FLT4
RP11-142C4.6
MAN1A1
FAM174B
GPM6A
NR2F1
PTPRE
MMRN1
PRSS23
PDE1A
GPR1
CCDC102B
CFI
SLC38A1
REEP1
RHOJ
SEPP1
LIMS1
SIRPA
WFS1
ACKR2
SHC1
CHRDL1
GRAP
TNFAIP8L3
NFATC1
TSPAN11
COL4A5
GALNT1
RBP1
NUPR1
DCHS2
RASSF9
RAB3IL1
KBTBD11
ANKRD36BP2
ARL4A
PDGFA
GPR146
RADIL
CELSR1
PLIN5
GJC2
RAB11FIP5
WNT5A
LRRN4CL
CTDSPL
MMP17
TSHZ3
REXO2
SLC38A4
PLEKHO2
TSTA3
TMEM246
TCTN3
NALCN
INO80C
CYP46A1
WASF3
PIK3C2G
LAYN
P4HA3
CATSPERB
SPHK1
SPATA6L
GLIPR2
TMEM140
SLC35E4
UGP2
UNC5A
BCL7C
PEPD
SLC41A1
PPP1R2
LRCH2
KLKB1
EFCAB4A
TGFA
NTAN1
BCL2L11
RP11-206L10.11
RTKN
FOXC2
CCDC152
ANO9
