IL1RL1
CPA3
LMO4
BACE2
HPGDS
ACSL4
EXOC6B
GRAP2
ARHGEF6
IL18R1
CNRIP1
KIT
TESPA1
PPAP2A
SLC24A3
TTC28
ISPD
CNKSR3
MITF
GATA2
AGAP1
EXT1
AFF2
ALOX5
GPR141
PAQR5
FAM19A2
ZNRF1
DENND1B
ZBTB20
ARHGAP15
KCNQ1
AHNAK
ARHGAP18
AC096559.1
AFF1
FOXP1
FGB
PELI2
FER
STXBP5
SOGA1
P2RX1
CPPED1
USP53
EMR2
GM2A
ADAMTS3
SMYD3
CTNNA1
POU2F2
DUSP6
ABCC1
VPS13A
SSBP3
CD200R1
HBS1L
DACH1
MIR4435-1HG
AC079807.4
ANXA1
MAP4K5
MCTP2
CD63
MIR181A1HG
IGF2
LPCAT2
BAZ2B
ST8SIA6
SORBS1
ARMC8
FREM1
MYB
ERG
USP48
SLC18A2
STAP1
MEIS2
PIK3R6
FTX
OCIAD2
FAM46A
SLC8A3
HPGD
BTK
DIP2C
NR4A1
NMT2
DLC1
ABHD17B
PLAGL1
FGG
CD82
CYP3A7
CSPP1
FAM222B
COL1A1
ECHDC2
MILR1
DUSP10
JAKMIP2
AC098617.1
ARFGEF1
ZNF704
RHOBTB3
RP11-297N6.4
ZNF846
PPM1H
TMEM173
EMID1
CCDC141
NREP
ANKRD27
MBD5
ABHD2
MAP2K5
SLC39A11
CTD-2561J22.3
AC004381.6
HDC
ADARB1
OSBPL8
EFCAB11
RPS6KA5
UBTD2
SCN7A
TVP23C
CCM2
CDK8
TNFSF10
RILPL1
FDX1
TSHZ3
ATP6V0A2
TPSAB1
PDE8A
MAGED1
RGS17
FRY
C1orf132
C14orf159
CNTLN
PNMT
KSR1
CCDC92
ALS2
RP11-63P12.6
TTC28-AS1
BTBD7
ROBO2
MIR181A2HG
TLDC2
CDKAL1
TSPAN7
ARSG
RP11-142A5.1
DYRK1A
SEPN1
HS3ST1
FAM172A
RP11-285F7.2
CUBN
ATP7A
CDK15
ADAM8
RGL2
TPSB2
KLHL13
TRANK1
STXBP4
SNHG14
SLC35D1
ZNF638
ALDH1A1
DDX26B
KLHL20
GS1-57L11.1
NDEL1
LGALS8
RP13-188A5.1
FLII
FAM129B
HLTF
RAD21
ZMYM4
CPSF1
TTC17
RASSF1
TIA1
ARSD
SLC22A18
BRE
UBA6-AS1
CYB5R4
C4orf48
HDAC3
NME8
SEC14L2
GIGYF1
DPY19L1
CDCA3
POGK
LIF
CMPK2
ZNF655
ZNF821
EPB41L1
RALGAPA1
STX3
NT5DC2
APOM
ZNF551
RP11-1023L17.1
CROCCP3
LLGL2
NRG1
TBCD
ELF1
RP11-254I22.1
SEPW1
CXorf48
ZBTB25
ZNF44
DPH6-AS1
RUSC2
GCSAML
RP11-706O15.1
HDX
LINC00954
UGDH-AS1
AKAP2
KLRG1
RP11-37B2.1
NETO2
IGSF8
HSD17B12
PIK3C2A
TTLL7
TP53BP1
BRWD3
ENPP3
RRP1B
TMEM108
DPY19L3
GGT7
BBS9
LAPTM4A
HS2ST1
GSK3B
SLC10A7
ASH1L
ANKIB1
C1QBP
HS6ST1
TROVE2
PARP4
ACKR2
COL5A1
ARHGEF2
TRPC4AP
RP4-717I23.3
SCD
TPTEP1
USP45
HMBOX1
IDI1
COL4A2
MAGI2
KANSL1L
UBE2I
TIE1
ANKAR
GALC
RBM10
EDNRB
CCT7
HCG18
RP11-297D21.4
CTD-2353F22.1
FAM35A
JPX
EXOSC8
EPDR1
ARMCX4
CRISPLD1
CADPS
ANKS1B
CDH12
ZNF618
RFX1
UNC5B
GPX7
QPRT
SPG20
ZNF626
DHCR7
KCNIP1
KCNK17
SLC4A8
RBM39
VPS36
CXADR
RP11-354E11.2
FAM83F
ATG2A
EEF1DP3
CTC-340A15.2
SLC35F5
ZNF737
RP11-212I21.4
HES1
LYRM4
DPYD-IT1
GNA11
RP11-707P17.1
TEAD1
PSMD2
LMBR1L
C11orf49
TST
TMEM44
LINC00886
RNF170
NPEPPS
TMEM220
TOR1AIP1
SSFA2
VWA5A
AC026188.1
PLAT
AF127936.7
UAP1L1
DHX15
FXR1
CTC-806A22.1
CTNNBL1
PIPOX
HOXB3
DECR1
PPP6C
KPNA5
RP3-370M22.8
MYO10
SAP30L-AS1
TTC14
COX16
RP11-473M20.9
PDCD5
CRBN
ANKRD50
ACTC1
PEPD
TMLHE
LRP6
ANKUB1
TRIP12
MYL7
ALG6
DDX17
PRUNE2
RP11-325B23.2
WDSUB1
TCAIM
PNPLA7
RP11-155G15.2
C14orf93
7SK
HSPB6
CCDC53
ZNF358
RAB38
PPM1D
LIX1L
MPI
MZF1
MTFR1
RP5-882C2.2
AAED1
MRPS25
GXYLT2
ZNF254
TCEAL3
NDST2
MORN4
SHPRH
AC004791.2
CACNA1I
HS6ST3
SEPT8
MFAP4
FAM213B
THSD7A
BMS1P5
RBM5
C4orf32
SOCS2-AS1
KIAA1549
CLC
DLG4
NIPSNAP1
SNCG
EFCAB14
FAM228B
RP11-692D12.1
PLAG1
CTD-2006C1.2
RP11-319G6.1
SNURF
GRK4
KRT1
PRG2
ARHGAP33
MS4A3
AC004980.7
SETD1A
TMSB15B
KLHDC8B
A2M-AS1
UBE2Q2
FLOT1
TXLNB
RBM12
FAXC
MGARP
CACNA1C
HEATR1
TMEM165
FAM120B
HNRNPL
SLC2A4
WBP1L
PTCH1
ATG9B
L3MBTL3
MECP2
ZNF815P
RP11-106M3.3
ITGB8
SPATA9
AP000662.4
STARD3NL
ITFG2
FERMT2
SLC26A2
RAD23B
EAPP
PLGRKT
CCDC125
DYNC2H1
SLC45A3
AP001055.6
PCNXL4
TMEM150C
ZNF274
MED4
AC011752.1
ZNF428
MAPRE1
SMAD5
NDOR1
RP11-361F15.2
SLC16A5
ZNF586
AC067959.1
NR5A1
HOTAIRM1
RP11-768F21.1
R3HDM2
TSPAN31
IQCJ-SCHIP1
SUN1
MYH7
TMEM106C
BBS4
AK9
ZRANB2
RFX8
ANKRD13C
MTRF1
LRRC8A
SCLY
DIXDC1
TMEM161B
RBM17
PCYT1B
HHIPL1
TULP3
RP4-769N13.6
RP11-166D19.1
GCAT
SLC37A3
ZNF318
SPIN4
NARF-IT1
AKR1E2
DPY19L1P2
SYCP2
RP11-349A22.5
YAF2
NHSL2
ERCC8
HSD17B7P2
RP11-423H2.1
TXN2
RP11-353N4.6
SLX4IP
SUV420H1
RNF43
ELP6
OSGIN2
PARN
UBE2M
EPB41L5
MRPL37
ICMT
CCDC30
SERPIND1
CACUL1
IFITM10
SREK1
FGF12
EPX
SUPT20H
ZNF160
HSD17B4
GTPBP8
MAPK6
EXTL3
LINC00680
ACAP3
YY1AP1
IMP3
RARRES2
GNA14
ZSCAN30
IREB2
CLK2
UBE2L3
AC011558.5
AC018737.1
RP11-229C3.2
MAT1A
C11orf83
PCTP
CDK2
SLC35A4
NHLRC4
RYK
DDX11-AS1
ZNF720
EIF3F
CTD-2231E14.8
HDHD1
HOXA5
GPSM1
TUBB4A
UBXN7
LINC00856
BPNT1
ZBTB40
VPS45
ZC3H14
NBPF23
JRKL-AS1
WDR92
RP11-303E16.2
ARL13B
GJA1
FBXO44
MYO16
ZNF135
PHF12
CTB-111H14.1
SLITRK4
AGPS
GOPC
WDR11-AS1
MMS19
AC016586.1
AAGAB
LAMA2
KCTD1
MAD2L1
CCDC173
RP4-655J12.4
ZSWIM8
EBNA1BP2
FXYD1
SLC35G2
SCAMP4
TNNI1
RP11-118B22.4
ANKRD10
HSF4
RP11-6B4.1
CTC-546K23.1
GNPTG
RP11-337C18.8
IDS
UCA1
IQCG
PBDC1
CTD-3032J10.2
EFNB1
TMCO1
SPAG6
MYL3
UPP2
SIGLEC20P
ANAPC13
CWF19L2
LINC00998
TSPYL4
RP11-473M20.14
FRS2
ST7-AS2
WDR48
EPHA3
CTSG
ZNF696
RP3-395M20.8
KCTD9P1
RAD9A
KPNA1
TMPRSS4
IL5RA
ASB1
GTF3C6
SEC14L6
RP11-326C3.12
RP11-856F16.2
CTD-2587H19.1
RP11-745L13.2
RP11-166B2.8
RP11-624J12.1
PHF10
CHKB
ADPRH
RP11-704M14.1
APEH
ZNF593
VILL
F8
TMEM260
RPS3AP34
ZNF440
SNTG1
STK25
SEPT10
RP11-447L10.1
BCORL1
AC008753.6
HFE2
CYP19A1
KIF27
RP11-287D1.3
FANK1
CCDC47
ZDHHC5
ZNF518A
GALK2
TECR
MTR
PES1
EIF2A
RSRC2
XRCC1
ENTHD1
TCTA
C12orf56
RP11-767N6.7
SCCPDH
NELFA
ADCYAP1
LEO1
RP5-1132H15.3
DMPK
GRIN2C
TFIP11
RGS13
PEF1
AGMO
AC144449.1
RSPRY1
BOLA3-AS1
ABTB1
ZFY
RP11-457K10.1
UBL7-AS1
CABYR
RP11-120M18.2
PHF6
C14orf1
SDCBP2-AS1
MRPS33
C7orf10
CYTH2
RP11-14I17.2
SRP9
PROSER2-AS1
DCAF15
CCDC7
PSMD5-AS1
RP11-196G11.2
MAN2C1
VASH2
ATF7
RP11-318M2.2
PRRC1
AMY2B
RP11-478C1.7
DDR1
NEK11
DTWD2
ZNF836
AC002117.1
EFEMP2
VPS33B
ZNF286A
PRDM8
TUBGCP2
NR2F2-AS1
ANKFN1
AC027119.1
TRIM32
THG1L
MRPL16
MAPK12
ZNF330
TAF1B
C1QTNF3
FAM124B
RPS11P6
CLASP2
SSH3
TNNT2
ADCY4
KLB
SLC9B1
AC004840.9
MRPL33
GMFB
STT3A
ETFDH
TMEM150A
IKZF5
B3GALTL
ALAS1
XXbac-B135H6.15
LINC00470
RP11-495P10.2
EED
UTS2
CTC-513N18.7
SLC10A4
ANO1
SHFM1
LINC01006
GSTM2
RING1
HRG
LMBRD2
MUM1
AC115617.2
ATPAF1
RP11-345M22.1
snoU13
PAQR3
SLC2A10
SERP2
ZSCAN9
EEF1A1P5
RP11-179A10.1
EMG1
CDH24
C10orf68
PFDN6
C18orf54
CUL9
PPP1R26
RP11-486G15.2
FMO5
MAP3K7CL
TTC18
AMOTL1
RP11-184E9.1
COL14A1
RP11-660L16.2
NRG1-IT2
CSTF3-AS1
BEX1
CRISP3
TRPT1
IFT81
URM1
SURF2
REG1A
CNTROB
EEF1A2
RAB33B
MTIF3
RNF146
ZNF155
CS
FAM114A2
EIF5A2
SGCG
ACER2
RP11-16E12.1
HSD17B8
MAGI2-AS3
POLR3GL
ZNF45
RP11-22P4.1
LINC00883
APOOL
SENP5
RP11-410L14.2
