NEGR1
CCSER1
CLNK
WDFY4
CADM1
CPVL
CAMK2D
BCL6
TRERF1
DNASE1L3
ZNF366
NAAA
HDAC9
NAPSB
KIAA1598
ENPP1
CCDC26
CTTNBP2NL
CD74
CECR1
HLA-DRB5
CBL
HLA-DPB1
HLA-DPA1
HLA-DRB6
HLA-DQB1
DSE
MVB12B
TMSB4XP8
CST3
NEDD9
HLA-DQA1
ID2
HLA-DRB1
FNIP2
PTK2
CTSZ
LPP
GAS7
PRKD3
CHN2
KIAA0226L
FGL2
HLA-DRA
ACER3
TMSB4X
PTP4A2
PAK1
AC069368.3
CIITA
DST
MARCH1
ITSN2
HLA-DMA
ETV6
ERAP2
LINC00669
PPT1
P2RY14
FAM49B
RP11-426C22.5
BID
ACTR3
GNA13
KIAA0247
VAV3
ASAP1
ZBTB46
FAM135A
IRAK2
MYO9A
EVI2A
TRIO
ARPC2
SGK3
SIPA1L3
ATP2B1
KCNK6
PIK3CB
LCP1
PACSIN2
MCOLN2
ANKRD44-IT1
ACTG1
PKM
AUTS2
ACTB
EHD4
ARRB1
PRMT2
ATXN1
SERPINB9
APOBR
ADAM19
TNFRSF10B
FGD6
PLEKHM3
PTPN2
ERC2
P2RY6
RAB7L1
PDE4DIP
ERO1LB
CALCRL
S100A10
S100B
PLEKHO2
NID1
DPP4
PFKFB3
CCND1
ST18
APOL3
SLC24A4
TAP2
FOXP2
TSPAN33
NOTCH2
PSMB9
HSPA1A
VAC14
STIM2
ZNF516
CCNG2
KIF16B
ELOVL5
LACC1
PAWR
JMJD1C
TRIM22
RAB7A
DOCK7
CLEC9A
GSTP1
BACH1
SNX3
C1orf54
RP3-522D1.1
FKBP15
PRCP
ANPEP
SUZ12P
DLGAP4
SNX20
COL3A1
ITGB2-AS1
ERO1L
LDHA
KIAA1958
RP11-761N21.1
LGALS2
DAPK2
ARSB
NCOR2
SETD7
HTT
SPOPL
PDE1C
HSPA1B
ARHGAP5
BATF3
CAMK2G
HLA-DQA2
MIS18BP1
ADCY7
CDKL5
PARM1
TDRD10
FARP2
NIPAL2
NUBPL
HLA-DOB
PDIA3
RP5-1091N2.9
ABHD6
STX12
TRIM26
NET1
PIP5K1A
CYP2S1
PSME2
CLCN4
RGCC
SCARF1
GCSAM
C20orf27
TMEM229B
XCR1
THBD
CYYR1
HSPD1
PBX3
MZT2B
CRYBG3
HSPH1
ARHGAP20
CPNE3
ZNF641
SPPL3
STARD8
GLTP
EXOG
IER5
UPF2
CSRP1
ATP1A1
SLAMF8
HSDL2
PLEKHB2
ASB2
CYB5R3
THRB
MZT2A
BAG3
KCND3
RAB11FIP4
DUSP18
PPM1M
PPAP2B
HPS5
UBL7
LONRF1
DOPEY1
EIF5B
ACSL5
DEGS1
GDI2
RP11-750H9.5
ACSS2
ZNF462
CAND1
SLBP
SLC46A3
PPTC7
MYEF2
CEP55
INPP5F
H2AFY
BRK1
PTDSS1
CRYBG3
M6PR
ENSA
RPL32P1
ZMYND15
BRI3BP
FARS2
CTD-2319I12.1
CCDC6
TRPV2
CCDC126
ERF
PHF19
PON2
AIM2
AIDA
ZBED3
GNAO1
RP11-426L16.8
EGLN2
PLOD3
LARP4B
CTPS1
PIM3
MAP3K4
SCGB3A2
APOL1
GUCY1A2
ZEB1-AS1
EEA1
NPTN
LSM7
HLA-DRB9
SLIT2
BCOR
TMEM62
EGLN3
MICALL1
TLR3
RP11-30B1.1
SH3RF2
MTERFD3
WBSCR22
LRRC18
MRPL51
SCML1
TPMT
THEM4
CCT6A
MYCL
ENO4
ELN
BEND5
IGFBP5
RP11-115K3.2
MYO7B
AGPAT1
RP11-933H2.4
PAK3
PKIB
FBLN5
REPIN1
AP3M2
SRSF7
DCLRE1C
APH1A
RP11-389C8.2
SMIM20
FBXO17
DCN
MTMR10
CTNNBIP1
PTPLB
CEP164
BLOC1S6
CTA-407F11.6
GEM
FDFT1
RP11-695J4.2
LRRC4C
CDH11
TMED3
ACE
ATR
MAPKAP1
CSNK1A1
CCDC122
TRIM34
ZNF121
AL118508.1
C4orf45
FAT3
TSNARE1
HLA-DQB1-AS1
NMT1
BCL10
TCF21
LSM6
KLHL22
MEOX2
JOSD2
NUP62
SLC25A32
SUPT5H
RP11-508N12.2
BCL7C
B3GNT7
NDUFA6
CTB-113D17.1
LACE1
RP11-40C6.2
RP11-417F21.1
RP11-345J4.8
HTR3A
ATG3
TBX19
PYGO2
HN1
SNRNP25
AC021188.4
PQBP1
LTBP4
SFTPC
CPSF3
EMP2
ABCF2
PHLDA1
SFTPB
RN7SL288P
MYBBP1A
NIP7
SPNS1
IFT20
RASA4
CPAMD8
FAM98B
MLK4
DCBLD1
NES
APOL4
AFG3L2
WDR46
ZFAND2A
NFE2L3
IQCE
AC012358.8
COL21A1
RNF169
PAFAH1B2
RP11-83C7.1
TOMM34
PQLC2
HEATR4
SPARCL1
SLC35E4
C1orf122
ARF6
MPP3
TYSND1
SH3D21
RIPK1
FBXO30
NIPA2
RP11-114J13.1
CCBE1
CNPPD1
FTSJ2
RP11-264B17.2
MIR142
ADAMTS12
NMI
LRRC14
MIF
