UBE2H
SOS1
TRIM58
NCOA4
SRGN
BCL2L1
HERC1
SLC22A23
GUCY1A3
SLC24A3
TIMP3
TMEM163
MED12L
LAPTM5
MEF2C
FAM65B
SLC44A1
ARHGAP18
PRKCA
PDLIM5
VAV3
LYN
GAPDH
FLI1
INPP4B
EIF4G3
SSBP2
P2RX1
PIP4K2A
PLXDC2
LDLRAD4
RAP1GAP2
RIN3
ITPR1
NT5C2
TEC
MARCH2
SLC18A2
MYO18B
EXOC6B
SLC8A3
PDE4D
PITPNM2
LAPTM4B
RP11-712B9.2
SLCO3A1
RASGRP3
STK39
HSP90B1
GRAP2
FADS2
ARHGAP32
MYO5A
C20orf112
FER
PTPRA
JARID2
AC098617.1
DENND4C
GTDC1
SEMA4D
PTGER3
SEPT11
ABO
RASA1
APP
OR2W3
SLA
FNBP1L
AHR
PPP1R9A
HBD
PARK2
SVIL
H3F3B
CALR
RP11-94A24.1
RFX2
PDCD10
ACTR2
CD69
FAM214B
RIOK3
TNFAIP8
VGLL4
MPP1
AMD1
SMURF1
TAL1
TGFBR2
BTK
EMP3
CBL
MICAL1
HMGN1
RNF11
RAP1GDS1
LSMD1
RP1-15D23.2
SLC30A5
PDIA6
BMPR2
NFKBIA
MKLN1-AS1
TPI1
PDIA3
MKRN1
FNIP1
C9orf153
CXCL2
MAP4K2
PCDH9
PCGF5
NCOA3
ASAH1
RP11-556I14.1
IL27RA
APBA2
RP11-446N19.1
GTF2B
PHTF2
SYN3
PI4KA
CYP21A2
HSPA5
FDX1
G3BP2
CCDC175
PRTFDC1
RPN1
MAPKAPK3
AC073610.5
PDE1A
TMEM108
C10orf112
DAD1
FAM69B
KBTBD12
TPST1
BTBD2
GABBR1
FADS1
UBE2B
TFPI
LDHA
SPNS3
IL17RA
KLHL24
ITGAV
SLC10A7
SSX2IP
FBXO30
AHDC1
MANF
GATA1
NOTCH1
TMED3
PVRL2
HDGF
ACER3
MTHFR
CD244
HPCAL1
GSR
PIGB
UBR4
GPC6
DDOST
UBE2C
SMOX
SLC38A2
ZFAND5
CACNB4
R3HDM4
RTN3
BAZ2A
SEC14L1
CCDC68
SLC35D1
CCDC92
PRMT2
RP11-354E11.2
ZBTB4
EMC3
ROCK1
CHST12
RBM3
KSR1
GSTK1
PPP2R5A
YWHAG
MAGI2
KLRD1
EVA1B
PTPN18
LST1
RP11-70C1.3
YOD1
HIVEP2
TRAM2
ACCS
PTAFR
ADIPOR1
RP11-412B14.1
PDGFD
SLC44A2
HIST1H1C
AGO1
PNP
CFLAR
SLFN14
ZNF385A
COL1A1
RNH1
EBF1
TMED2
NOS1AP
COL4A2
WWP1
