PLP1
TUBB4A
ERMN
QKI
CLDN11
CNP
MAG
EDIL3
PTGDS
TF
TMEM144
SCD
FEZ1
SOX2-OT
APLP1
CRYAB
QDPR
ENPP2
CNDP1
GPM6B
RNASE1
DPYSL2
CBR1
CSRP1
SLC44A1
RTN4
CLDND1
MBP
LAMP2
04-Sep
MARCKSL1
HSPA2
CNTN2
PPP1R14A
APP
ABCA2
TUBA1A
TSC22D4
MOBP
LINC00844
PLLP
MAL
PLA2G16
SEPP1
APOD
SORT1
SCD5
STMN4
08-Sep
ANKS1B
C4orf48
STMN1
NCAM1
GPRC5B
TBCB
UGT8
TRIM2
EVI2A
07-Sep
PIP4K2A
RTN3
EFHD1
SIRT2
GSN
CARNS1
KLK6
PCDH9
SUN2
LHPP
SYT11
SPOCK3
PMP22
GPR37
S100B
ANLN
OPALIN
SLAIN1
PLEKHB1
NDRG1
VAMP2
BIN1
PLEKHH1
SEPW1
CA2
MID1IP1
PRNP
AMER2
CFL2
CD9
ELOVL1
TPPP
SLC12A2
MYRF
ATP1B1
PEBP1
CKB
LANCL1
TTYH2
HTRA1
CMTM5
DNER
ELAVL3
DYNC1I2
SLC48A1
AATK
CAMK2N1
SVIP
FA2H
FAIM2
TTLL7
SCHIP1
JAM3
RAPGEF5
SPOCK1
OMG
BACE1
GLTP
LPAR1
LAMP1
ZDHHC9
FGFR2
KIAA0930
RHOU
PREX1
MOG
SCARB2
RNF130
YWHAQ
PAQR8
OLIG1
PXK
AIF1L
SEMA4D
KCNJ10
GRM3
CERCAM
NECAB1
SHTN1
FIS1
FMNL2
NDUFS7
SOX10
FSCN1
GJB1
CLASP2
DHCR24
LGI3
PEA15
DNAJC6
SLC24A2
GNAO1
ERBB3
SECISBP2L
SOX8
FAM107B
HEPACAM
PTPRD
PADI2
MBNL2
NDRG2
GNAI1
B3GAT1
MAP1B
SEMA3B
ARHGAP21
CD82
GABARAPL2
RGCC
CDK18
APBB1
LIPA
LIMCH1
NFASC
ATP5I
MAP6D1
DDR1
GOLGA7
RNF13
HHIP
SERINC1
DNAJB2
PRKACB
MTUS1
TMEM63A
FADS1
WBP2
GLUL
NKX6-2
VWA1
DAAM2
RNH1
C1orf198
BOK
LARP6
NIPAL3
MAP7
TTYH1
PRR18
MAP4K4
MAPK8IP1
