IGHD
PAX5
VPREB3
COL19A1
FCRL1
MS4A1
EBF1
TCL1A
CD22
VPREB1
CD79B
KLHL14
DTX1
MME
IGLL1
CD79A
PCDH9
C16orf74
BLK
OSBPL10
CNR2
ZCCHC7
KHDRBS2
SP140
PRKCE
RCSD1
RP11-35G9.3
HVCN1
STRBP
AKAP12
TOP2B
ARHGAP24
LRMP
BACH2
BANK1
LINC00426
CMTM7
ROR1
RALGPS2
P2RX5
FAIM3
TCF3
PLEKHA2
TBC1D1
ZHX2
SOX4
SPTBN1
HIST1H4C
CD37
LGALS9
PTMA
SNX25
ERGIC1
SP110
ARHGAP17
GRAP
ZNF608
AFF3
SMIM14
CAMK1D
CTD-2207O23.3
TRIM38
PLCG2
KLHL24
FAM107B
ACSM3
ARHGEF18
PSMB8
ARID5B
SRPK2
CTB-133G6.1
TMEM154
FAM129C
BCL7A
CYFIP2
GNG7
TTC7A
PTEN
FAM65B
ORAI2
HMGB2
LAT2
HSP90AB1
IKZF3
CCNI
PIK3AP1
MKNK2
RGS19
AHDC1
TLR10
LAPTM5
PLEKHG1
STMN1
H1FX
EMB
ITPR1
NIN
PDE4D
PIK3C2B
BEST3
APPL1
FCHO1
DOK3
SMC6
ADARB2
TUBB
UHRF2
TMEM243
CD19
RP11-960L18.1
FCRLA
PEG3
PRKD2
MAP4K2
PARP15
CD72
AOX2P
SP100
ADAMTS6
GNB1
TTTY14
CTA-250D10.23
SMCHD1
JUP
CTC-228N24.3
CMTM8
SIMC1
ARID1B
RABEP2
RP11-861A13.4
RP11-1277A3.2
PXK
S1PR4
FCRL2
CLEC17A
FCER2
SETX
KMO
YBX3
NUCKS1
AOX3P
MDM4
SP140L
CR2
HMGB1
C12orf42
HRK
KIAA0040
CLECL1
ZDHHC21
PARP1
SLC25A24
WASF1
KIAA1407
QRSL1
E2F5
FAM111B
CNKSR2
S1PR1
PHF11
HHEX
BBX
P4HA2
RP11-87G24.3
HIP1R
MYO1C
GPR18
SNX29P2
ADAM23
RP11-164H13.1
ZC3H12D
TRABD
NUP88
HIST1H1C
ZFAS1
SMARCA4
OIP5-AS1
TEX41
RNFT2
MTPN
SRSF9
HCFC1
TAF7
MACROD2
BOD1L1
CTD-2215E18.1
MTND2P28
KIAA2018
ABCB4
ANKRD29
ATRX
RP5-887A10.1
HMCES
IGF2BP3
TCL6
PXDN
POLH
AKAP11
RP11-220I1.1
RP11-131L23.1
BTBD2
DNTT
UBXN1
ENTPD4
CORO2B
TAPT1
USP1
SF3A2
MLXIP
NHP2
VAV3-AS1
FLT1
BCAS4
ACP5
LINC00472
TBCB
RP11-265P11.1
SSRP1
LINC00926
NEIL1
RP11-752G15.3
RP11-665G4.1
LRP10
CTC-471F3.4
BAZ2A
RP11-693J15.5
SHMT2
NCAM2
PLEKHF2
LY86-AS1
CNOT7
GDF11
LHPP
TTC21A
C6orf48
MYO3A
RP11-693J15.4
GRAPL
HCP5
RASAL1
RFX5
RRN3P3
SMARCA5
RP11-308N19.1
ZNF22
LINC01013
AMN
FAM53B
RPL22L1
UXS1
ZNF107
SUMO2
SNX29P2
EIF4A2
N4BP3
RRP7A
RP11-269F21.3
EPM2A
PPP2R3B
SMARCD1
NAALADL2-AS2
AL592183.1
AC083949.1
AC003051.1
RP11-420G6.4
FAM76B
COL4A1
SNHG7
C14orf166
CDK13
CCDC42B
SMAD1
RP1-45N11.1
ODC1
EIF3E
EPC2
ERP27
ATP8B1
SPPL2B
RP11-175K6.1
LIG4
TNFRSF13C
CXCL13
PLK5
ZNF581
SYPL1
SH2D4B
GOLGA2B
PNOC
CTD-2555O16.1
ZNF775
MAF1
RP11-136K14.1
BAK1
NBPF13P
MAPK8IP3
KCNH8
MAD2L2
CTB-57H20.1
DICER1
GPR176
LMBRD1
STS
ZNF70
TTTY15
FADS3
HIST1H1E
LINC00494
RP5-1164C1.2
RP11-498M5.2
ISY1
PFKL
MYO1B
BMP3
MDM2
RP11-428G5.5
TERF2
KIF3B
NFATC4
PRPF40A
CTD-2516F10.2
BTBD6
SHOC2
SLC16A14
PLD5
SF3B4
RN7SL842P
C12orf49
LLPH
CDC40
LSM10
CTD-2306M10.1
ZNF860
RP11-445F6.2
MIEN1
RP1-71H24.1
STOML2
SNX29P1
SACS
KIAA1199
IFT57
KREMEN2
IWS1
IGLC2
INO80E
WDTC1
RP11-561C5.5
TSR2
UTP14A
APLNR
SLC2A11
TCP1
RP11-344E13.3
WWC3
RN7SL337P
ZNF709
ELOF1
RUNDC1
BIK
POLR3K
AC007386.2
MRPL2
RPS2P46
RP11-301G19.1
C1orf220
DIS3
NPIPB4
RP3-455J7.4
PLK2
LCN6
ZNF117
C7orf26
RP11-260O18.1
PTRHD1
MYL6B
VPS4B
MFN1
CREB1
ACD
HMGB1P5
HIRIP3
SLC23A1
KB-208E9.1
RP11-1070N10.3
CTC-248O19.1
PALM
PAF1
U62631.5
GYLTL1B
ZNF92
RP11-436K8.1
AC073043.1
RIMS3
PLEKHG4B
YBEY
GEMIN7
ELFN1
MS4A6E
PTPN21
ZNF880
HAGHL
CBX8
RP11-297B17.3
CTC-436K13.1
HPD
CD24P4
