CPA2
CELA3A
SPINK1
SERPINA3
PRSS2
PRSS1
REG3G
PLA2G1B
REG1A
REG1B
CTRB2
GP2
RPL34
RPL3
CELA3B
AMY2A
AMY2B
CTRC
RPL21
RPS27
GATM
RPS6
MT1E
PNLIP
RPL10
RPS12
MT1X
MT1G
FGL1
REG3A
CUZD1
RPS18
ERP27
CPA1
RPL7
CPB1
SYCN
REG1CP
RPS3A
CTRB1
RPS27A
RPL31
RPL13A
RPLP0
RPS14
RPL13
RPS29
GSTA2
RPL32
CEL
RPL35A
PNLIPRP1
SERPINI2
CLPS
ALB
RPS19
PDCD4
OLFM4
RPL36
HAMP
PRSS3
CD24
RPS4X
RPS17
RPL11
P4HB
RPL27A
C10orf10
RPL12
KLK1
RPLP1
RPL15
MT2A
PNLIPRP2
GSTA1
EEF2
MT1M
RPL5
BTG2
RPS24
CLU
RPL30
MT1H
IL32
C3
RPL37A
RGS2
RPS9
RPL8
RPL7A
DDIT4
RPS3
DEFB1
NUPR1
RPS2
RPL18A
AZGP1
XBP1
RP11-331F4.4
RPS25
EEF1B2
BNIP3
PRDX4
CYB5A
RPL37
RPLP2
IFITM3
YBX3
SLC39A14
RPS28
ERRFI1
RPL14
RPS13
CXCL2
GNMT
RPSA
TPST2
RPS15
SOD2
RPS8
PDIA2
RPS15A
RPS11
AOX1
TMED6
EPB41L4B
RPS16
RPS23
RPL19
ANPEP
MALAT1
ERO1B
RPS5
CLDN10
MTUS1
MT1A
RPL6
NEAT1
SEL1L
DNAJC12
PGM1
RPS20
CYP3A5
PDK4
INS
RPL23
ALDOB
GCG
TPT1
FAM3B
TC2N
SSR3
CELA2A
KRT8
RPS26
MUC1
SERPINB1
GLUL
HDLBP
LGALS2
RPL24
EEF1D
RPL9
FKBP11
PSMD6
TRAM1
SAMHD1
RPL35
KRT18
SSR4
MCFD2
RPL27
AC078941.1
SMIM22
RPL26
GLTSCR2
NUCB2
CEBPD
LRG1
DSP
SERPINA4
RPL29
SNHG5
KLF6
DDT
TMPRSS2
PAIP2B
FOS
COQ8A
RARRES2
PTP4A3
ALDH1A1
AQP8
BCAT1
DUSP23
ELL2
SERP1
ANXA10
SLC30A2
SSFA2
