F13A1
RNASE1
COLEC12
RBPJ
LYVE1
STAR
CYP17A1
DHCR24
DAB2
DLK1
MAN1A1
AFF3
CD14
ATP1B3
B2M
MSR1
STARD13
FOS
IQGAP2
CD36
HDAC9
FOXP1
HLA-B
VAV3
FKBP5
SNX6
JUN
CTSD
MS4A4A
ARHGAP18
SULT2A1
MMP9
ANXA1
GNG2
SPARC
MAF
RTN1
ATP10A
CREB5
CCDC170
NR4A2
AGR2
RPS23
SCN9A
TXNIP
SH3BP5
PLTP
ANTXR2
HLA-A
TRPS1
CEBPD
PAPSS2
IL8
CYP11A1
FMN1
RPL31
DUSP1
TNFAIP8
MTND4P12
AUTS2
RGS2
ACTB
CYBB
USP36
CD200R1
GAS7
CYP21A2
ACSL1
MTND1P23
RPL37A
WDR45B
RPS12
DTNA
CD28
RPS29
FDX1
FAM20A
TNFRSF11A
GPR141
RAPH1
MDFIC
HBEGF
C5AR1
COL1A1
ALCAM
HSPD1
FCER1G
HSPA1A
NPC2
RPL7A
RPL15
SH3PXD2A
P2RY14
ZFP36L2
RPS16
INSR
DRAM1
MYL6
ACTG1
HRH1
RPL30
PEG10
MTATP6P1
CXCL9
CABLES1
SESN1
ZBTB2
GAPDH
TMSB4X
RPL19
ARHGAP10
KCTD12
RPL39
CD63
BCAT1
CREM
ARHGAP15
EMB
LOXL2
BCAS2
MCL1
TUBA1B
P2RX1
AIM1
AHNAK
OGFRL1
CDKN1C
NFKB1
SDCBP
NLRP3
RHOA
RHOB
RPL9
RPS14
LPAR6
KLF2
CBLB
CPM
CYP11B1
KLHL13
CRTC3
TTN
TMEM176B
GJA3
GPX1
HSPE1
ZYX
RPS27
CTNNB1
PNRC1
AP1S2
CCND3
FKBP1A
MYL9
GNAS
COL1A2
AES
ARHGDIA
RP11-297N6.4
PLXND1
CDK6
MYO5A
TMEM163
UCP2
IL1RN
CLU
LAIR1
HNRNPA1
HERPUD1
KLF4
GPX4
RAP2B
ATXN1
ACTN4
hsa-mir-6723
EPS15
IL12RB2
FAM13A
HSPB1
SIK1
GRN
MSMO1
S100A4
IGF2BP2
RASSF4
IER5
EPS8
IGFBP4
MRC1L1
CLIC4
HSP90AB1
MRVI1-AS1
SCARB1
SERF2
EMP3
FTH1
PDE4D
FAU
GNA15
CXCL10
IKBKAP
TBX3
C3AR1
COX8A
CIDEB
RPS20
SKAP2
DHCR7
TOX
CCNI
MGAT1
RANBP2
CITED2
RP11-150O12.1
HLA-C
BTG1
CEBPB
KLF10
ARHGAP5
GGTA1P
HSPB6
RHOU
METRNL
ARRDC3
ANXA5
FSCN1
CALM2
IFI16
LRRC16A
RSPH6A
UBB
NLRP1
PTGDS
MRC1
TSC22D3
TLR2
STXBP6
IFITM2
FN1
PRDX3
PEBP1
TIMP3
RPL24
AJ006995.3
ACP5
ANXA2
INHA
CCND2
FDXR
NCF2
MGARP
TMEM66
ZFAND5
PSMC4
TM7SF2
ZNF48
CDC42
IDI1
CTSZ
SRSF7
PMAIP1
GSTA1
HPCAL1
NLRC3
CLIC1
MYL12A
ALDH1A1
LGALS1
TRIB1
TMEM71
SNCG
RP11-669M16.1
THBD
GBP1
CXCL2
ALDOA
IGF1R
PLB1
S100A6
PPP1R9B
LINC00473
GJA1
CA8
RGCC
NGFRAP1
MDK
ARID3A
HPGD
ARPC5
RARRES2
CTSC
MC2R
MGST1
RPL36AL
DDIT4
SERPING1
CNPY3
RPL7
TPI1
PCDH12
RP11-750B16.1
NR5A1
CTD-2105E13.14
TNFRSF1A
EPHX1
TMBIM6
NRROS
CSRP1
TRAPPC1
LINC00669
FREM2
LILRA6
LAPTM4A
S100A10
RP11-356I2.4
PLEKHG5
RPL29
PCBP1
FXYD5
AGPAT5
PTPLAD2
CCR1
LILRB3
OPHN1
CHCHD10
EGFL7
EIF1
CAPNS1
TRMT112
YTHDF3
SLC25A3
HIGD2A
MOB4
EAF2
DSC2
DCN
HNRNPA2B1
CTSA
ALDH3A2
C7
PPIF
RELL1
TCF12
CSTB
TBC1D14
ZNF385A
CLTC
CSDE1
FGD4
TNFSF8
HSP90B1
PARP8
WIPF1
CXCL3
ATG4C
GGT3P
RBP1
ACTC1
CXCR4
RPS25
DUSP2
IL4I1
FGFR1
C20orf27
REPS2
NDUFB4
ELL
RPS18
SLC25A43
TMEM106A
PCM1
CD69
NHP2L1
C22orf34
HMGA2
DAZAP2
TXN2
MTRNR2L12
ENO1
CD164
AVPI1
ITGB2
GAS5
TESK2
DNM1
STX2
CALM3
COX7C
DOCK1
MTND2P28
IDH1
ATP5J2
AGTPBP1
PLP2
SNHG16
GLIPR2
HMHA1
C17orf76-AS1
C4orf3
RAD23A
HMGA1
RPP25
TPM2
DYNLL2
RPL3
COX4I1
OAS3
PSTPIP1
RPS13
CD47
SYNE1
GSTA4
EIF5A
TUBB
NRK
PKM
SRSF5
RPL10A
RPS2
PON2
SCAMP5
DDX5
DNAJB4
SLC2A9
TSPO
SCPEP1
CHCHD2
RPL14
IL2RG
IRF2BPL
CYP27A1
