SNTG1
FGF12
GABBR2
SLC16A9
NTN4
NR5A1
BCL2
ENAH
NETO2
UBASH3B
ARHGAP28
SIPA1L1
EMID1
HNRNPKP3
FAM110B
GABRG3
TGFBR3
GULP1
FAP
ZNF83
CASK
ZNF385D
NRG2
HBB
ERC2
GREB1L
CAMTA1
NDST1
CYP7B1
SCN11A
CNTNAP5
STAC
CDH4
DTNA
RFC3
LACE1
ABLIM2
TMEM132D
LINC00693
RGS2
SCN8A
RP11-179A16.1
C17orf67
SLFN13
