PARD3
ROCK2
KIF18B
KREMEN1
CASC5
PRC1
KIF15
CENPE
CNRIP1
SMC4
KIF4A
C21orf58
NCAPG2
LBR
TOP2A
DIAPH3
ZFP36L2
CIT
ATAD2
STAG1
ARHGAP11B
RP5-964N17.1
MEG3
WHSC1
TMEM120B
ROBO2
EZH2
BCL11A
TFDP1
TARBP1
FANCI
STAT5A
AC004158.2
PLEKHG1
CENPP
TMEM14B
RBL1
SMARCC1
FAM13A
LRBA
SLC25A21
CDK6
BRIP1
NSMCE2
FAF1
MYH10
GDPD1
MLLT10
RPS3
OSBPL1A
MMS22L
IMMP2L
MBOAT2
ITGA4
LINC00669
IGF2BP3
POLA1
SCFD2
CEP192
VPS37B
PARPBP
HNRNPA1
TPX2
CD58
HP1BP3
POLQ
LRPPRC
DPP10
ELF2
PARVB
RPL13A
ELOVL6
CHN2
MEG8
ZNF367
TLK1
PLD1
KIF11
RPS2
ABCC5
GTSE1
RPL27A
DLGAP5
ABCA7
INSR
HMGA1
VRK1
NCAPD2
PKP4
MELK
BUB1B
WDHD1
CTCF
PTMA
TTC27
KIAA0101
MYBL2
CEP152
LEF1
ST3GAL2
CDK5RAP2
CNNM2
ARHGAP23
CHCHD3
RPL11
TTTY14
RPLP0
NCAPG
IL7
FANCC
SRSF4
CLSPN
CANX
KIF23
TTC3
KIF2C
ADIPOR2
BRCA1
CASP8AP2
ECT2
RPS9
AC069277.2
CENPK
RP1-167A14.2
MTDH
DTL
HELLS
ZHX3
NPM1
CDC25C
PDCD4
TPCN1
RFC3
CTD-2116N17.1
GPR125
TAF1D
LCOR
PDZD8
ST8SIA1
RPL7A
NCAPD3
FOXM1
RPL12
KIF24
SERINC5
AGAP1
CHPT1
RPLP2
FUS
LIN52
DCAF6
BLM
URI1
VRK2
TXNDC16
RBM6
SLC29A1
FAM129B
CTTN
IPO9
SFMBT2
TCERG1
TESK2
ATXN10
LIN9
RP11-120D5.1
CCDC14
CDKAL1
B4GALT5
SLC43A1
SUPT3H
OSBPL8
CDCA8
LMNA
KIAA1524
G2E3
ZFAS1
MINPP1
KATNAL1
TRIM28
RPS28
SLC20A2
C4orf21
RPS19
TAF3
ALMS1
GTF2I
PAK1
CENPI
SREBF1
XPO5
SIK2
GABPB2
DPY19L2
RB1
P4HB
RRM1
ABL2
KIF20B
USP37
MITF
LMBR1
BUB1
WDR27
NUF2
LRRC7
FANCD2
KATNBL1
PKIG
EHMT1
NDUFAF2
RTTN
RPL3
FAM19A2
UBA2
CNOT10
HSPD1
NAPEPLD
CEP128
CCNE1
MLTK
IQCB1
NBAS
ASF1B
NRF1
BRCA2
RAD18
RACGAP1
COL18A1
MAPK10
TCF3
MAST2
ANLN
CAD
TMEM245
SLC16A1
HNRNPD
STX2
IGF1R
PRR4
GAS2L3
PRIM2
HSP90AA1
FGFR1OP
TRAF3IP2-AS1
KIF22
KCNN4
SMC6
UGGT2
RCL1
THADA
SENP6
ZNF385D
DNMT1
MPP6
PKDCC
KPNA3
NCAPH
NUMA1
MGA
DPY19L2P2
SLC7A1
SEC22C
EHBP1
RAP1A
PAXIP1
LIG1
RP11-266K22.2
SMAD6
QSER1
PUM1
RHOT1
RNGTT
TMEM181
METTL8
CHD7
RABEPK
GEN1
OIP5
ANKRD36
PGRMC2
DNM2
SETD8
ARL6IP6
HSPA9
BCL2L11
ESCO2
PPP1R12B
DUT
USP6NL
ABHD2
USP14
MCM8
FAM83D
C18orf25
NCOA1
FANCL
SPC24
REXO2
UHRF1BP1
TROAP
CHAF1A
ETFA
MTBP
SRSF2
ASXL1
ASXL2
WDR62
UBE2D2
SLC38A5
VTI1A
IMMP1L
RPL4
NUP153
TRIM33
NFX1
BIRC5
DBF4
MAZ
RNF38
DYM
XRCC2
DLEU1
CABIN1
ANKRD26
HMGXB4
G3BP1
WDR76
TMEM165
SP3
SNX9
ROBO1
GPR155
CCDC6
H2AFV
PLA2G12A
DENND5B
HAT1
MXD1
WEE1
DDX31
TNS3
AL132709.5
FAM13B
RAD51
MKL2
PIGU
DIS3L
RAPGEF6
RP11-537P22.2
MTR
NFIX
CCAR1
CEP57L1
MLF1IP
GGNBP2
SMC1A
KTN1
HEBP1
RCOR1
C7orf55-LUC7L2
SPEN
FANCM
FAM102B
HJURP
TMEM192
