RP4-669L17.10
MTATP8P1
RP11-465B22.3
RP4-758J18.13
CDK11A
RP4-740C4.5
GPR153
RP11-242F24.1
RP11-338N10.3
RP11-431K24.1
PRDM2
PLEKHM2
RP11-169K16.6
RSG1
SPATA21
RP11-108M9.6
RP11-380J14.1
RP4-657E11.10
RPS14P3
RP5-930J4.5
LUZP1
RP5-1057J7.6
SRRM1
LDLRAP1
LIN28A
RPS6KA1
THEMIS2
SPCS2P4
GMEB1
SDC3
RP11-490K7.4
AL136115.1
DCDC2B
ZBTB8B
S100PBP
GJA4
EPHA10
FHL3
NT5C1A
MFSD2A
RLF
RP1-228H13.1
CITED4
SCMH1
RP11-163G10.4
ZNF691
RP5-891H21.5
BEST4
LURAP1
RP11-8J9.1
CYP4X1
HMGB1P45
RP5-850O15.4
FAF1
C1orf185
DMRTB1
CDCP2
USP24
C8A
NFIA
L1TD1
KANK4
DOCK7
ALG6
JAK1
PDE4B
IL23R
WLS
RP11-386O9.2
C1orf173
FUBP1
IFI44L
RP4-641G12.3
DDAH1
CYR61
RP4-604K5.3
CCBL2
RBMXL1
GBP6
LRRC8B
RP11-302M6.4
LRRC8D
EPHX4
RPAP2
HMGB3P9
RP11-57H12.6
DPYD
S1PR1
RP5-936J12.1
HENMT1
TAF13
C1orf162
ST7L
RP3-522D1.1
AP4B1
CASQ2
NAP1L4P1
RP11-188D8.1
WARS2
GNRHR2
RNF115
RP11-433J22.3
GJA8
RP11-14N7.2
RP11-458I7.1
CTSK
RP11-107M16.2
S100A14
TDRD10
CHRNB2
UBQLN4
RP11-284F21.9
BCAN
ETV3L
IGSF8
SLAMF7
RP11-456P18.2
LMX1A
RP11-306I1.2
RCSD1
TIPRL
METTL18
RP4-612B18.1
KIAA0040
RP11-318C24.1
ANGPTL1
RP11-12M5.4
RP11-533E19.3
ZNF648
LAMC1
RNF2
RPL5P5
GS1-279B7.1
RP11-669M2.1
RP11-161I10.1
RGS18
MIR4426
C1orf53
LHX9
NEK7
AC096677.1
NAV1
FMOD
LAX1
ZC3H11A
ZBED6
ETNK2
RP11-430C7.5
LEMD1
EIF2D
RP11-343H5.4
TRAF5
BATF3
RP11-348H3.2
ABHD17AP3
TGFB2
AURKAPS1
RP11-504P24.2
LIN9
RP11-275O4.3
ZNF847P
SNAP47
GJC2
RNF187
TMEM78
TARBP1
RP4-597N16.4
RYR2
RP11-371I1.2
RP11-435F13.2
RP11-156E8.1
SMYD3
CNST
C1orf229
FAM110C
AC010729.2
RP11-521D12.2
TAF1B
NOL10
RN7SL832P
E2F6
RAD51AP2
RP11-111J6.2
RDH14
NT5C1B
PUM2
DTNB
C2orf70
FNDC4
RP11-731I19.1
C2orf71
CLIP4
AL133249.1
EIF2AK2
AC009229.5
GEMIN6
AC007377.1
HNRNPA1P57
AC025750.7
EPCAM
CLHC1
SMEK2
AC011306.1
RP11-444A22.1
BCL11A
TMEM17
AC007880.1
SPRED2
AC007389.3
ETAA1
APLF
RP11-77O7.1
SNRNP27
FBXO41
HTRA2
DOK1
M1AP
RP11-259N19.1
REG3G
AC138623.1
MAT2A
LINC00152
SMYD1
ANKRD36BP2
ANKRD20A8P
RPS24P6
TRIM43
GPAT2
ARID5A
HMGN1P36
TSGA10
MRPL30
RFX8
AC104655.3
RP11-332H14.2
PLGLA
AC108868.1
NPHP1
AC108463.1
MIR4435-1HG
RGPD8
AC079922.2
IL36B
RP11-395L14.4
AC024704.2
ACTR3
INSIG2
AC069154.4
TSN
AC018737.3
AC114813.1
AC140481.1
AC140481.7
MZT2A
LINC01087
AC098826.5
ANKRD30BL
RP11-725P16.2
LCT
