AGR2
MT1G
TSPAN8
MT1H
MT1E
FABP1
AGR3
LGALS2
GSTA1
SPINK1
KRT18
KRT8
S100A10
EPCAM
SNHG8
CCL25
AFP
MT1F
TXN
CPS1
ANXA13
LGALS3
LRRC75A-AS1
SUCLG1
MT1X
CLDN4
ZFAS1
OAT
SMIM24
SNRPF
HES1
FGB
SNRPE
ATPIF1
RPS5
APOA1
RBP2
MT2A
DMBT1
ACTG1
RPL18A
TMEM141
MGST2
RPS18
ATP5I
GSTP1
ATP5O
ATP5G3
DBI
CLDN7
LDHB
NPM1
RPL10P9
TMEM256
SNHG5
RBP1
SULT1E1
RPSA
CDH17
NACA
CLIC1
MPC2
ATP5G1
RPS6
TMEM45B
DNAJB1
HMGCS2
MGST3
LGALS4
PHGR1
SNRPD2
STMN1
BTF3
GSTO1
SLC25A6
MTTP
MIF
ALDH1A1
FABP2
NDUFS5
SI
RPL22
EDN1
GSTA2
GPR160
TFF3
RPS10
VDAC1
UQCR10
PDLIM1
UQCRH
AADAC
TTR
RP11-466H18.1
VIL1
TXNDC17
CLDN3
ELF3
SHFM1
ANPEP
TSPAN3
RAN
SLIRP
RPS3AP6
PCBD1
HSPE1
HBG2
COX5B
CYP2W1
RPL3
SNRPD1
RPS14
HSP90AB1
SERPINA1
FGG
TBCA
SNHG6
ANXA4
RPL10AP6
PRDX3
HMGA1
CES2
CKS2
EIF4A2
HBA2
TMEM258
HMGN1
RPL31
ADD3
TPI1
ETFB
COX4I1
TDP2
C19orf33
HSPD1
S100A14
COX6A1
HSD17B2
ATP5G2
REEP6
MDK
COX7B
DPY30
MRPL13
HINT1
OSTC
HNRNPC
ATP5J2
HSP90B1
GCHFR
EEF1B2
RPS3
HSD17B11
RPL3P4
AIG1
RP11-632C17__A.1
KLF5
RPS3AP26
DECR1
CCNG1
HEBP1
GLS
NDUFA12
SEPP1
RP11-234A1.1
CISD1
ATP5A1
RPS3A
REG4
ATP5F1
ESD
NCOA7
RPL7P1
PRR15L
NDUFB3
C8orf59
ATP5C1
AC090498.1
RAB25
LSM5
ERBB3
EIF3E
TIMM13
RPL13AP5
RPL34
SLC39A5
BEX3
LSM7
EPHX2
HADH
RPS24
GAS5
HBA1
IMPDH2
PRSS3
RBMX
ECH1
SF3B6
UQCRQ
DDC
