RGL3
PPAP2A
ESM1
EHD3
ZBTB16
FKBP5
CEACAM1
F8
LRRC32
SEC14L1
KHDRBS3
RGS7BP
RP11-557H15.4
EFNB1
BTNL9
GALNT15
GRB10
TBC1D8
TINAGL1
TM4SF18
RP11-356I2.4
RP11-297N6.4
HERPUD1
TACR1
POR
KLF9
FOLH1
