ABCC13
HBB
MICAL2
ACSL6
LPIN2
DIAPH1
CTA-392E5.1
AGFG2
RNF19A
UBE2O
FOXO3
KCNH2
CPEB4
EDIL3
HECTD4
MARCH8
DAAM1
JHDM1D
HBG1
SEC62
ALS2CR12
AGPAT4
EP300
ZDHHC17
TMEM57
TRAK2
ARHGEF12
FRMD4A
SLC7A5
NPL
GCLC
TOP1
SLC14A1
ESPN
HBG2
MARCH3
HBA2
SLC2A1
CA8
TSPAN5
ZNF451
EPB41
DENND4A
HBA1
RGS6
SGMS1
PPME1
FRYL
MOB1B
WNK1
MICAL3
VPS13B
BSG
KIAA0922
FAXDC2
MARK3
FHDC1
SPECC1
EPB42
BTRC
TNS1
FECH
SPTA1
NMNAT3
SNCA
FAM65C
CAT
ZNF385B
HMBS
ALAS2
SLC25A37
SELENBP1
SOX6
HBZ
SLC25A39
TFR2
ART4
HEMGN
RHAG
NFIA
NCEH1
ZDHHC14
ERMAP
USP32
ELL2
ENOSF1
SLC4A1
PEAK1
GYPB
HBM
USP15
TRIM10
SLC6A9
ANK1
ATAD5
GYPA
CPOX
RHD
RHCE
AHSP
TMOD1
GYPE
DMTN
PICALM
SGK1
BLVRB
ASAP1
OSBP2
KDM4C
TANGO2
RELN
GAB1
CDC27
TMEM56
BPGM
GAPVD1
ITSN1
LPCAT3
NARF
SLC36A1
UBAC1
FCHO2
RP11-486A14.2
EIF2AK1
POLE2
KIAA0232
MAP2K3
RP11-146I2.1
CLCN3
HK1
CDC42BPA
IPO11
ACSBG1
TESC
DDI2
RBM38
FBXO34
FANCA
ATP13A3
TCF12
MYO19
ENG
RIF1
NUP210
PRR5
PIEZO1
TBC1D22B
STRBP
MXI1
TANK
RORA
CLIC2
NUP160
FAM46C
ADCY7
DCAF11
HIF3A
CTSB
BACE2
KNTC1
LDB1
TNPO2
TUBA1B
TTC13
BAZ1A
DNAJC6
SLC43A3
FAM210B
C16orf95
GMPR
PSMA1
RPA3-AS1
NPRL3
EPS15
CLEC16A
METAP2
RFESD
SRPK1
VKORC1L1
TPSAB1
PPAPDC1A
CAPRIN2
SLC2A14
PPOX
RAB3IP
AKAP8L
CRB1
NFATC3
SCLT1
CTA-363E6.6
TLN2
DPH6
IL1R1
GBGT1
USP7
MCM4
PTPLAD1
MCPH1
TUBB6
UBAC2
HBE1
DCUN1D1
PPARA
PTPRF
FAM104A
YPEL4
XRN1
PHOSPHO1
NEDD4L
BEST3
KLF3
RAP1GAP
ABHD5
TSPO2
C2CD3
TFDP2
ATG2B
RP11-511B23.2
MKLN1
ANKFY1
NUCKS1
ARRDC2
TLE1
ROR2
KIAA1328
STK11
NUDT4
DHRS3
RFWD3
LRRN2
VWA8
ATP7B
TMBIM1
TMC6
MORC3
LCLAT1
AMBRA1
FNIP2
GMPS
STAM
USP12
CAST
TPSB2
ARHGAP42
GALNT5
RP11-734I18.1
SUPT16H
FLCN
RAD54B
PIGC
MND1
ZNF611
WAPAL
PYGO1
PDE8A
TMEM63B
FGFR1OP2
RGS10
ADD1
FBXO9
USP9X
AGPAT5
TANGO6
NFE2
MUC1
FKBP8
PSMF1
UGGT1
GART
CBX5
UGCG
TUBB
CLN6
LRP10
UHRF2
BSDC1
CEP135
RAD23A
TMX2
SUCLG2
AKAP7
TOPBP1
EZH1
FBXO7
CAPZA2
ATP11A
TMEM14C
STK24
STRADB
UBE3C
HERC2P2
TGM2
SMC5
COMMD1
TRPM7
RNF4
DNAJA4
DCK
XG
GINS1
POLA2
ZNRF2
MICALL2
C1GALT1
GRIP1
MAST3
TSPAN17
ENTPD1-AS1
MOSPD1
AC017076.5
PTCD3
MCM10
C1orf63
ARID1A
NUP155
ITFG1
NVL
POC1B
PCNT
ABCB5
ATP9B
LNX2
GSTCD
SSBP3
PPIP5K2
MAP2K1
ZER1
DDX46
ANKRD9
RPS6KL1
ANKRD12
ACSS1
MCM5
RP5-991G20.1
UBR1
DSTYK
PRMT3
SWT1
ZFPM1
B3GALNT1
U2SURP
CHEK2
PCGF6
TOP3A
NF2
EEF1D
SNHG1
EEF1E1
TPGS2
PPP2R3C
DYRK3
GLRX5
DCUN1D4
CTSL
ATPIF1
RP11-673E1.4
HIATL1
KIAA0355
GUK1
RBM14-RBM4
DYSF
TADA2A
RGCC
SUCO
OPA1
VPRBP
LARP1
WIPI1
UCP2
USP25
NME4
CHEK1
SAMD4B
GALNT6
PPT2
SFI1
TTC25
NUP214
QSOX2
PPM1G
TDH
GULP1
DDHD1
SLC2A1-AS1
RP11-48O20.4
ABCB7
RANBP10
PTPN4
PPP2R5C
SKA3
NUP93
GYG2P1
NDFIP1
ABCG2
PCNA
MAD1L1
FBXO42
CTD-2201E18.3
PHLPP2
AC002116.7
PNPLA8
ZNF670
NUPL1
NAA50
SZT2
FAM193A
AK3
OXCT1
KIAA1551
VPS13A
KDM6A
SEMA7A
RP11-648K4.2
FUT10
GTPBP2
HSDL2
RP1-80N2.2
AC003102.3
MICALCL
ATG4A
MRPL1
METTL10
FAM179B
KLHL18
HDHD3
TM9SF3
