"V1"
"JCHAIN"
"SUB1"
"RPS29"
"RPS27"
"RPS15A"
"MZB1"
"RPL37"
"RPL21"
"RPL41"
"RPS26"
"RPS18"
"RPL35A"
"RPL39"
"RPL30"
"PPIB"
"RPLP1"
"SEC11C"
"RPL34"
"RPL37A"
"RPS27A"
"RPL23A"
"RPS24"
"RPL27A"
"SEC61G"
"RPL27"
"RPL32"
"TNFRSF17"
"RPS12"
"RPS25"
"RPS13"
"RPS11"
"TMEM258"
"RPS19"
"RPL31"
"RPLP2"
"RPL26"
"RPL38"
"SSR4"
"RPL10"
"RPS14"
"IGHA1"
"IGKC"
"RPS6"
"RPL36A"
"RP11-543P15.1"
"RPL11"
"RPL36AL"
"OST4"
"RPS23"
"RPS17"
"GMFG"
"ATP5L"
"IGLC2"
"RPS21"
"RPL23"
"RPL39P3"
"SEC61B"
"SRGN"
"RPS3A"
"RPL19"
"RPL7"
"NDUFA1"
"SPCS1"
"IGHG1"
"RPL36"
"RPL22"
"ISG20"
"RPS28"
"RPS16"
"CD74"
"RPL9"
"COX7B"
"RPL24"
"UBA52"
"SSR3"
"IGLC3"
"HLA-B"
"RPS20"
"RP11-475C16.1"
"ARHGDIB"
"RP11-761N21.2"
"ITM2C"
"IGHA2"
"AC090498.1"
"RPS7"
"COX7A2"
"RP11-234A1.1"
"RPS10"
"RPL28"
"IGHG2"
"CARD16"
"RPL13A"
"SPCS2"
"PSME2"
"COX6C"
"RP11-466H18.1"
"TPT1"
"SERF2"
"RP4-765C7.2"
"RP11-425L10.1"
"PPIA"
"DERL3"
"MTATP6P1"
"RPL18A"
"AC016739.2"
"EAF2"
"RP3-417G15.1"
"UQCRH"
"HSP90B1"
"RPL15"
"RPS27L"
"RPS4X"
"USMG5"
"FKBP11"
"RPL22L1"
"COX7C"
"COX6B1"
"TMA7"
"DAD1"
"NDUFB3"
"RPS3"
"RPL6"
"RPL26P19"
"RPL23AP42"
"RPS15"
"CTD-2287O16.1"
"PSME1"
"RPL14"
"TMEM156"
"PLAC8"
"NDUFB4"
"CD48"
"SNHG5"
"CD52"
"UQCRB"
"ARPC3"
"CD79A"
"SNRPG"
"C8orf59"
"FAU"
"AC004453.8"
"SPCS3"
"ATP5J"
"OSTC"
"EEF1B2"
"RPL9P9"
"RPL35"
"HLA-C"
"HLA-A"
"EVI2B"
"RPL34P18"
"TMSB10"
"RPS3AP6"
"IGHG3"
"C14orf2"
"PET100"
"RPL12"
"NOP10"
"ATP5J2"
"ABRACL"
"RP11-92K2.2"
"PCED1B-AS1"
"IGLL5"
"AC004057.1"
"POMP"
"MYL6"
"CD27"
"EMP3"
"NACA"
"RPL7A"
"RP11-572P18.1"
"RP11-641D5.1"
"CLIC1"
"RPS15AP1"
"EIF1AY"
"RP11-864N7.2"
"C4orf3"
"LST1"
"RPS8"
"NDUFB1"
"HCST"
"SSR2"
"IGKV3-15"
"B2M"
"RPS27AP16"
"XBP1"
"PSMB9"
"LGALS1"
"UFM1"
"RPL7P1"
"HRASLS2"
"SNRPD2"
"SNRPGP10"
"CCL5"
"CD38"
"RP5-887A10.1"
"RARRES3"
"CSTA"
"NDUFA4"
"LSM3"
"HLA-DRA"
"HLA-DRB1"
"MS4A1"
"HLA-DPB1"
"HLA-DPA1"
"CXCR4"
"HLA-DQB1"
"GPR183"
"LTB"
"LAPTM5"
"IGHM"
"CD37"
"VPREB3"
"HLA-DQA1"
"CD69"
"CD83"
"BIRC3"
"EZR"
"BTG1"
"CYTIP"
"HLA-E"
"RPL18"
"PABPC1"
"OAZ1"
"CCR7"
"IRF8"
"EEF1D"
"CD53"
"ARPC2"
"TAGLN2"
"YPEL5"
"CD79B"
"BANK1"
"RGS1"
"PFDN5"
"HLA-DMA"
"LY9"
"SYNGR2"
"CREM"
"RPS2"
"RHOH"
"DDX5"
"TCL1A"
"UCP2"
"IL2RG"
"RPL10A"
"LIMD2"
"TSC22D3"
"LCP1"
"KLF6"
"FCMR"
"LSP1"
"RAC2"
"SH3BGRL3"
"SPIB"
"CORO1A"
"RPS5"
"SELL"
"RUBCNL"
"PTMA"
"NAPSB"
"ACAP1"
"RPS9"
"TRBC2"
"HLA-DRB6"
"TMSB4X"
"HERPUD1"
"RACK1"
"CACYBP"
"MYL12A"
"HLA-DRB5"
"CMTM6"
"RPSA"
"GPSM3"
"REL"
"AL928768.3"
"HLA-DQA2"
"HLA-DMB"
"HSPH1"
"RPL4"
"RNASET2"
"SON"
"COX4I1"
"GZMB"
"HINT1"
"COMMD6"
"ALOX5AP"
"RPLP0"
"NFKBID"
"PFN1"
"SMIM14"
"FCRLA"
"RGS2"
"IGHD"
"CYBA"
"GAS5"
"CD19"
"ZFAS1"
"RPL18AP3"
"YWHAZ"
"NR4A2"
"TRAC"
"BTF3"
"ARPC1B"
"PMAIP1"
"HCLS1"
"POU2F2"
"GNG7"
"CLECL1"
"WDFY4"
"PSMB8"
"LY86"
"FXYD5"
"IL16"
"LINC00926"
"ZFAND2A"
"EVL"
"RNASE6"
"06-Sep"
"IGHG4"
"CALM1"
"CFL1"
"PIM2"
"MEF2C"
"01-Sep"
"HSPD1"
"TAGAP"
