SEMA6B
AMICA1
AHR
HLA-DQA1
FGL2
HLA-DPB1
SAMHD1
SEPP1
HLA-DPA1
ZNF331
UTRN
NAMPT
C1QA
HLA-DRB1
CD97
RASGEF1B
CST3
SRGN
HLA-DRA
C1QB
SASH1
CD74
RPL38
STAB1
CD163L1
FOSB
KLF6
C1QC
NRP1
PID1
MCTP1
NR4A3
RPL28
STK17B
DNASE1L3
TFRC
AIF1
RPL27A
DOCK5
LDLR
ITGA4
FOXO3
HLA-DMA
CACNB4
RILPL2
SNX9
XYLT1
LITAF
MARCKS
TPT1
RPLP2
PLAUR
TMSB10
CD209
EMR2
RRP12
PRDM1
RPS24
PPP1CB
PABPC1
RPS6
PFN1
PLD4
RPL12
GPR183
RPLP1
EMILIN2
ARL4C
CYBA
RPL32
HLA-DQB1
CLEC7A
IGF1
SIPA1L1
RAB11FIP1
LINC00486
AOAH
CD93
MAFB
HLA-DRB5
RPL35
RPS9
SERINC5
CIITA
TYROBP
RPL37
SYAP1
RPS8
EEF2
FOSL2
JUND
SH3PXD2B
TBC1D8
MPEG1
PTPRE
CFL1
MIR181A1HG
RUNX3
RPS11
CLPS
CPPED1
ATP2B1
REL
SAT1
RABGEF1
RAB20
MAP3K8
HLA-E
LYZ
TNFAIP3
STX11
SPI1
NHSL1
RPL8
SULF2
P2RY8
GNAI2
RPS3
SEPT9
MBNL1
CD86
SLCO3A1
RPL5
RPL13
YBX3
SH3RF1
LRRFIP1
UBC
ADAMDEC1
TYMP
NFE2L2
SQSTM1
GNA13
RNASE6
HCST
FAM46A
PRMT10
CACNA2D3
FPR3
TBC1D9
SIK3
RPL27
RPS21
CMIP
PTGS2
HSP90AA1
RPS4X
DUSP6
SECTM1
S100A11
LSP1
THEMIS2
FOXRED2
SIGLEC11
RPL34
DIRC2
DSE
TTYH3
CMAHP
FAM107B
RPL11
RPL18
GPR137B
VASP
MICAL2
RPL23
IRF1
RHOH
HLA-DMB
HLA-DRB6
CLEC10A
LYN
PTEN
PTMA
RPS19
RPL36
PER1
HSPA1B
VAMP8
MYH11
SLAMF7
RPS5
ETF1
PLSCR1
UBA52
RPS28
SH3BGRL3
SLC45A4
ABCC1
ENPP2
EHD1
DENND1A
IFITM3
KIF1B
CASS4
CEL
PITPNC1
CLIP2
JMJD1C
GALNTL6
PARVB
STAT3
BST2
AGPAT9
TMEM156
MOB3A
SH2B3
SLC25A6
PLEKHO1
SULT1A1
EFHD2
HNRNPU
TNFRSF1B
CPA1
SNHG5
ASMTL
RP11-770E5.1
MYADM
WDR89
ZNF366
SNX8
CNN2
RPL26
ITGB5
SHE
GNB2L1
PFKFB3
PRKG1
PLIN2
LOH12CR1
VOPP1
LST1
GPRIN3
PRAM1
LACC1
EIF4A3
TMSB4XP8
PTP4A2
TRERF1
POU2F2
RSL1D1
RPL13A
LAPTM5
RPS10
PTPRC
MYO9B
MAPKAPK2
RP3-522P13.3
LRRC25
ATF3
OAZ1
YPEL5
RP11-202G18.1
CORO1B
SIAH2
TDRD10
ASAP2
PFDN5
GLA
TEAD1
CYTH1
RPLP0
LINC00996
BID
SDS
LILRA5
NAALAD2
UST
XXYLT1
RPL35A
NAP1L1
HSPA9
GPR82
NAV1
GSTP1
BIRC3
JMY
KIAA1009
UBE2D3
RNASEK
NAPA
GIMAP8
KHSRP
DDX21
PCNX
TBL1X
YWHAZ
C20orf112
ANK2
DNAJA1
FAM49B
DENND1B
POLR2L
EBI3
GPR132
CHST15
EMR1
H3F3A
UBTF
FBXO34
HLA-DOA
MXD1
GLTSCR2
ARPC1B
PPP1CA
RNASET2
PVRL2
MAN2B1
ITGB7
SH3BP2
TRA2B
GPR114
DNAJB6
ITPR1
CBFA2T3
EZR
NCF4
TBXAS1
LGALS3BP
CDC42SE2
LPCAT1
EDF1
PHC2
FAM26F
ARL8B
GABARAP
PIK3C2A
NUCKS1
RPL36A
HIC1
RP11-469M7.1
HIPK2
RP11-599B13.6
KCNMB4
GMFG
PHACTR1
APOL3
EEF1B2
PLXNC1
RAB7A
PSME1
P2RY6
HSPH1
BRD4
BTBD7
CLEC4F
RP11-667K14.3
KCNK6
TAGLN2
EMR3
FAM105A
ARPC2
BHLHE40
FILIP1L
SHB
POR
RELB
RIPK2
DNAJB1
PGPEP1
JARID2
TLN1
ARHGAP17
RPL23AP2
SCN4B
HES1
NAAA
CACNA1A
PYCARD
ERAP2
ARHGDIB
ATP5E
AP2S1
ELF1
ADAM19
RP11-742N3.1
ZDHHC14
MAFF
ANXA11
ZNF106
RASSF1
PRRG3
CLCN4
ARIH1
KLHL15
RHOG
LCP1
ARHGAP4
TRAF3
TAGAP
RPS15A
ENOX1
YWHAB
ACTR2
CDV3
RP11-540K16.1
SGPL1
TIPARP
ADAR
C1orf234
GIMAP7
XIST
FAM110A
PA2G4
ENSA
PAPD5
FOXO1
SEMA4D
RETN
BCL2A1
MB21D2
BCL3
ACOT9
SIPA1L3
TNFAIP8L2
PPP1R15A
MKNK2
INSIG1
SCARNA9
RGS18
BAG3
HMGB2
FAM101B
NCL
RPL41
UHRF1BP1
FLNB
EEF1D
EIF3A
WAS
RPL17
WARS
CD48
CDKN1B
ABI3
GTF2B
UBE2J1
HTR7
NCOA3
NT5DC2
CCDC88C
RP11-426C22.5
METTL7A
GALM
H1FX
RP11-154H12.3
MBP
PHLDB3
NEURL
NPIPP1
PIK3CG
SLC9A3R1
DHRSX
DUSP5
DNMT1
SLC31A2
ERCC1
NFIL3
STK24
PRCP
ATP5D
TOP1
SPINK1
ENG
TACC1
KMO
CCDC152
SRRM2
TJP2
FLT3
NAPSB
RPL4
AHRR
SLAMF8
COPE
COTL1
FAIM3
DCUN1D3
TMEM51
GPR160
DCXR
AZIN1
RP1-90G24.10
GTF2F1
RNH1
AKIRIN2
ANKRD33B
SPAG9
CLEC11A
HNRNPUL1
HLA-DQA2
PTPN2
SCAND1
KIAA1683
AGO2
ZBTB7A
SERBP1
EVA1B
PPA1
ADCY3
ZNF516
PDIA4
CALR
ATF5
DEK
SLC19A2
SREBF2
SNRPD3
PAK1
FOXN2
NADK
NFKB2
RAB9A
CTRB2
TNFRSF10B
TCIRG1
TMED10
HIVEP2
RPS3A
HS3ST3B1
PPIB
WWTR1
ATP5G2
PPDPF
PRKACA
ARRB2
IFI30
RRBP1
GBP4
RASSF5
NDUFA13
MTDH
PALLD
KLF13
SRA1
C15orf39
AGAP3
MTM1
ZDHHC18
MMP14
PARK2
MAX
IGF2BP1
TNRC18
BNIP3L
HCFC1
DDX24
FKBP2
TMCC3
DPYD-IT1
COX6B1
TREM1
NOL4
TMEM176A
PDE4A
PHLPP1
AP3D1
CEP68
FGD5-AS1
BLOC1S1
TMPO
THBS1
EIF4G1
RUFY4
CAMK1
RPS15
EIF4A1
GIMAP4
F2RL3
INS
EEF1A1
ZNF217
DBNL
FCER2
SLA
GPR35
FTCDNL1
ZNF460
SLC18A1
HLX
TMEM131
PSMB10
ARFGAP3
REV3L
MCUR1
CSGALNACT2
NDUFB7
KIF26B
CORO7
RASSF3
TRA2A
APRT
RBM39
