CD209
LILRB5
TIMD4
RP11-1080G15.1
SASH1
IGSF21
CD5L
SIGLEC1
LYVE1
CD163L1
SEPP1
RNASE1
COLEC12
KCNAB1
SDC3
CXCL12
SIGLEC11
WWP1
CETP
C1QA
NDST3
DAB2
CD163
MARCO
MCOLN1
TPRG1
MS4A4A
EDA
NRP1
SNX6
MSR1
MS4A7
C1QB
FAM20A
CMKLR1
ITSN1
STAB1
C1QC
VCAM1
GFRA2
ITGA9
PID1
MS4A6A
LGMN
RGL1
CTSL
AP2A2
FGF13
HMOX1
EPB41L3
TCF7L2
SGPL1
ANKS1A
FCGBP
FRMD4B
PLTP
AXL
MAFB
CABLES1
ABCA1
HNMT
GIMAP8
ENPP2
TTYH3
JDP2
GGTA1P
NHSL1
TMEM106A
SLC40A1
KCNMA1
ITGB5
CTSD
GADD45B
CTSB
PLEKHG5
CCDC170
C20orf194
RAB20
CD14
C3AR1
ZFYVE16
CHST15
FLVCR2
CD68
LIPA
RBPJ
MPPED2
CXCR2P1
SH3RF1
ADAP2
SAT1
GAA
CPM
ICAM1
HRH1
EPB41L2
TMEM51
FCGRT
EPS8
ULK2
RBM47
IER3
NINJ1
MAF
MFSD1
TBC1D14
MMP9
MYO5A
RASGEF1B
LRP1
LILRB1
LY96
AGBL4
MTSS1
DMXL2
SLC23A2
WDFY3
SLC7A8
NPC2
FTL
HEXA
ATP1B3
STARD13
DIRC2
IL10RA
TNFRSF1A
SNX9
PPARG
ETV5
CTSC
SH3BP2
OSBPL11
DIP2A
PVRL2
DAPK1
PHACTR1
VAV1
TPP1
LPAR6
SBF2
TRIM14
CCR1
RAPH1
APOC1
SPRED1
SPIRE1
TRPS1
TMCC1
CREM
PLXND1
SERPINB6
LPCAT1
ZSWIM6
LCP2
PSAP
NAGK
PDGFC
ATP10D
SNX2
TMPRSS4-AS1
DSCAM
ABCG1
TNS3
CR1
CUEDC1
TFEC
IFNAR2
ZNF710
DHRSX
RENBP
GLUL
FKBP5
CLIP1
FPR3
RHOBTB1
SH3PXD2B
AGR2
RNF135
DIRC3
TNFRSF11A
ME1
GALM
CTD-2337J16.1
MMP14
CCL2
IFI44L
PPARD
TMEM26
GNS
SCARB1
NHS
RCN3
SEMA6B
ZNF124
SLC2A9
SNX8
KCNMB4
ENG
ADAMTS2
DRAM2
LINC00704
TBC1D2B
SESN1
FUCA1
COLGALT1
GPR155
WDR45B
RP11-807H22.7
DPEP2
SLC38A7
CEPT1
SLC38A6
FOXRED2
PLB1
FAM20C
RAB3IL1
C6orf62
YPEL2
HSPBAP1
BACE1
SUMF1
AP001007.1
TET3
SORBS3
TRPV4
RP11-514O12.4
RPH3AL
RREB1
TSPAN4
SMPDL3A
SLC8B1
GPR126
MRC1L1
MTND4P12
SLC27A1
AFF4
UHRF1BP1
LINC00970
RPS6KC1
GATM
RP3-522P13.3
ZNF106
IFITM3
NR1H3
RND3
GCNT1
IGFBP4
POR
RN7SL138P
CTC-326K19.6
TEX14
PPARGC1B
NAIP
PCDH12
BCAS2
MRVI1-AS1
LINC00639
LAMP1
STAT2
SOBP
OAZ2
ATRN
FTCDNL1
PLAU
CDS1
SLC45A4
OLFML2B
CRYL1
NLN
AC097721.2
SGPP1
HFE
MRC1
IDH1
TBC1D9B
RP11-631M6.2
PLEKHM2
ADAMDEC1
MYO7A
SLC46A1
SHE
DSC2
AC016683.6
EMR4P
MEGF11
MS4A14
