NOC2L
MIB2
RP1-283E3.4
C1orf86
ARHGEF16
CCDC27
ICMT
NOL9
TAS1R1
PHF13
DNAJC11
RP11-431K24.3
SLC2A7
TMEM201
RBP7
KIAA2013
PRAMEF23
CTRC
CLCNKB
FAM131C
MT1XP1
EIF1AXP1
ATP13A2
UBR4
AKR7A3
OTUD3
PLA2G5
PLA2G2C
NBPF3
USP48
LDLRAD2
CELA3A
LINC00339
C1QB
EPHB2
RP1-74M1.3
C1orf234
HTR1D
MDS2
RP4-799D16.1
SYF2
GPN2
GPATCH3
RP11-344H11.4
CD164L2
FGR
FAM76A
RPA2
PTAFR
PRDX3P2
RNU11
YTHDF2
SYNC
THRAP3
AKIRIN1
BMP8B
ZMPSTE24
NFYC
SLFNL1
GUCA2B
PPIH
DPH2
ATP6V0B
KLF17
DMAP1
CCDC163P
ATPAF1
ANAPC10P1
PLA2G12AP1
ZCCHC11
FAM159A
RP4-784A16.5
LRRC42
LDLRAD1
TCEANC2
RP11-446E24.4
MRPL37
DHCR24
TMEM61
RP11-377K22.2
MYSM1
RP11-145M4.3
ATG4C
RAVER2
TCTEX1D1
DIRAS3
DEPDC1
NEGR1
TYW3
ZZZ3
RP11-181C21.4
NEXN
ELTD1
ST13P20
RP4-552O12.1
RPF1
MCOLN2
ZNF644
RP4-621B10.8
GFI1
DNTTIP2
MIR137HG
AGL
SASS6
TRMT13
RP11-157N3.1
RP11-251P6.1
VAV3
FNDC7
AKNAD1
GPSM2
WDR47
RBM15
LRIF1
ATP5F1
ADORA3
CTTNBP2NL
PKMP1
NRAS
ATP1A1
AL136376.1
RP4-655J12.4
CD58
MAN1A2
HSD3BP4
PHGDH
RP11-344P13.6
EMBP1
RP11-344P13.1
RP11-423O2.5
RP11-782C8.4
RP11-782C8.5
RP11-435B5.4
NUDT17
BCL9
GJA5
FAM72C
RP11-277L2.3
SV2A
VPS45
ANP32E
C1orf54
C1orf51
C1orf56
SCNM1
LYSMD1
TMOD4
