S100A8
S100A9
VCAN
FCN1
ACSL1
PADI4
SLC11A1
LYZ
PLAUR
NAMPT
PILRA
MNDA
S100A6
FGR
STX11
CTSS
PRAM1
SIRPB2
C5AR1
DYSF
NCF2
EMILIN2
SLC16A3
KYNU
SIGLEC9
DPYD
LRRC25
IRAK3
RRP12
AGO4
S100A4
LGALS1
FPR1
CSF3R
LILRB2
HBEGF
ICAM3
C10orf54
ITGAM
PYGL
IL1B
S100A11
SLC43A2
RABGEF1
FGD4
CFP
RAB1A
MCL1
SH3BGRL3
NFAM1
ARRB2
PLEC
CEBPD
C9orf72
ARHGAP26
MYADM
NFKBIZ
HIPK3
IFNGR2
SPI1
TYMP
APLP2
IL17RA
DUSP1
SRGN
VIM
LYN
KIF1B
FOSL2
TPM3
MYO1F
RHOB
LRRK2
HCK
LRRFIP1
SERPINB1
RASSF3
IER2
HCLS1
TNFRSF1B
C1orf162
C12orf79
IQGAP1
TIMP1
ITGB2
GAPDH
NLRP3
RNF149
IL1RAP
HIF1A
PLSCR1
PRKCD
PTPRE
ALDOA
TBL1X
ANXA5
JUNB
GRN
SLCO3A1
JUND
FMNL1
CYBB
CFL1
STAT3
MAP3K3
PYCARD
H3F3B
FCER1G
ARHGDIA
MOB3A
TYROBP
PTPN6
CD93
MYO1G
FOS
MAP3K1
CDC42
PRKAG2
ARPC5
SNX10
PPP1CA
SIPA1L1
ACTR2
STAT6
STK38
CREB5
ARPC4
B4GALT5
KDM6B
NFKBID
GRB2
IL8
DOCK2
GMFG
ZFP36
PPP1CB
CSK
NFE2L2
RPS9
MSN
WAS
LSP1
EMP3
HPCAL1
SYAP1
TMEM71
RHOG
RXRA
GMIP
BST2
AP1S2
HOOK3
GPI
RIPK2
LPGAT1
RHOA
FKBP1A
PARVG
SECTM1
ANKRD13D
CLEC12A
PXN
PTGS2
MIDN
CD33
ARHGEF10L
LDLR
ATP13A3
MX2
TWF2
MSRA
SAMD8
CEBPB
TLR2
RAB27A
PLBD1
ARAP1
GPR160
ARPC3
UBE2R2
OSCAR
ZBTB2
TNFSF13B
DGKZ
ATG16L2
ADAP1
GCH1
CD55
SDCBP
DOPEY2
IL1RN
COX8A
FBN2
METRNL
SOCS3
RETN
KLF4
ANXA2
ADRBK1
SIGLEC14
STXBP2
NBPF10
IRF5
CDV3
USP3
TNFSF8
RASGRP4
LILRA6
PITPNA
LILRA5
TKT
PRKACA
BRI3
PFDN5
SOAT1
WARS
CSDE1
PNPLA6
PDXK
CRTC3
PGK1
GAPT
FLOT2
RBMS2
HIGD2A
PLEKHG2
NLRC4
VMP1
IPMK
FCAR
ITGA5
MAPKAPK3
ARHGEF40
NUMB
HK3
LILRB3
KDM2A
MXD1
RTN3
DNAJC5
RGS14
RHOU
CDC42EP3
ACPP
ACOT9
TMEM170B
RP11-1143G9.4
C17orf62
SCPEP1
SH2B2
CASP1
EHD1
CD302
TSPO
ADPGK
UBAP1
OS9
LATS2
MAPK14
NFIL3
MEGF9
CFD
PPIA
MBOAT7
IFI30
CSTB
LMTK2
SNX17
CD300LF
CAST
DAZAP2
ACVR1B
SNX27
CAPN2
SOD2
GLIPR2
FKBP8
LGALS3
TRPM4
GPR97
C19orf38
MTATP6P1
CDKN1C
TREM1
ZNF703
HEXB
PDLIM2
LILRA2
ARL11
KLHL2
ATP5D
GPBAR1
CSGALNACT2
RP11-554F20.1
FTH1
CEL
KDM1B
CARD9
ATP11A
CAPZA1
ALDH3B1
SEZ6L
SEMA4B
TNFRSF10A
COX6B1
FAR1
PADI2
RNF166
PQLC1
CCNY
CHSY1
C10orf76
HNRNPA0
TP53BP2
VDR
GPCPD1
SLC31A2
ARL8B
LAMTOR4
TLE3
YBX1
RAF1
QSOX1
LACTB
PGLS
LRCH4
SCAND1
PLIN2
RBM14-RBM4
ELF4
GK
RNPEP
RNH1
SIRPB1
SLC16A6
RAB5C
SLC25A3
GCA
FRRS1
C5AR2
NOXA1
ELL
UBE2D1
SHKBP1
AGTPBP1
KLF10
ZNF467
IMPDH1
UBXN11
ZBTB7B
CTA-217C2.1
TALDO1
RCOR1
RP2
MAP2K1
ADSS
MTA2
HLX
RRM2B
ARL8A
VPS37C
TOM1
ARG1
GTPBP1
OGFR
MTMR14
DNM2
TNFRSF10C
VIPR1
SRP14
ETF1
TMEM127
IER5L
SLC22A15
SULT1A1
WDFY1
PRR13
NDUFS6
DENND4B
SPAG9
RAB3D
CEACAM1
ATP6V0D1
UBTD1
ITPRIP
ATP6V1F
CLTB
C19orf10
CKAP4
SHISA5
CARD16
RFWD2
PP13439
LINC00936
FHL3
ATP5B
GAK
UBE2D3
PJA2
MGST1
PHF20L1
TFE3
ITPK1
HEBP2
PSMC5
C1RL
CIB1
TBC1D2
CRTAP
CTC-241F20.3
EIF3A
POLR2E
CCDC149
RP11-164J13.1
SGSH
ATP6V0B
RARA
CALCR
UBL5
PSEN1
RALY
BNIP2
S100A12
NOD2
NACC2
SLC36A4
COX5B
CLEC5A
GLT1D1
CHI3L1
OXSR1
CD300E
RP4-576H24.4
VNN2
CSTA
ATP6V1A
PLEKHG3
STOX2
TRIM25
SLCO4C1
CD300LB
EGLN1
GPR35
CRK
EIF4G1
KIAA0141
CITED4
PFKFB4
STEAP4
G0S2
RP11-474N24.2
PAFAH1B1
FAM151B
SQRDL
CNBP
RAB40C
RP11-779O18.3
EMR3
LTA4H
NDUFB9
OAF
RP11-473I1.10
NANS
ADAM15
RP11-290F20.3
CALHM2
FBXL5
NSMF
NOB1
SPATA2L
SAT2
DNAJA2
CARD6
MEFV
AC011899.9
SIGLEC5
PGD
NLRP12
PWWP2B
FBP1
SKP1
GAR1
PCYOX1
SMARCD2
CDA
RRAS
MSL3
BLOC1S1
PTMAP5
WWP2
EIF4A1
CYP4F3
PSMD12
CD300C
RP1-206D15.5
PRRC2A
AC013394.2
ABCA13
DDIT3
ADAMTSL4
ANXA3
LCN2
HNRNPH2
CTC-550B14.7
LIMK2
GDAP2
CTRB2
MARK2
UBN1
NRM
AGTRAP
SLC38A10
IDH3G
AGFG1
BANF1
OSM
ASGR2
DDT
H3F3A
PGS1
C21orf33
SFXN5
NDUFA2
GPR133
NDUFV3
AQP9
DNAJC8
ZNHIT1
PNPLA8
UQCRQ
B3GNTL1
GYS1
C11orf82
AMPD3
COX19
CTDSP1
PSMD8
CAMKK2
NAPRT1
MDH1
RBM42
PPP4R1
REEP5
TLR8
ATP5I
MAGEF1
RBP7
UQCRC1
ZNF143
BST1
NCF1
ARSA
KCNE1
RP11-347P5.1
AURKAIP1
MRPL23
RN7SL368P
CTC-510F12.4
PSMC4
SF3A1
HIATL1
APBB3
FOSL1
GNAI3
RP1-122P22.2
PLIN5
SF3A3
DNASE1L1
MFN2
C16orf72
CPD
NSUN5
LRG1
SUMO1
RNU6-469P
BTBD10
VCAN-AS1
OXA1L
RNASE2
CEACAM4
RP11-108M9.4
LTF
BAG1
WDR18
STX5
DKC1
MAPKAPK5-AS1
SYNE3
SYCN
DAGLA
SFXN3
CHCHD7
WIPI2
COPA
WDR83OS
NME1
CYP1B1
INPP1
LGALS12
GPR124
GMEB1
ATP5G1
SAPCD2
NUDT16
CLTCL1
CNOT8
ADH1B
MRPL28
METTL9
VENTX
NRBF2
CHMP4B
ROGDI
LTB4R
ENO1-IT1
NDUFA11
PROK2
RP11-553K8.5
PPP4C
TXNL4B
PGP
MOAP1
IVNS1ABP
TPD52L2
GALNS
PSMD5
LAMTOR5
GEMIN4
CCDC159
TMEM104
ARF4
DPYD-AS1
XAB2
CA5BP1
LIN7A
ASL
UBXN2B
ZYG11B
CDADC1
RNF4
VEGFA
ARMC6
IQCK
OPRL1
CCNL1
CDC42-IT1
CCNK
POLDIP3
GMEB2
P2RX5-TAX1BP3
STAC3
LUCAT1
CWC25
IFFO1
DEFA3
ZNF263
FGD5-AS1
MSRB1
DUSP23
TRIM71
GNL3
C15orf48
PPP4R1L
NOC2L
GP2
CTB-61M7.2
TRIOBP
CHP1
CYSTM1
C5orf58
RN7SL600P
MRPS16
SIRT7
HIST2H2AC
ANKHD1
VNN1
AC009495.2
RBM23
