LINC00299
JMY
SORCS1
PTPN22
TNFAIP3
CDC14A
ZBTB16
LZTFL1
SLA
TOX2
COL23A1
PPP1R9A
TMIGD2
PRR5
EML4
PHACTR2
MAP3K8
CERK
IL7R
ATP10A
SIK3
UNC5C
TMEM156
RPS6KA3
MGAT5
RORA
AHR
SRGAP3
SMURF2
ELOVL6
ADAM12
LTB
ZNF827
RPS6KA2
PTPN4
ZNF331
BCL2
TIAM1
CELF2
LPAR1
PAK2
KLF12
RBMS1
TOX
DNMT3A
NFKB1
CD52
SMAD3
HECA
CTNNB1
AAK1
KLHL5
NLRC3
PPP3CA
MACF1
TRAF5
RUNX3
TXK
PBXIP1
ESYT2
SH3KBP1
ZFP36L1
FOSB
PCNX
MAN1A1
TTC39C
SSH1
AC079610.1
SPN
PREX1
SPTAN1
SCML4
SKIL
PTPN7
SVIL
PPP1R16B
PRKX
ACAP1
RP11-427H3.3
EZR
TGOLN2
GATA3
OXNAD1
SYNE2
KLF6
ST6GALNAC3
XYLT1
SEPT6
USP36
GRK5
FOXO1
INPP4A
TTN
NCALD
KCNQ5
CDC42SE2
FAM134B
TMC8
MBP
DDIT4
RASA2
CHST11
ADAMTS17
REL
CERS4
MAP2K6
REPS1
CSRNP1
G3BP2
UBTF
ABCB1
IL23R
PRRC2C
ATHL1
LTA
ITGAE
PDZD2
DUSP16
BICC1
EFR3A
TLE1
NFATC1
SYNJ2
ARHGEF7
ZBTB1
TNFRSF25
SREBF2
ANKRD6
LPXN
PRMT10
IL1R1
IL4I1
SNRK
ARID4B
ZNF652
INADL
ATF7IP2
GRAMD3
YPEL5
RAPGEF6
XKR6
PER1
RORC
CHKA
EPAS1
N4BP2
PTPN18
TANC2
LDLRAD3
ATP2B4
HELZ
ARNTL
ATP11B
TBL1XR1
SCRN1
NFKB2
ABCB5
EFCAB4B
IL2RA
PITPNM1
FAM155A
CXCR5
SMAP1
NCOA7
SUCLG2
LPHN1
TANC1
CDK17
HSPB1
CCDC85B
IL12RB1
PPP2R5A
SNX14
PHTF2
CTNND2
OPCML
ALDOC
TBC1D31
MCF2L2
MPZL3
CCR6
PHLPP1
DNMT1
CEP112
SLC4A10
CBFA2T2
RNF157
IFFO2
CHRM3-AS2
STARD9
C9orf78
CORO2A
LRIG1
ODF2L
REV3L
CABIN1
MTM1
ZFYVE9
BCAS1
TRIB2
HUNK
DEK
NR1D2
GRM7
KCNIP4
PHYKPL
SPRY1
CASD1
KIAA1324
DDX3X
GPM6A
B3GALT5
SSBP4
COLQ
ITGB1
PMVK
PGM2L1
WDR89
USP20
ZBED1
CRY1
STK24
SPON1
EML3
CASP3
PEG10
NTM
HIPK1
FAM169A
KIAA1211L
TIPARP
ARIH1
FURIN
ERCC1
HPN
NSMCE1
PHF20
EFNB2
PGPEP1
NDRG1
MGRN1
FLT3LG
GOLGA8B
NEO1
SCN1B
RP11-21J7.1
EPC1
TNIP1
CCNH
ZNF385C
EYS
USP47
NCOA2
MB21D2
GPR82
RP11-368L12.1
DNAJA1
TMED8
TMEM200A
TRA2A
RP11-599B13.6
AC096558.1
SLC41A1
CMTM4
RPL7L1
CCDC134
FBXW4
MATN2
VHL
SHANK1
FOCAD
CLOCK
GATAD2B
AATK
MBOAT1
KTN1
