CTD-3006G17.2
HSD17B2
LIN28B
RSPO3
HACE1
TFPI2
AC011288.2
RASGRF2
FUT9
RALYL
PPM1L
ADRB1
GRIK2
MEOX2
PCSK5
EXOC6
WARS
FCGR2C
PVT1
MIR503HG
LRP6
TLL1
JAM3
AL132709.5
ANTXR2
MIR181A1HG
EGFL7
BICD1
NNAT
CACHD1
ZBTB20
JAM2
STXBP6
TMCC1
PLCB4
MRI1
CLEC1A
JAG1
CHSY1
SLC2A1
AC069277.2
IGF2
C5orf17
AL035610.2
AC007319.1
DLEU1
SHROOM1
SYN2
AL163953.3
ADAMTS18
LPCAT2
AL132709.8
RP11-397A16.1
PPP2R2A
RP11-184E9.1
KL
IDO2
ZSWIM5
KIAA1551
CASC9
PIK3R3
RP11-145G20.1
RP11-268G12.1
DDHD1
MYLIP
AGBL4
RP11-38P22.2
ZNF331
TAX1BP1
RP11-384J4.2
MERTK
CREM
RP11-268G12.3
HERC2P3
BLCAP
NDNF
RP11-624C23.1
RP5-964N17.1
HOXA13
RP11-445O3.2
FAM124A
GRB14
RP11-453F18__B.1
LINC00648
PLOD2
MIR519A2
MVB12B
ARHGAP4
RP11-1028N23.4
AMD1
RCAN1
CSPP1
AP1S2
DNAH8
RP11-142I20.1
RP11-510J16.5
RP11-191L9.4
MEG9
TRIM16
RP11-78F17.1
AC018890.6
SYCP2
TMEM189
ZNF770
PROSER1
LNX1
XXYLT1
