PTPRJ
KIT
MPP7
MAN1A1
ARHGEF3
HLA-B
SYNGR1
APOLD1
TOX
TNRC6B
ARRB1
MTHFD1L
C10orf11
TRIO
ANGPT1
XYLT1
KCNQ5-IT1
TNRC18
DNAH14
RPLP1
KCNQ5
CERS6
DOCK10
TBC1D5
RP11-222A11.1
DOCK2
ERG
RPL37A
GMDS
SYK
WIPF1
GAS5
PDS5A
BTBD11
FCHSD2
DAPP1
PDZD2
RB1CC1
ATM
PLEKHO1
SPIDR
C14orf159
NAP1L1
RP11-367G6.3
RPS6
SH3KBP1
ALB
RAB11FIP1
SSH2
ENO1
FBXL17
PTPRC
NSMAF
EGFL7
IKZF1
GAB2
PTK2B
RPL37
SMARCA2
RANBP17
PLEKHA5
CAMK1D
C17orf76-AS1
TPM2
EIF3A
BTBD9
VAV1
CCDC171
ZNF292
DIP2B
ZMYM4
MGAT5
SMCHD1
ZMYM2
AGO3
PRRC2B
TRERF1
ST6GAL1
PRSS57
PHF14
ERC1
RPS10-NUDT3
PHACTR4
R3HDM1
CALCOCO1
FAM49B
RPL19
ABLIM1
CD109
SCAI
KMT2A
PADI4
HSP90AB1
ITPKB
RPL23
MYADM
DDX10
DACH1
NF1
AKAP13
TRAF3
RPS29
GPSM2
KIAA1958
RPS12
ABLIM3
NAALADL2
GBAS
GNB1
ARFGEF1
SEC31A
ANKRD36C
RP11-1084J3.4
ST3GAL6
PREX1
ITGB5
IPCEF1
DISC1
NMU
CPNE8
RHOH
CTNNA3
NARS2
RPL15
MYO9A
AC002454.1
GABPB1-AS1
CNPY3
SULT1A1
PAG1
ZNF83
SERPINE1
MRC2
ATP10A
NADK2
RPL8
SPTBN1
YEATS2
AFMID
BCL7A
ITPR2
NASP
ARHGAP22
ZNF710
LRMP
SPAG17
SNHG14
RUFY3
ARID5B
PRKRIP1
PAK2
PRKAG2
RPL30
HERC4
CABLES1
C19orf48
GNAI1
SLC2A13
CD44
RPS5
PLCG2
OAF
DNMT3A
TMEM123
PLAGL1
FAM117B
XKR6
PPM1L
DNM1
ESRRG
RPS20
TRAK1
JPX
BMP6
IGF2BP2
C1orf186
EMR2
MOB3B
CCDC57
CTD-2054N24.2
MANBA
POU2F2
CHD9
ANKRD44
PIBF1
ULK4
C11orf80
CLEC11A
DENND3
VPS13C
LPCAT2
EFCAB2
DTNB
ANKRD17
TMSB10
XIST
ERICH1
ZNRF1
COLGALT1
MATR3
SFXN4
ANP32A
CLUH
CD164
FAM60A
SHROOM4
RP11-421L21.3
MSH3
ZNF652
VEPH1
ZNF827
FOXO1
UBE3D
ANXA1
SKAP1
WDPCP
RUNX2
SH2D3C
ZNF395
NLGN1
ANTXR2
MAGED1
FAM45A
RNF144A
CLNK
PHF20
SGIP1
NLN
ZDHHC21
RPL23A
AC074286.1
ATG7
NEDD4
AP001347.6
TANC2
NUCB2
AFP
FOXK1
MSRA
RASA2
RPL27
TMCC1
WFDC1
RP11-398K22.12
PABPC1
MGMT
ANKRD44-IT1
PRPF40B
DCAF8
RABGAP1
SEH1L
APOA1
FARSB
GEMIN5
SLC25A29
H19
ODF2
RPL10A
PI4K2B
KDM2B
SLC25A43
URGCP
CD53
NUP62
BAZ2B
SERTAD2
RASSF1
NDE1
NUFIP2
TM7SF3
ZNF496
LDB2
EIF4B
ZNF43
CHD3
TMEM65
FBRSL1
EAF2
RPL14
GGA2
STK10
HNRNPC
TAMM41
PLIN3
STMN1
AC097721.2
ERO1LB
FBXW8
FTO
RPL36A
COG7
RPTOR
ZDHHC20
HTT
CELF1
H1FX
RABGEF1
RGS3
RPL7
USP36
RAPGEF1
RASSF3
FGD4
SNHG8
ITSN2
RPS10
PCMTD1
RRP12
E2F8
YLPM1
TGFBRAP1
MPZL1
LINC00969
FAM216A
ZNF254
RP11-418J17.1
PRKCE
PPAP2A
XBP1
ZNF131
AC034193.5
RP11-31F15.1
C12orf75
EIF2S3
IQGAP1
SLC35E3
CHKA
BAP1
DYX1C1
RPS6KA3
ACAP2
RP6-99M1.2
CPSF6
ACVR2A
RP11-106M3.2
