GNLY
KLRD1
EOMES
NKG7
PRF1
IL2RB
GZMA
KLRC4-KLRK1
KLRC1
CTSW
TGFBR3
DUSP2
NCR1
PYHIN1
CCL5
SAMD3
HEG1
SYNE1
CCL4
GZMM
LINC00861
IL12RB2
NCAM1
KLRB1
LDB2
ITGAL
STK17A
WIPF1
HCST
PARP8
RP11-94L15.2
DOK2
CBLB
GNPTAB
CDC42SE1
GNG2
IFITM2
AKNA
TES
EPHA4
SASH3
STK39
ARAP2
GIMAP4
TRDC
SUN2
LASP1
STAT4
PITPNC1
TC2N
SIDT1
CCND2
IFI16
SYTL1
RNF213
CD97
RNF125
CCL3
TAGAP
TTC39B
RASAL3
CNOT6L
PTPRCAP
GIMAP7
IL2RG
LNPEP
CCDC88C
CCSER2
TMEM2
CALM1
ZAP70
SYTL2
SLC9A3R1
PTPRC
SLFN12L
CD300A
NR4A2
JAK1
CD69
CD48
CRIM1
SKAP1
PRKCH
GBP2
SLFN5
PSD4
NFATC2
PIK3R1
SYTL3
PAM
PFN1
PDCD4
STK10
DENND2D
ARL4C
GPRIN3
PCED1B-AS1
FYN
ZFP36L2
MLLT6
SLC38A1
CYLD
TXNIP
DENND1C
PKN1
RHOF
PPP1R18
NCOA1
EFHD2
SH2D1A
BTG1
HLA-E
ATM
CD96
ETS1
CD247
YES1
JUN
ARHGAP30
SLA2
SEMA4D
GFOD1
KCNAB2
SET
IRF1
UTRN
ARHGAP9
PIP4K2A
CST7
PSME1
ACTN4
PSTPIP1
SIGIRR
LY6E
SYNRG
SLAMF6
PDGFD
MATK
NOTCH1
SH3BP1
SPATA13
CRTAM
YPEL1
TUBA1B
GIMAP1
RARRES3
PTPRD
RRAS2
FAM159A
CD160
DHRS3
ARID5A
GPR65
RBL2
C1orf21
BTN3A2
SLFN13
UBB
CD244
PPDPF
MYBL1
SERBP1
DDX5
SH2D2A
PTGDR
LINGO2
CASP4
FAM78A
KLRC2
GPR56
ZNF831
SEPT7
CLEC2B
GRIK4
HELB
RNF44
ROCK1
APOBEC3G
ITGAD
CORO1A
XCL1
PRR5L
DYRK2
LIMK1
EIF3G
EIF5A
PRKY
GRK6
GZMK
SNTB2
UBALD2
RHOC
TRGC1
IRF2BPL
HMOX2
SFI1
AC069363.1
PLCXD2
GBP5
DAXX
ZDHHC20
SSR2
GIMAP2
GIMAP6
RP11-902B17.1
CMC1
HIST1H1D
KDM5A
RNF165
OAS2
RP11-104L21.3
PPP3CC
ITGA1
PCSK7
IL18RAP
TNFSF14
SIPA1
TAPSAR1
NCR3
ARPC5L
RGS3
CLASP1
RP11-661P17.1
HNRNPUL1
SH2D1B
ZNF91
AF131217.1
LFNG
SMAD7
KLRC3
DAB1
HSPA8
SLC4A4
FCRL3
NDUFB2
CLIP4
KLRF1
MT2A
RP11-58E21.3
PPP1R13B
PLEKHF1
DRAP1
HNRNPA2B1
RP1-15D23.2
TSHZ1
DDX60
CTBP1
CARHSP1
CHCHD2
RP11-473M20.7
GLUD1
SPON2
RP11-402J7.2
HOPX
TIGIT
PHF15
CENPB
CCNJL
RP11-1094M14.5
ZNF800
CASP8
TMX4
GZMH
ABCA2
S1PR5
APOBEC3C
TBX21
MYL12B
ELK4
C19orf12
YARS
STYK1
BATF
CHST12
SRSF3
ATXN7L3B
TRGC2
SMC3
GSDMD
CEP78
MAPK3
OPTN
KB-1208A12.3
USP28
ZFYVE28
HELZ2
COL6A2
C21orf91
CTSO
FAM179A
RP5-1180E21.5
RAB43
P2RY11
RPL36AL
SAMD9
BTN3A3
RP5-1028K7.2
LSM14A
FBXO32
PRDX5
TMEM106B
TYMS
PPP2R1A
AC018890.6
XCL2
EID1
TINF2
ERAP1
RNPEPL1
RAVER1
PSMB4
S100PBP
ALYREF
AC015849.2
U2AF2
TTC38
APOBEC3D
HSPE1
MEX3C
PPP2R2B
DZIP3
APMAP
DTHD1
FAM217B
KLRK1
CLDND1
PTGER2
HNRNPF
CDKN2A
CLSTN3
TCEB2
RP11-796E2.4
POLR2G
CHMP4A
G6PD
ABHD17A
MYOM2
TNFRSF18
RAB35
SAR1A
CXCR6
RP11-121A8.1
COX7A2
TBX3
RP11-747H7.3
LPHN3
RNF126
PILRB
RANBP1
ACAA2
GCHFR
ALDH3A2
ELMO2
FASLG
VPS28
EIF4EBP2
TSC22D4
UBLCP1
ATAD3B
AC092580.4
MAPK1
CDHR1
ASTL
TMA7
RP11-81N13.1
RP3-400N23.6
PRMT1
SH3GLB1
SH3YL1
FBXO6
RP11-25K19.1
AFAP1L2
KIAA1551
SEPHS2
C1orf56
SMYD2
SPRY2
MAP2K2
AKAP5
FBXO33
CPSF3L
RNF167
HNRNPA1P48
BUB3
KCTD10
CYB5B
RP11-553L6.2
SACM1L
RWDD1
LINC00473
FAM111A
PSMB3
DCAF7
ZNF683
PSMA2
RAB11B
CTD-2047H16.4
CC2D1B
FGFBP2
SURF4
BCLAF1
MKI67IP
ACBD5
MC2R
NELFCD
RICTOR
SMAD2
PPP5C
EBP
SYS1
MAT2B
LPAR2
PHAX
PSMB1
