"","x"
"319","AHNAK"
"320","AHNAK2"
"321","AHR"
"322","AHSA1"
"323","AIDA"
"324","AIF1L"
"325","AIFM1"
"326","AIFM2"
"327","AIFM3"
"328","AIG1"
"329","AIM2"
"330","AIMP1"
"331","AIMP2"
"332","AIP"
"333","AJM1"
"334","AJUBA"
"335","AK1"
"336","AK2"
"337","AK3"
"338","AK4"
"339","AK5"
"340","AK6"
"341","AK7"
"342","AK9"
"343","AKAP1"
"344","AKAP10"
"345","AKAP11"
"346","AKAP12"
"347","AKAP13"
"348","AKAP17A"
"349","AKAP2"
"350","AKAP5"
"351","AKAP6"
"352","AKAP7"
"353","AKAP8"
"354","AKAP8L"
"355","AKAP9"
"356","AKIP1"
"357","AKIRIN1"
"358","AKIRIN2"
"359","AKNA"
"360","AKNAD1"
"361","AKR1A1"
"362","AKR1B1"
"363","AKR1B15"
"364","AKR1C1"
"365","AKR1C2"
"366","AKR1C3"
"367","AKR1E2"
"368","AKR7A2"
"369","AKT1"
"370","AKT1S1"
"371","AKT2"
"372","AKT3"
"373","AKTIP"
"374","ALAD"
"375","ALAS1"
"376","ALCAM"
"377","ALDH16A1"
"378","ALDH18A1"
"379","ALDH1A1"
"380","ALDH1A2"
"381","ALDH1A3"
"382","ALDH1B1"
"383","ALDH1L2"
"384","ALDH2"
"385","ALDH3A2"
"386","ALDH3B1"
"387","ALDH4A1"
"388","ALDH5A1"
"389","ALDH6A1"
"390","ALDH7A1"
"391","ALDH8A1"
"392","ALDH9A1"
"393","ALDOC"
"394","ALG1"
"395","ALG10"
"396","ALG10B"
"397","ALG11"
"398","ALG12"
"399","ALG13"
"400","ALG14"
"401","ALG1L"
"402","ALG1L2"
"403","ALG2"
"404","ALG3"
"405","ALG5"
"406","ALG6"
"407","ALG8"
"408","ALG9"
"409","ALK"
"410","ALKBH1"
"411","ALKBH2"
"412","ALKBH3"
"413","ALKBH4"
"414","ALKBH5"
"415","ALKBH6"
"416","ALKBH7"
"417","ALKBH8"
"418","ALMS1"
"419","ALOX12"
"420","ALPK1"
"421","ALS2"
"422","ALS2CL"
"423","ALX1"
"424","ALYREF"
"425","AMACR"
"426","AMBRA1"
"427","AMD1"
"428","AMDHD1"
"429","AMDHD2"
"430","AMER1"
"431","AMFR"
"432","AMH"
"433","AMIGO1"
"434","AMIGO2"
"435","AMIGO3"
"436","AMMECR1"
"437","AMMECR1L"
"438","AMN1"
"439","AMOT"
"440","AMOTL1"
"441","AMOTL2"
"442","AMPD2"
"443","AMPD3"
"444","AMPH"
"445","AMT"
"446","AMY2B"
"447","AMZ1"
"448","AMZ2"
"449","ANAPC1"
"450","ANAPC10"
"451","ANAPC11"
"452","ANAPC13"
"453","ANAPC15"
"454","ANAPC16"
"455","ANAPC2"
"456","ANAPC4"
"457","ANAPC5"
"458","ANAPC7"
"459","ANG"
"460","ANGEL1"
"461","ANGEL2"
"462","ANGPT1"
"463","ANGPT2"
"464","ANGPTL4"
"465","ANGPTL6"
"466","ANGPTL8"
"467","ANK2"
"468","ANK3"
"469","ANKAR"
"470","ANKDD1A"
"471","ANKDD1B"
"472","ANKFY1"
"473","ANKH"
"474","ANKHD1"
"475","ANKHD1-EIF4EBP3"
"476","ANKIB1"
"477","ANKLE1"
"478","ANKLE2"
"479","ANKMY1"
"480","ANKMY2"
"481","ANKRA2"
"482","ANKRD1"
"483","ANKRD10"
"484","ANKRD11"
"485","ANKRD12"
"486","ANKRD13A"
"487","ANKRD13B"
"488","ANKRD13C"
"489","ANKRD13D"
"490","ANKRD16"
"491","ANKRD17"
"492","ANKRD18A"
"493","ANKRD20A1"
"494","ANKRD20A2"
"495","ANKRD20A3"
"496","ANKRD20A4"
"497","ANKRD23"
"498","ANKRD24"
"499","ANKRD26"
"500","ANKRD27"
"501","ANKRD28"
"502","ANKRD29"
"503","ANKRD30B"
"504","ANKRD33B"
"505","ANKRD34A"
"506","ANKRD36"
"507","ANKRD36B"
"508","ANKRD36C"
"509","ANKRD37"
"510","ANKRD39"
"511","ANKRD40"
"512","ANKRD40CL"
"513","ANKRD42"
"514","ANKRD44"
"515","ANKRD45"
"516","ANKRD46"
"517","ANKRD49"
"518","ANKRD50"
"519","ANKRD52"
"520","ANKRD53"
"521","ANKRD54"
"522","ANKRD55"
"523","ANKRD6"
"524","ANKRD61"
"525","ANKRD7"
"526","ANKRD9"
"527","ANKS1A"
"528","ANKS1B"
"529","ANKS3"
"530","ANKS6"
"531","ANKZF1"
"532","ANLN"
"533","ANO10"
"534","ANO4"
"535","ANO6"
"536","ANO7"
"537","ANO8"
"538","ANO9"
"539","ANP32A"
"540","ANP32B"
"541","ANP32E"
"542","ANTXR1"
"543","ANTXR2"
"544","ANXA1"
"545","ANXA11"
"546","ANXA13"
"547","ANXA2"
"548","ANXA2R"
"549","ANXA3"
"550","ANXA4"
"551","ANXA5"
"552","ANXA6"
"553","ANXA7"
"554","ANXA9"
"555","AOPEP"
"556","AOX1"
"557","AP1AR"
"558","AP1B1"
"559","AP1G1"
"560","AP1G2"
"561","AP1M1"
"562","AP1S1"
"563","AP1S2"
"564","AP1S3"
"565","AP2A1"
"566","AP2A2"
"567","AP2B1"
"568","AP2M1"
"569","AP2S1"
"570","AP3B1"
"571","AP3B2"
"572","AP3D1"
"573","AP3M1"
"574","AP3M2"
"575","AP3S1"
"576","AP3S2"
"577","AP4B1"
"578","AP4E1"
"579","AP4M1"
"580","AP4S1"
"581","AP5B1"
"582","AP5M1"
"583","AP5S1"
"584","AP5Z1"
"585","APAF1"
"586","APBA1"
"587","APBA3"
"588","APBB1"
"589","APBB2"
"590","APBB3"
"591","APC"
"592","APC2"
"593","APCDD1"
"594","APEH"
"595","APELA"
"596","APEX1"
"597","APEX2"
"598","APH1A"
"599","APH1B"
"600","API5"
"601","APIP"
"602","APLN"
"603","APLP1"
"604","APLP2"
"605","APMAP"
"606","APOBEC3B"
"607","APOBEC3C"
"608","APOBEC3D"
"609","APOBEC3F"
"610","APOBEC3G"
"611","APOC1"
"612","APOC2"
"613","APOD"
"614","APOE"
"615","APOL1"
"616","APOL2"
"617","APOL3"
"618","APOL4"
"619","APOL6"
"620","APOLD1"
"621","APOM"
"622","APOO"
"623","APOOL"
"624","APP"
"625","APPBP2"
"626","APPL1"
"627","APPL2"
"628","APRT"
"629","APTX"
"630","AQP11"
"631","AQP3"
"632","AQP6"
"633","AQP7"
"634","AQR"
"635","AR"
"636","ARAF"
"637","ARAP1"
"638","ARAP2"
"639","ARAP3"
"640","ARCN1"
"641","AREG"
"642","AREL1"
"643","ARF1"
"644","ARF3"
"645","ARF4"
"646","ARF5"
"647","ARF6"
"648","ARFGAP1"
"649","ARFGAP2"
"650","ARFGAP3"
"651","ARFGEF1"
"652","ARFGEF2"
"653","ARFIP1"
"654","ARFIP2"
"655","ARFRP1"
"656","ARG2"
"657","ARGLU1"
"658","ARHGAP1"
"659","ARHGAP10"
"660","ARHGAP11A"
"661","ARHGAP12"
"662","ARHGAP15"
"663","ARHGAP17"
"664","ARHGAP18"
"665","ARHGAP19"
"666","ARHGAP21"
"667","ARHGAP22"
"668","ARHGAP23"
"669","ARHGAP24"
"670","ARHGAP26"
"671","ARHGAP27"
"672","ARHGAP28"
"673","ARHGAP29"
"674","ARHGAP30"
"675","ARHGAP31"
"676","ARHGAP32"
"677","ARHGAP33"
"678","ARHGAP35"
"679","ARHGAP39"
"680","ARHGAP4"
"681","ARHGAP42"
"682","ARHGAP45"
"683","ARHGAP5"
"684","ARHGAP8"
"685","ARHGAP9"
"686","ARHGDIA"
"687","ARHGDIB"
"688","ARHGDIG"
"689","ARHGEF1"
"690","ARHGEF10"
"691","ARHGEF10L"
"692","ARHGEF11"
"693","ARHGEF12"
"694","ARHGEF17"
"695","ARHGEF19"
"696","ARHGEF2"
"697","ARHGEF25"
"698","ARHGEF26"
"699","ARHGEF28"
"700","ARHGEF3"
"701","ARHGEF35"
"702","ARHGEF37"
"703","ARHGEF38"
"704","ARHGEF39"
"705","ARHGEF4"
"706","ARHGEF40"
"707","ARHGEF5"
"708","ARHGEF6"
"709","ARHGEF7"
"710","ARHGEF9"
"711","ARID1A"
"712","ARID1B"
"713","ARID2"
