"","x"
"3097","DNASE1"
"3098","DNASE1L1"
"3099","DNASE1L2"
"3100","DNASE2"
"3101","DND1"
"3102","DNER"
"3103","DNHD1"
"3104","DNLZ"
"3105","DNM1"
"3106","DNM1L"
"3107","DNM2"
"3108","DNM3"
"3109","DNMBP"
"3110","DNMT1"
"3111","DNMT3A"
"3112","DNMT3B"
"3113","DNPEP"
"3114","DNPH1"
"3115","DNTTIP1"
"3116","DNTTIP2"
"3117","DOC2A"
"3118","DOCK1"
"3119","DOCK10"
"3120","DOCK11"
"3121","DOCK2"
"3122","DOCK3"
"3123","DOCK4"
"3124","DOCK5"
"3125","DOCK6"
"3126","DOCK7"
"3127","DOCK8"
"3128","DOCK8-AS1"
"3129","DOCK9"
"3130","DOHH"
"3131","DOK1"
"3132","DOK3"
"3133","DOK4"
"3134","DOLK"
"3135","DOLPP1"
"3136","DONSON"
"3137","DOP1A"
"3138","DOP1B"
"3139","DOT1L"
"3140","DPAGT1"
"3141","DPCD"
"3142","DPEP1"
"3143","DPF1"
"3144","DPF2"
"3145","DPF3"
"3146","DPH1"
"3147","DPH2"
"3148","DPH3"
"3149","DPH5"
"3150","DPH6"
"3151","DPH7"
"3152","DPM1"
"3153","DPM2"
"3154","DPM3"
"3155","DPP10"
"3156","DPP3"
"3157","DPP7"
"3158","DPP8"
"3159","DPP9"
"3160","DPPA4"
"3161","DPY19L1"
"3162","DPY19L2"
"3163","DPY19L3"
"3164","DPY19L4"
"3165","DPY30"
"3166","DPYD"
"3167","DPYSL2"
"3168","DPYSL3"
"3169","DQX1"
"3170","DR1"
"3171","DRAM1"
"3172","DRAM2"
"3173","DRAP1"
"3174","DRC3"
"3175","DRD4"
"3176","DRG1"
"3177","DRG2"
"3178","DROSHA"
"3179","DSCC1"
"3180","DSE"
"3181","DSEL"
"3182","DSN1"
"3183","DSP"
"3184","DST"
"3185","DSTN"
"3186","DSTYK"
"3187","DTD1"
"3188","DTD2"
"3189","DTL"
"3190","DTNA"
"3191","DTNB"
"3192","DTNBP1"
"3193","DTWD1"
"3194","DTWD2"
"3195","DTX2"
"3196","DTX3"
"3197","DTX3L"
"3198","DTX4"
"3199","DTYMK"
"3200","DUOX1"
"3201","DUS1L"
"3202","DUS2"
"3203","DUS3L"
"3204","DUS4L"
"3205","DUSP1"
"3206","DUSP10"
"3207","DUSP11"
"3208","DUSP12"
"3209","DUSP14"
"3210","DUSP15"
"3211","DUSP16"
"3212","DUSP18"
"3213","DUSP19"
"3214","DUSP2"
"3215","DUSP22"
"3216","DUSP23"
"3217","DUSP28"
"3218","DUSP3"
"3219","DUSP4"
"3220","DUSP5"
"3221","DUSP6"
"3222","DUSP7"
"3223","DUSP8"
"3224","DUSP9"
"3225","DUT"
"3226","DUX4"
"3227","DVL1"
"3228","DVL2"
"3229","DVL3"
"3230","DXO"
"3231","DYM"
"3232","DYNAP"
"3233","DYNC1H1"
"3234","DYNC1I1"
"3235","DYNC1I2"
"3236","DYNC1LI1"
"3237","DYNC1LI2"
"3238","DYNC2LI1"
"3239","DYNLL1"
"3240","DYNLL2"
"3241","DYNLRB1"
"3242","DYNLT1"
"3243","DYNLT3"
"3244","DYRK1A"
"3245","DYRK1B"
"3246","DYRK2"
"3247","DYRK3"
"3248","DYRK4"
"3249","DYSF"
"3250","DZANK1"
"3251","DZIP1L"
"3252","DZIP3"
"3253","E2F1"
"3254","E2F2"
"3255","E2F3"
"3256","E2F4"
"3257","E2F5"
"3258","E2F6"
"3259","E2F7"
"3260","E2F8"
"3261","E4F1"
"3262","EAF1"
"3263","EAF2"
"3264","EAPP"
"3265","EARS2"
"3266","EBAG9"
"3267","EBF1"
"3268","EBF3"
"3269","EBF4"
"3270","EBLN2"
"3271","EBNA1BP2"
"3272","EBP"
"3273","EBPL"
"3274","ECD"
"3275","ECE1"
"3276","ECH1"
"3277","ECHDC1"
"3278","ECHDC2"
"3279","ECHDC3"
"3280","ECHS1"
"3281","ECI1"
"3282","ECI2"
"3283","ECM1"
"3284","ECPAS"
"3285","ECSIT"
"3286","ECT2"
"3287","EDARADD"
"3288","EDC3"
"3289","EDC4"
"3290","EDEM1"
"3291","EDEM2"
"3292","EDEM3"
"3293","EDF1"
"3294","EDIL3"
"3295","EDNRB"
"3296","EDRF1"
"3297","EED"
"3298","EEF1A1"
"3299","EEF1A2"
"3300","EEF1AKMT1"
"3301","EEF1AKMT2"
"3302","EEF1AKMT3"
"3303","EEF1AKMT4"
"3304","EEF1AKNMT"
"3305","EEF1B2"
"3306","EEF1D"
"3307","EEF1E1"
"3308","EEF1G"
"3309","EEF2"
"3310","EEF2K"
"3311","EEF2KMT"
"3312","EEFSEC"
"3313","EEPD1"
"3314","EFCAB10"
"3315","EFCAB11"
"3316","EFCAB12"
"3317","EFCAB13"
"3318","EFCAB14"
"3319","EFCAB2"
"3320","EFCAB3"
"3321","EFCAB5"
"3322","EFCAB6"
"3323","EFCAB7"
"3324","EFEMP2"
"3325","EFHB"
"3326","EFHC1"
"3327","EFHD1"
"3328","EFHD2"
"3329","EFL1"
"3330","EFNA1"
"3331","EFNA3"
"3332","EFNA4"
"3333","EFNA5"
"3334","EFNB1"
"3335","EFNB2"
"3336","EFNB3"
"3337","EFR3A"
"3338","EFR3B"
"3339","EFS"
"3340","EFTUD2"
"3341","EGF"
"3342","EGFL7"
"3343","EGFL8"
"3344","EGFR"
"3345","EGLN1"
"3346","EGLN2"
"3347","EGLN3"
"3348","EGR1"
"3349","EGR3"
"3350","EHBP1"
"3351","EHBP1L1"
"3352","EHD1"
"3353","EHD2"
"3354","EHD4"
"3355","EHHADH"
"3356","EHMT1"
"3357","EHMT2"
"3358","EI24"
"3359","EID1"
"3360","EID2"
"3361","EID2B"
"3362","EID3"
"3363","EIF1"
"3364","EIF1AD"
"3365","EIF1AY"
"3366","EIF1B"
"3367","EIF2A"
"3368","EIF2AK1"
"3369","EIF2AK2"
"3370","EIF2AK3"
"3371","EIF2AK4"
"3372","EIF2B1"
"3373","EIF2B2"
"3374","EIF2B3"
"3375","EIF2B4"
"3376","EIF2B5"
"3377","EIF2D"
"3378","EIF2S1"
"3379","EIF2S2"
"3380","EIF2S3"
"3381","EIF3A"
"3382","EIF3B"
"3383","EIF3C"
"3384","EIF3CL"
"3385","EIF3D"
"3386","EIF3E"
"3387","EIF3F"
"3388","EIF3G"
"3389","EIF3H"
"3390","EIF3I"
"3391","EIF3J"
"3392","EIF3K"
"3393","EIF3L"
"3394","EIF3M"
"3395","EIF4A1"
"3396","EIF4A2"
"3397","EIF4A3"
"3398","EIF4B"
"3399","EIF4E"
"3400","EIF4E2"
"3401","EIF4E3"
"3402","EIF4EBP1"
"3403","EIF4EBP2"
"3404","EIF4EBP3"
"3405","EIF4ENIF1"
"3406","EIF4G1"
"3407","EIF4G2"
"3408","EIF4G3"
"3409","EIF4H"
"3410","EIF5"
"3411","EIF5A"
"3412","EIF5A2"
"3413","EIF5AL1"
"3414","EIF5B"
"3415","EIF6"
"3416","EIPR1"
"3417","ELAC1"
"3418","ELAC2"
"3419","ELAVL1"
"3420","ELAVL2"
"3421","ELF1"
"3422","ELF2"
"3423","ELF3"
"3424","ELF4"
"3425","ELK1"
"3426","ELK3"
"3427","ELK4"
"3428","ELL"
"3429","ELL2"
"3430","ELL3"
"3431","ELMO2"
"3432","ELMO3"
"3433","ELMOD1"
"3434","ELMOD2"
"3435","ELMOD3"
"3436","ELMSAN1"
"3437","ELN"
"3438","ELOA"
"3439","ELOB"
"3440","ELOC"
"3441","ELOF1"
"3442","ELOVL1"
"3443","ELOVL2"
"3444","ELOVL4"
"3445","ELOVL5"
"3446","ELOVL6"
"3447","ELOVL7"
"3448","ELP1"
"3449","ELP2"
"3450","ELP3"
"3451","ELP4"
"3452","ELP5"
"3453","ELP6"
"3454","EMB"
"3455","EMC1"
"3456","EMC10"
"3457","EMC2"
"3458","EMC3"
"3459","EMC4"
"3460","EMC6"
"3461","EMC7"
"3462","EMC8"
"3463","EMC9"
"3464","EMCN"
"3465","EMD"
"3466","EME1"
"3467","EME2"
"3468","EMG1"
"3469","EMILIN1"
"3470","EMILIN2"
"3471","EML1"
"3472","EML2"
"3473","EML3"
"3474","EML4"
"3475","EML5"
"3476","EML6"
"3477","EMP1"
"3478","EMP2"
"3479","EMP3"
"3480","EMSY"
"3481","EN1"
"3482","EN2"
"3483","ENAH"
"3484","ENAM"
"3485","ENC1"
"3486","ENDOD1"
"3487","ENDOG"
"3488","ENDOV"
"3489","ENG"
"3490","ENGASE"
"3491","ENKD1"
"3492","ENO1"
"3493","ENO2"
"3494","ENO3"
"3495","ENOPH1"
"3496","ENOSF1"
"3497","ENOX1"
"3498","ENOX2"
"3499","ENPP1"
"3500","ENPP2"
"3501","ENPP3"
"3502","ENPP4"
"3503","ENPP5"
"3504","ENSA"
"3505","ENTHD1"
"3506","ENTPD1"
"3507","ENTPD4"
"3508","ENTPD5"
"3509","ENTPD6"
"3510","ENTPD7"
"3511","ENTR1"
"3512","ENY2"
"3513","EOGT"
"3514","EP300"
"3515","EP400"
"3516","EPAS1"
"3517","EPB41"
"3518","EPB41L1"
"3519","EPB41L2"
"3520","EPB41L3"
"3521","EPB41L4A"
"3522","EPB41L5"
"3523","EPC1"
"3524","EPC2"
"3525","EPDR1"
"3526","EPG5"
"3527","EPHA1"
"3528","EPHA2"
"3529","EPHA3"
"3530","EPHA4"
"3531","EPHA5"
"3532","EPHA6"
"3533","EPHB1"
"3534","EPHB3"
"3535","EPHB4"
"3536","EPHX1"
"3537","EPHX2"
"3538","EPHX4"
"3539","EPM2A"
"3540","EPM2AIP1"
"3541","EPN1"
"3542","EPN2"
"3543","EPOP"
"3544","EPOR"
"3545","EPPIN"
"3546","EPRS"
"3547","EPS15"
"3548","EPS15L1"
"3549","EPS8"
"3550","EPS8L1"
"3551","EPS8L2"
"3552","EPSTI1"
"3553","ERAL1"
"3554","ERAP1"
"3555","ERAP2"
"3556","ERBB2"
"3557","ERBB3"
"3558","ERBB4"
"3559","ERBIN"
"3560","ERC1"
"3561","ERCC1"
"3562","ERCC2"
"3563","ERCC3"
"3564","ERCC4"
"3565","ERCC6L"
"3566","ERCC6L2"
"3567","ERCC8"
"3568","EREG"
"3569","ERF"
"3570","ERFE"
"3571","ERG28"
"3572","ERGIC1"
"3573","ERGIC2"
"3574","ERGIC3"
"3575","ERH"
"3576","ERI1"
"3577","ERI2"
"3578","ERI3"
"3579","ERICH1"
"3580","ERICH2"
"3581","ERICH6"
"3582","ERICH6B"
"3583","ERLEC1"
"3584","ERLIN1"
"3585","ERLIN2"
"3586","ERMAP"
"3587","ERMARD"
"3588","ERMP1"
"3589","ERN1"
"3590","ERO1A"
"3591","ERO1B"
"3592","ERP29"
"3593","ERP44"
"3594","ERRFI1"
"3595","ERV3-1"
"3596","ERVW-1"
"3597","ESCO1"
"3598","ESCO2"
"3599","ESD"
"3600","ESF1"
"3601","ESPL1"
"3602","ESPNL"
"3603","ESR1"
"3604","ESR2"
"3605","ESRP1"
"3606","ESRP2"
"3607","ESRRA"
"3608","ESS2"
"3609","ESYT1"
"3610","ESYT2"
"3611","ESYT3"
"3612","ETAA1"
"3613","ETF1"
"3614","ETFA"
"3615","ETFB"
"3616","ETFBKMT"
"3617","ETFDH"
"3618","ETFRF1"
"3619","ETHE1"
"3620","ETNK1"
"3621","ETNK2"
"3622","ETNPPL"
"3623","ETS1"
"3624","ETS2"
"3625","ETV1"
"3626","ETV2"
"3627","ETV3"
"3628","ETV4"
"3629","ETV5"
"3630","ETV6"
"3631","ETV7"
"3632","EVA1A"
"3633","EVA1B"
"3634","EVA1C"
"3635","EVC"
"3636","EVC2"
"3637","EVI2A"
"3638","EVI2B"
"3639","EVI5"
"3640","EVI5L"
"3641","EVL"
"3642","EWSR1"
"3643","EXD2"
"3644","EXD3"
"3645","EXO1"
"3646","EXO5"
"3647","EXOC1"
"3648","EXOC2"
"3649","EXOC3"
"3650","EXOC3L1"
"3651","EXOC4"
"3652","EXOC5"
"3653","EXOC6"
"3654","EXOC6B"
"3655","EXOC7"
"3656","EXOC8"
"3657","EXOG"
"3658","EXOSC1"
"3659","EXOSC10"
"3660","EXOSC2"
"3661","EXOSC3"
"3662","EXOSC4"
"3663","EXOSC5"
"3664","EXOSC6"
"3665","EXOSC7"
"3666","EXOSC8"
"3667","EXOSC9"
"3668","EXPH5"
"3669","EXT1"
"3670","EXT2"
"3671","EXTL1"
"3672","EXTL2"
"3673","EXTL3"
"3674","EYA1"
"3675","EYA3"
"3676","EYA4"
"3677","EYS"
"3678","EZH1"
"3679","EZH2"
"3680","EZR"
"3681","F11R"
"3682","F12"
"3683","F2R"
"3684","F3"
"3685","F8"
"3686","F8A1"
"3687","FAAP100"
"3688","FAAP20"
"3689","FAAP24"
"3690","FABP3"
"3691","FABP5"
"3692","FABP7"
"3693","FADD"
"3694","FADS1"
"3695","FADS2"
"3696","FADS3"
"3697","FADS6"
"3698","FAF1"
"3699","FAF2"
"3700","FAH"
"3701","FAHD1"
"3702","FAHD2A"
"3703","FAHD2B"
"3704","FAIM"
"3705","FAM102A"
"3706","FAM102B"
"3707","FAM104A"
"3708","FAM104B"
"3709","FAM107B"
"3710","FAM110A"
"3711","FAM110B"
"3712","FAM111A"
"3713","FAM111B"
"3714","FAM114A1"
"3715","FAM114A2"
"3716","FAM117A"
"3717","FAM117B"
"3718","FAM118A"
"3719","FAM118B"
"3720","FAM120A"
"3721","FAM120AOS"
"3722","FAM120B"
"3723","FAM120C"
"3724","FAM122A"
"3725","FAM122B"
"3726","FAM122C"
"3727","FAM124A"
"3728","FAM126A"
"3729","FAM126B"
"3730","FAM131A"
"3731","FAM133B"
"3732","FAM135A"
"3733","FAM136A"
"3734","FAM13A"
"3735","FAM13B"
"3736","FAM149A"
"3737","FAM149B1"
"3738","FAM151B"
"3739","FAM153CP"
"3740","FAM155A"
"3741","FAM156A"
"3742","FAM156B"
"3743","FAM160A1"
"3744","FAM160A2"
"3745","FAM160B1"
"3746","FAM160B2"
"3747","FAM161A"
"3748","FAM161B"
"3749","FAM162A"
"3750","FAM163A"
"3751","FAM167A"
"3752","FAM167B"
"3753","FAM168A"
"3754","FAM168B"
"3755","FAM169B"
"3756","FAM171A1"
"3757","FAM171A2"
"3758","FAM171B"
"3759","FAM172A"
"3760","FAM173A"
"3761","FAM174A"
"3762","FAM174B"
"3763","FAM177A1"
"3764","FAM178B"
"3765","FAM180B"
"3766","FAM184B"
"3767","FAM185A"
"3768","FAM186A"
"3769","FAM186B"
"3770","FAM189A2"
"3771","FAM189B"
"3772","FAM192A"
"3773","FAM193A"
"3774","FAM193B"
"3775","FAM199X"
"3776","FAM200A"
"3777","FAM200B"
"3778","FAM204A"
"3779","FAM207A"
"3780","FAM20A"
"3781","FAM20B"
"3782","FAM20C"
"3783","FAM210A"
"3784","FAM210B"
"3785","FAM214A"
"3786","FAM214B"
"3787","FAM216A"
"3788","FAM217A"
"3789","FAM217B"
"3790","FAM218A"
"3791","FAM219A"
"3792","FAM219B"
"3793","FAM220A"
"3794","FAM221A"
"3795","FAM221B"
"3796","FAM222A"
"3797","FAM222B"
"3798","FAM227A"
"3799","FAM227B"
"3800","FAM228B"
"3801","FAM229A"
"3802","FAM229B"
"3803","FAM234A"
"3804","FAM234B"
"3805","FAM32A"
"3806","FAM3A"
"3807","FAM3C"
"3808","FAM43A"
"3809","FAM45A"
"3810","FAM47E"
"3811","FAM47E-STBD1"
"3812","FAM49B"
"3813","FAM50A"
"3814","FAM50B"
"3815","FAM53A"
"3816","FAM53B"
"3817","FAM53C"
"3818","FAM57A"
"3819","FAM57B"
"3820","FAM71E1"
"3821","FAM71F2"
"3822","FAM72A"
"3823","FAM72B"
"3824","FAM72C"
"3825","FAM72D"
"3826","FAM76A"
"3827","FAM76B"
"3828","FAM78A"
"3829","FAM78B"
"3830","FAM81A"
"3831","FAM83D"
"3832","FAM83G"
"3833","FAM83H"
"3834","FAM86B1"
"3835","FAM86B2"
"3836","FAM86C1"
"3837","FAM89A"
"3838","FAM89B"
"3839","FAM8A1"
"3840","FAM91A1"
"3841","FAM92A"
"3842","FAM98A"
"3843","FAM98B"
"3844","FAM98C"
"3845","FAM9C"
"3846","FAN1"
"3847","FANCA"
"3848","FANCB"
"3849","FANCC"
"3850","FANCD2"
"3851","FANCD2OS"
"3852","FANCE"
"3853","FANCF"
"3854","FANCG"
"3855","FANCI"
"3856","FANCL"
"3857","FANCM"
"3858","FANK1"
"3859","FAP"
"3860","FAR1"
"3861","FAR2"
"3862","FARP1"
"3863","FARP2"
"3864","FARS2"
"3865","FARSA"
"3866","FARSB"
"3867","FAS"
"3868","FASN"
"3869","FASTK"
"3870","FASTKD1"
"3871","FASTKD2"
"3872","FASTKD3"
"3873","FASTKD5"
"3874","FAT1"
"3875","FAT4"
"3876","FAU"
"3877","FAXC"
"3878","FAXDC2"
"3879","FBF1"
"3880","FBH1"
"3881","FBL"
"3882","FBLIM1"
"3883","FBLL1"
"3884","FBLN1"
"3885","FBLN5"
"3886","FBLN7"
"3887","FBN1"
"3888","FBN2"
"3889","FBRS"
"3890","FBRSL1"
"3891","FBXL12"
"3892","FBXL13"
"3893","FBXL14"
"3894","FBXL15"
"3895","FBXL17"
"3896","FBXL18"
"3897","FBXL19"
"3898","FBXL2"
"3899","FBXL20"
"3900","FBXL22"
"3901","FBXL3"
"3902","FBXL4"
"3903","FBXL5"
"3904","FBXL6"
"3905","FBXL7"
"3906","FBXL8"
"3907","FBXO10"
"3908","FBXO11"
"3909","FBXO15"
"3910","FBXO16"
"3911","FBXO17"
"3912","FBXO2"
"3913","FBXO21"
"3914","FBXO22"
"3915","FBXO24"
"3916","FBXO25"
"3917","FBXO27"
"3918","FBXO28"
"3919","FBXO3"
"3920","FBXO30"
"3921","FBXO31"
"3922","FBXO32"
"3923","FBXO33"
"3924","FBXO34"
"3925","FBXO36"
"3926","FBXO38"
"3927","FBXO4"
"3928","FBXO41"
"3929","FBXO42"
"3930","FBXO43"
"3931","FBXO44"
"3932","FBXO45"
"3933","FBXO46"
"3934","FBXO48"
"3935","FBXO5"
"3936","FBXO6"
"3937","FBXO7"
"3938","FBXO8"
"3939","FBXO9"
"3940","FBXW10"
"3941","FBXW11"
"3942","FBXW12"
"3943","FBXW2"
"3944","FBXW4"
"3945","FBXW5"
"3946","FBXW7"
"3947","FBXW8"
"3948","FBXW9"
"3949","FCAR"
"3950","FCER1G"
"3951","FCF1"
"3952","FCGR2B"
"3953","FCGRT"
"3954","FCHO1"
"3955","FCHO2"
"3956","FCHSD1"
"3957","FCHSD2"
"3958","FCMR"
"3959","FCRL2"
"3960","FCRL3"
"3961","FCRL5"
"3962","FCRLA"
"3963","FCRLB"
"3964","FCSK"
"3965","FDCSP"
"3966","FDFT1"
"3967","FDPS"
"3968","FDX1"
"3969","FDX2"
"3970","FDXACB1"
"3971","FDXR"
"3972","FECH"
"3973","FEM1A"
"3974","FEM1B"
"3975","FEM1C"
"3976","FEN1"
"3977","FER"
"3978","FERMT2"
"3979","FERMT3"
"3980","FES"
"3981","FEZ1"
"3982","FEZ2"
"3983","FFAR2"
"3984","FGD1"
"3985","FGD2"
"3986","FGD4"
"3987","FGD6"
"3988","FGF1"
"3989","FGF13"
"3990","FGF14"
"3991","FGF2"
"3992","FGF23"
"3993","FGF5"
"3994","FGF7"
"3995","FGF8"
"3996","FGFBP2"
"3997","FGFBP3"
"3998","FGFR1"
"3999","FGFR1OP"
"4000","FGFR1OP2"
"4001","FGFR3"
"4002","FGFR4"
"4003","FGFRL1"
"4004","FGGY"
"4005","FH"
"4006","FHAD1"
"4007","FHDC1"
"4008","FHIT"
"4009","FHL1"
"4010","FHL2"
"4011","FHL3"
"4012","FHOD1"
"4013","FHOD3"
"4014","FIBP"
"4015","FICD"
"4016","FIG4"
"4017","FIGN"
"4018","FIGNL1"
"4019","FILIP1L"
"4020","FIP1L1"
"4021","FIS1"
"4022","FITM2"
"4023","FIZ1"
"4024","FJX1"
"4025","FKBP10"
"4026","FKBP11"
"4027","FKBP14"
"4028","FKBP15"
"4029","FKBP1A"
"4030","FKBP1B"
"4031","FKBP2"
"4032","FKBP3"
"4033","FKBP4"
"4034","FKBP5"
"4035","FKBP7"
"4036","FKBP8"
"4037","FKBP9"
"4038","FKBPL"
"4039","FKRP"
"4040","FKTN"
"4041","FLACC1"
"4042","FLAD1"
"4043","FLCN"
"4044","FLG"
"4045","FLI1"
"4046","FLII"
"4047","FLNA"
"4048","FLNB"
"4049","FLOT1"
"4050","FLOT2"
"4051","FLRT1"
"4052","FLRT2"
"4053","FLRT3"
"4054","FLT1"
"4055","FLT3LG"
"4056","FLVCR1"
"4057","FLVCR2"
"4058","FLYWCH1"
"4059","FLYWCH2"
"4060","FMC1"
"4061","FMC1-LUC7L2"
"4062","FMN1"
"4063","FMN2"
"4064","FMNL1"
"4065","FMNL2"
"4066","FMNL3"
"4067","FMO3"
"4068","FMO4"
"4069","FMO5"
"4070","FMR1"
"4071","FN1"
"4072","FN3K"
"4073","FN3KRP"
"4074","FNBP1"
"4075","FNBP1L"
"4076","FNBP4"
"4077","FNDC10"
"4078","FNDC11"
"4079","FNDC3A"
"4080","FNDC3B"
"4081","FNDC4"
"4082","FNDC5"
"4083","FNIP1"
"4084","FNIP2"
"4085","FNTA"
"4086","FOCAD"
"4087","FOLH1"
"4088","FOPNL"
"4089","FOS"
"4090","FOSB"
"4091","FOSL1"
"4092","FOSL2"
"4093","FOXC1"
"4094","FOXD1"
"4095","FOXD2"
"4096","FOXD3"
"4097","FOXJ2"
"4098","FOXJ3"
"4099","FOXK1"
"4100","FOXK2"
"4101","FOXM1"
"4102","FOXN2"
"4103","FOXN3"
"4104","FOXO1"
"4105","FOXO3"
"4106","FOXO4"
"4107","FOXO6"
"4108","FOXP1"
"4109","FOXP2"
"4110","FOXP4"
"4111","FOXRED1"
"4112","FOXRED2"
"4113","FPGS"
"4114","FPGT"
"4115","FPGT-TNNI3K"
"4116","FPR1"
"4117","FRA10AC1"
"4118","FRAS1"
"4119","FRAT1"
"4120","FRAT2"
"4121","FREM1"
"4122","FRG1"
"4123","FRK"
"4124","FRMD3"
"4125","FRMD4A"
"4126","FRMD4B"
"4127","FRMD5"
"4128","FRMD6"
"4129","FRMD8"
"4130","FRMPD1"
"4131","FRRS1"
"4132","FRRS1L"
"4133","FRS2"
"4134","FRS3"
"4135","FRY"
"4136","FRYL"
"4137","FSCN1"
"4138","FSD1"
"4139","FSD1L"
"4140","FSIP1"
"4141","FSIP2"
"4142","FST"
"4143","FSTL1"
"4144","FSTL3"
"4145","FSTL5"
"4146","FTCD"
"4147","FTCDNL1"
"4148","FTH1"
"4149","FTL"
"4150","FTO"
"4151","FTSJ1"
"4152","FTSJ3"
"4153","FUBP1"
"4154","FUBP3"
"4155","FUCA1"
"4156","FUCA2"
"4157","FUNDC1"
"4158","FUNDC2"
"4159","FUOM"
"4160","FURIN"
"4161","FUS"
"4162","FUT1"
"4163","FUT10"
"4164","FUT11"
"4165","FUT2"
"4166","FUT3"
"4167","FUT4"
"4168","FUT8"
"4169","FUZ"
"4170","FXN"
"4171","FXR1"
"4172","FXR2"
"4173","FXYD3"
"4174","FXYD5"
"4175","FXYD6"
"4176","FXYD7"
"4177","FYB1"
"4178","FYB2"
"4179","FYCO1"
"4180","FYN"
"4181","FYTTD1"
"4182","FZD1"
"4183","FZD2"
"4184","FZD3"
"4185","FZD4"
"4186","FZD5"
"4187","FZD6"
"4188","FZD7"
"4189","FZD9"
"4190","FZR1"
"4191","G0S2"
"4192","G2E3"
"4193","G3BP1"
"4194","G3BP2"
"4195","G6PC3"
"4196","G6PD"
"4197","GAA"
"4198","GAB1"
"4199","GAB2"
"4200","GAB3"
"4201","GABARAP"
"4202","GABARAPL1"
"4203","GABARAPL2"
"4204","GABBR1"
"4205","GABPA"
"4206","GABPB1"
"4207","GABPB2"
"4208","GABRG2"
"4209","GABRP"
"4210","GAD1"
"4211","GADD45A"
"4212","GADD45B"
"4213","GADD45GIP1"
"4214","GADL1"
"4215","GAK"
"4216","GAL3ST1"
"4217","GAL3ST4"
"4218","GALC"
"4219","GALE"
"4220","GALK1"
"4221","GALK2"
"4222","GALM"
"4223","GALNS"
"4224","GALNT1"
"4225","GALNT10"
"4226","GALNT11"
"4227","GALNT12"
"4228","GALNT13"
"4229","GALNT18"
"4230","GALNT2"
"4231","GALNT3"
"4232","GALNT4"
"4233","GALNT5"
"4234","GALNT7"
"4235","GALNTL6"
"4236","GALT"
"4237","GAMT"
"4238","GAN"
"4239","GANAB"
"4240","GANC"
"4241","GAPDH"
"4242","GAPDHS"
"4243","GAPVD1"
"4244","GAR1"
"4245","GAREM1"
"4246","GAREM2"
"4247","GARNL3"
"4248","GARS"
"4249","GART"
"4250","GAS1"
"4251","GAS2"
"4252","GAS2L1"
"4253","GAS2L3"
"4254","GAS6"
"4255","GAS7"
"4256","GAS8"
"4257","GASK1B"
"4258","GATA2"
"4259","GATA6"
"4260","GATAD1"
"4261","GATAD2A"
"4262","GATAD2B"
"4263","GATB"
"4264","GATC"
"4265","GATD1"
"4266","GATD3B"
"4267","GATM"
"4268","GBA"
"4269","GBA2"
"4270","GBF1"
"4271","GBGT1"
"4272","GBP1"
"4273","GBP2"
"4274","GBP3"
"4275","GBP4"
"4276","GBP5"
"4277","GBX2"
"4278","GCA"
"4279","GCAT"
"4280","GCC1"
"4281","GCC2"
"4282","GCDH"
"4283","GCFC2"
"4284","GCH1"
"4285","GCHFR"
"4286","GCLC"
"4287","GCLM"
"4288","GCN1"
"4289","GCNA"
"4290","GCNT1"
"4291","GCNT2"
"4292","GCNT3"
"4293","GCNT7"
"4294","GCSAM"
"4295","GCSH"
"4296","GDA"
"4297","GDAP1"
"4298","GDAP2"
"4299","GDE1"
"4300","GDF11"
"4301","GDF15"
"4302","GDF7"
"4303","GDF9"
"4304","GDI1"
"4305","GDI2"
"4306","GDNF"
"4307","GDPD1"
"4308","GDPD3"
"4309","GDPD5"
"4310","GDPGP1"
"4311","GEM"
"4312","GEMIN2"
"4313","GEMIN4"
"4314","GEMIN5"
"4315","GEMIN6"
"4316","GEMIN7"
"4317","GEMIN8"
"4318","GEN1"
"4319","GET4"
"4320","GFAP"
"4321","GFER"
"4322","GFI1B"
"4323","GFM1"
"4324","GFM2"
"4325","GFOD1"
"4326","GFOD2"
"4327","GFPT1"
"4328","GFPT2"
"4329","GFRA1"
"4330","GFRA3"
"4331","GGA1"
"4332","GGA2"
"4333","GGA3"
"4334","GGACT"
"4335","GGCT"
"4336","GGCX"
"4337","GGH"
"4338","GGN"
"4339","GGNBP2"
"4340","GGPS1"
"4341","GGT1"
"4342","GGT7"
"4343","GHDC"
"4344","GHITM"
"4345","GHR"
"4346","GHRL"
"4347","GID4"
"4348","GID8"
"4349","GIGYF1"
"4350","GIGYF2"
"4351","GIMAP2"
"4352","GIN1"
"4353","GINM1"
"4354","GINS1"
"4355","GINS2"
"4356","GINS3"
"4357","GINS4"
"4358","GIPC1"
"4359","GIPC3"
"4360","GIPR"
"4361","GIT1"
"4362","GIT2"
"4363","GJA3"
"4364","GJA5"
"4365","GJA9"
"4366","GJB1"
"4367","GJC1"
"4368","GJC3"
"4369","GJD3"
"4370","GK"
"4371","GK5"
"4372","GKAP1"
"4373","GLA"
"4374","GLB1"
"4375","GLB1L"
"4376","GLB1L3"
"4377","GLCCI1"
"4378","GLCE"
"4379","GLDC"
"4380","GLE1"
"4381","GLG1"
"4382","GLI1"
"4383","GLI2"
"4384","GLI3"
"4385","GLI4"
"4386","GLIPR1"
"4387","GLIPR1L1"
"4388","GLIPR1L2"
"4389","GLIPR2"
"4390","GLIS2"
"4391","GLIS3"
"4392","GLMN"
