"x"
"AMER2"
"BMPR1A"
"CTNNB1"
"EDA2R"
"ELF5"
"EPB41L5"
"ETS2"
"FZD7"
"GRHL3"
"ITGA6"
"ITGAM"
"KRT6B"
"LHX1"
"MIR145"
"NF2"
"SHH"
"SMURF1"
"STX2"
"VAX2"
"VPS52"
"ZBTB17"
"ZBTB7B"
