MATN1
MIA
C2orf82
EPYC
HAPLN1
LECT1
S100B
COL2A1
SEC61G
MATN3
S100A1
COL9A1
S100A13
MGP
C2orf40
COL11A1
SCRG1
COL11A2
COL9A2
RP4-765C7.2
COL9A3
ANXA2
DLK1
ACAN
ITM2A
FGFBP2
MIF
IDI1
LUM
NPM1
TSC22D1
GPC3
C1QTNF3
FMOD
NID2
H3F3B
TXN
RPL9P9
RPL5
RPS17
OST4
UBB
RPL6
RPS11
RPS20
RPL7P1
RPL38
S100A10
HNRNPA1
CYTL1
LAPTM4A
PPIB
RPS26
RPL13
ANXA5
OSTC
SELK
RPS3AP6
RPLP0
RPS7
RPL14
PPIA
FN1
CKS2
RPS15
BNIP3
CYCS
CYR61
PRELP
TM4SF1
PTMA
RP11-343H5.4
AC090498.1
RP11-475C16.1
RPL22
MSMO1
ZFAS1
TMA7
RPL7P9
SUB1
RPL23AP42
RPL10A
CD63
TMEM258
CTHRC1
MEST
ARF4
RP11-234A1.1
RPS3AP26
VIM
RPS21
COX7A2
DSTN
PGK1
SNRPG
MTCO3P12
SPARC
RPL35
RPS27AP16
C5orf15
RPL13AP5
LDHA
EEF1A1
RPL18AP3
GAPDH
FOSB
THBS1
PDPN
HMGCS1
EDIL3
SNAI2
UAP1
HMGB1
RP11-466H18.1
CALU
RPL15P3
ENO1
S100A11
SCD
CPE
CD99
SERPINH1
LRRC75A-AS1
RPL39P3
RP11-92K2.2
RPL10P9
EMP3
GAS5
RP11-543P15.1
FABP5
SEC61B
FAM162A
MALAT1
PMP22
RPL3
RPL4
BZW1
CNN3
UCMA
RPS28
YWHAQ
RPS4X
SNRPE
P4HA1
SERF2
CHAD
COL14A1
AC016739.2
LGALS3
UGP2
TIMP1
ACAT2
SHFM1
TCEB1
EMP2
UBA52
SF3B6
RPL26P19
HMGN2
USMG5
PRDX1
INSIG1
RP11-572P18.1
TPI1
RCN2
RBP4
RPL6P27
TNFRSF12A
AC004453.8
ID1
FAU
MYL6
SKP1
ERF
RP11-425L10.1
CLEC3A
RAN
ITM2C
BEX3
GPC6
IFITM3
HAS2
RPS8
CHMP1B
RPL14P1
RAB1A
PCOLCE
PRDX4
ATP5E
COMP
TCEAL9
CTGF
KDELR2
STMN1
NDUFA4
TMEM45A
PTTG1
DNAJA1
RPL24P4
SNHG6
