RP11-480C22.1
HTRA1
RP11-10H3.1
SALL1
RP4-543J13.1
SYNDIG1
SYT6
PDPN
C3
KCNQ3
SOCS6
OLFML3
P2RY12
NAV3
KAL1
LRRC39
TREM2
TMEM119
RP11-93L9.1
HS3ST4
GABRA3
CACNA1D
GLDN
SLC1A3
SPP1
RTTN
CX3CR1
EGR3
SYT17
GAL3ST4
GNB4
CHSY3
DKK2
DLEU7-AS1
SIPA1L2
RASGEF1C
ARHGAP12
AL592494.5
DOCK4
FGL1
TMEM144
GAREM
AC002480.5
RASSF8
DCLK2
RP5-1031D4.2
RP11-792D21.2
IPCEF1
PTPRG
RP11-554D14.6
CSF1
P2RY13
PDK4
LPAR5
FCGR1A
ADC
VSIG4
A2M
ITGAV
OLR1
RPS10-NUDT3
ADAM28
PLXDC2
CD276
STEAP1B
TBC1D12
OSBPL6
B3GNT5
NXN
SPATA6
PALD1
BIN1
ESRRG
ANTXR1
RP11-248J23.7
FRMD4A
RP11-489O18.1
SAMD4A
CAMSAP2
RP11-556E13.1
CTTNBP2
PDE9A
MPDZ
ADORA3
SFMBT2
RP11-588H23.3
PAQR8
NBL1
SPATS2L
CYFIP1
GPNMB
UBL3
MEF2A
SH3RF3
IGF1
APBB1IP
CECR2
SLC4A7
MAML2
MAP4K4
LHFPL2
DTNB
SRGAP2B
DAGLB
TGFA
TM6SF1
RALGAPA2
NPL
NCK2
ENTPD1
GCNT2
MEF2C
SRGAP2
MERTK
LY86
RYR1
FMNL3
PLA2G7
IFNGR1
MTUS1
ICA1
PTAFR
BNC2
ANKH
TNFRSF10D
GPR34
BHLHE41
RABEP1
APPL2
LRRK1
BMPR2
MAP1B
DOCK8
AP1B1
TGFBR1
LINC00478
SLC2A13
CPED1
SIGLEC10
ZFHX3
MKNK1
LINC00278
RP11-733O18.1
LPIN2
EEPD1
AKAP6
RHBDF2
CPQ
MYO1E
LEPREL1
AC007319.1
RASAL2
CPEB3
FCGR2A
DDC8
TMEM117
CACNB4
RIN2
ABR
CAPZB
P2RX4
ITM2B
SLCO2B1
NPAS3
MGAT4A
RNF217
TENM4
PTPRJ
P2RX7
TLR1
KCNK13
TLR6
TIMP2
PLVAP
SIRPA
SORL1
FAR2
ALPK1
VASH1
NF1
ARHGAP25
DISP1
WWC2
CHD7
SLC8A1
TRPM2
DIAPH2
GAB3
CREG1
NCKAP5
PAG1
STX7
DIP2B
PDE3B
CEP170
TLR4
APBA1
FOXN3
ITPR2
PLD1
ATG7
SMAP2
ADAM9
FAM102B
NAV2
RP11-106M3.2
SLC9A9
HAVCR2
GALNT1
FAM198B
UBE2E2
FAM149A
C10orf11
GAB2
MYCBP2
HIVEP3
RNF13
LRCH1
ATP8B4
ASAH1
SDCCAG8
ATP1B1
QKI
SESN3
ARHGEF11
SDK1
CSF2RA
SNX24
LYST
IMMP2L
IL6R
ANKRD44
SLC15A3
RP11-413E1.4
DENND3
MANBA
MCF2L
KCTD7
LRRC8C
SNX29
DOCK11
AKAP13
NUDT3
CD81
KB-1507C5.4
EVI5
CSF1R
CD84
ST8SIA4
BICD1
FCGR3A
BMP2K
RTN4
SLC7A7
NBEA
RHOQ
ANXA4
PHC2
RAB39A
TLE4
JAG1
ELK3
PLA2G15
PCNXL2
PIK3R5
BCAR3
PLCL2
SAMSN1
PLD3
SSBP2
TLR7
EGR1
TBC1D5
CLSTN1
DISC1
FOLR2
APOE
TBC1D22A
WSB1
FAM105A
TUBA1A
LDLRAD4
DTNA
ACAP2
DLEU7
TBC1D4
SCAPER
AIG1
CD53
NFIC
ME2
AKT3
NEK6
INPP5D
RGL3
IL6ST
FBXL17
RP5-1043L13.1
VPS13C
KIAA1033
FMN1
SRGAP1
FARP1
KIAA2022
SPIN1
CHD9
RCBTB2
KIF21B
SIGLEC8
WLS
LPHN2
ASTN2
KIAA1147
AC090044.1
SPNS2
HK2
UBE2W
hsa-mir-6080
BMPR1A
MTHFD1L
ST5
GPD2
ST3GAL1
CH25H
SNX30
TPCN1
SLC38A4
PCLO
NUAK1
MKLN1
ELAVL4
C12orf5
RAC1
NBPF1
RP4-749H3.1
RP11-353N4.5
ABHD12
C10orf128
HECTD2
DDX60L
CD99P1
CEACAM21
JAM3
RP11-281A20.2
DTNBP1
MICU3
P4HA1
RP11-281P23.2
WASF2
RECK
DNASE2
SUFU
EPHB2
LPL
SPTLC3
RAP1A
AKR1A1
ABL1
AP3B1
RP11-99E15.2
TLR5
FEZ2
RP11-356M20.3
ATP6V1B2
DENND4C
C2
CYTH3
OXR1
SCIN
PTPN14
LRRC4
RP11-343N15.2
IL18
RP11-536O18.2
SUCNR1
CTNND1
C4orf19
DNAJC10
PTPRO
PLEKHA1
COMMD10
DNAJC13
OTUD1
USP9Y
SGSM1
SNX13
PER3
FCGR1B
TNFSF18
NCKAP5L
RP4-735C1.6
SLC29A3
PLCXD3
RP11-493L12.4
NAA20
HSD17B14
LINC00671
PMP22
FAM114A1
SLC17A5
ADAMTS9
CTD-2337A12.1
TMOD2
RP11-41O4.1
GBE1
C5orf17
MRC2
RP4-756H11.3
RP11-179A16.1
PKD2
SLC37A2
GLCE
SH3BGRL
RP11-314P15.2
NRXN1
FAM110B
ARFIP1
RP11-452H21.1
RB1
PSMA1
KIAA1109
RP11-145M9.4
ANK2
MYOZ2
SDC2
GTF2IRD1
MAP2
ANKRD18DP
GDAP1
MGST2
STMN2
PANX1
AC009950.2
RP11-452F19.3
SLC25A13
RTN4RL1
NEK3
CADM2
LYPLA1
MIR503HG
ATF6
CPNE2
NNAT
COL8A2
TMBIM4
DUSP27
TMEM86A
RP11-152P17.2
RP11-575A19.2
RN7SL297P
TNFAIP8L3
HCG22
NDRG3
EDEM2
CRYBB1
ANGEL1
BRINP2
SOX11
SULT1C2
AC005154.6
RP11-85F14.5
TBC1D16
ARL5A
KIF3C
ADRB2
SMARCA1
KCNJ5
RAP2A
SKI
ABCG2
EXPH5
RAD51L3-RFFL
AC010890.1
EGR2
RP11-848P1.9
RANBP9
KIF9-AS1
GLIS3
GRID2
CCDC93
WIPF3
RP11-472N13.3
RBFOX1
PIWIL4
ERBB4
SMS
PLK3
SH3GL1
PLA2R1
DCX
NCK1
RP11-930P14.1
OPRM1
TRIM36
WNT5A
RP11-65J3.1
RP11-142M10.2
IQSEC2
REEP1
RP13-884E18.4
SRGAP2C
ENC1
RGS12
ASTN1
CTC-425F1.4
BAI3
C14orf37
JAM2
HOMER3
RP5-894A10.2
RP11-946L16.1
RP11-64J4.2
FAM89A
RP11-83A24.2
AF127936.3
EML1
TDRD7
SDHAP3
COL4A3BP
MAMDC2
SEMA6D
ACSM5
PLXNA2
KRBOX1
WDR91
TMC7
C7orf60
XPR1
RP11-528G1.2
ARHGEF9
DOCK6
RP11-248J23.6
KATNAL2
ZNF148
SLC25A12
ELAVL3
CELF6
DCTN4
TMEM63C
PLD2
PIAS2
TUBB2B
RP11-513G19.1
MIOS
CACNA1A
CD59
CLEC19A
AC009951.1
MFSD11
LCORL
EXOC4
RP11-357C3.3
DPRXP4
MMP2
LRRTM4
RP11-281P23.1
TFCP2L1
RP11-381N20.2
RAB28
RHOBTB2
KDELC2
TNF
C3orf70
PCDH17
RAB2A
SNCAIP
TIGD4
RP13-104F24.1
SLC18B1
HERC3
RP1-35C21.2
CXorf38
ARHGAP35
C1orf112
RP1-35C21.1
NUDT14
PVRL3
DNAJC18
SNX7
FGGY
GAP43
CDK18
IGSF10
RP11-346D6.6
CHIT1
RP11-576N17.5
ALPK3
AMOT
C16orf62
ZC2HC1A
WDR7
RRAGD
AC034228.7
GRIN2B
SLC7A11-AS1
AC007401.2
S100A1
ATP6AP2
GPR137C
RP11-283G6.4
ZMYND11
RP11-187O7.3
RP11-429D19.1
FLJ27365
RP11-612B6.2
SYT11
TMEM52B
ATP6V0E1
PTPRZ1
RP11-42I10.1
CTB-32H22.1
PTGR1
CTNNA2
CECR6
AF127936.5
RNLS
C9orf84
POLK
VPS8
AC008697.1
DLGAP1
CACNB2
HPS3
