AP006222.2
RP11-54O7.1
RP11-465B22.8
TAS1R3
SKI
MORN1
WRAP73
UTS2
RP4-633I8.2
RP4-633I8.3
SPSB1
PGAM1P11
PEX14
C1orf127
NPPA
PLOD1
RP4-704D23.1
CELA2A
ZBTB17
ARHGEF19
FBXO42
ESPNP
IFFO2
CDA
TCEB3
IFNLR1
RP11-10N16.2
RHD
TMEM57
RP11-70P17.1
TRIM63
CATSPER4
ZNF683
NR0B2
FAM46B
SMPDL3B
EYA3
TAF12
RAB42
RP11-242O24.3
RP3-437I16.1
MATN1
PUM1
RP4-534N18.2
MTMR9LP
BSDC1
ZBTB8OS
A3GALT2
DLGAP3
AGO1
SNIP1
MACF1
KIAA0754
BMP8A
ZFP69
RIMS3
KCNQ4
TMEM125
MPL
CCDC17
SKINTL
BEND5
ZYG11A
PODN
YIPF1
CYB5RL
SSBP3
RP4-705F19.1
PARS2
TTC22
RP11-335E6.2
LINC00466
ROR1
PIN1P1
ASB17
RP5-1102E8.3
RP4-641G12.4
LPHN2
RP4-601K24.1
C1orf180
SYDE2
RP11-131L23.2
PTGES3P1
RP5-943J3.2
MTF2
FNBP1L
RP11-366L18.1
PTBP2
RP11-413P11.1
SLC30A7
RP11-364B6.1
STRIP1
KCNA2
CHIA
RP5-965F6.2
RP11-426L16.8
MAGI3
AMPD1
NGF
SLC22A15
RP4-655J12.5
TRIM45
RP11-39H13.1
RPS3AP12
FAM72B
RP11-417J8.3
RP6-206I17.1
LINC00623
AL592284.1
RP11-640M9.2
AL590452.1
HFE2
POLR3C
NBPF12
XXyac-YX155B6.6
RP11-495P10.2
RP11-403I13.5
RP11-403I13.4
RP11-403I13.8
RP11-353N4.6
RP11-353N4.5
RP11-353N4.4
RP11-196G18.24
CA14
SETDB1
RP11-126K1.2
HRNR
RP11-216N14.7
ATP8B2
DCST2
EFNA4
TRIM46
THBS3
PKLR
RP11-29H23.5
GON4L
TSACC
MEF2D
HAPLN2
ELL2P1
DCAF8
CD244
RPL31P11
NOS1AP
RP11-565P22.6
RP11-306I1.1
RP11-466F5.3
RP11-466F5.6
CD247
NME7
AL356475.1
FMO2
DNM3
C1orf105
KLHL20
RP11-160H22.5
TNR
RASAL2
RP5-1098D14.1
FAM20B
TDRD5
RP11-12M5.1
IFRG15
ACBD6
GS1-122H1.2
OCLM
EEF1A1P14
RP11-32D17.4
CAMSAP2
KIF21B
KDM5B
RP11-480I12.7
RP11-38O14.6
RP11-90O23.1
NUAK2
HHAT
RP11-122M14.3
PTPN14
GPATCH2
HLX
TP53BP2
C1orf95
CTD-2090I13.1
IBA57
SPRTN
TSNAX-DISC1
DISC1
PCNXL2
KCNK1
SLC35F3
IRF2BP2
RP4-781K5.7
RP11-443B7.1
TBCE
RPL35P1
RP11-136B18.2
CHRM3
WDR64
RP11-173A6.2
RP11-11N7.4
ZNF124
GCSAML
ZNF672
AC079779.6
MYT1L
AC022311.1
AC107057.1
RP11-557L19.1
AC011747.6
ASAP2
KLF11
RP11-791G15.2
GREB1
AC068490.1
AC012506.4
PGAM1P6
SLC30A3
MPV17
ZNF512
AC074091.13
BRE
XDH
AC073218.1
NDUFAF7
CDC42EP3
SOS1
CDKL4
MAP4K3
TMEM178A
SLC8A1
AC104654.1
AC104654.2
CAMKMT
AC011306.2
AC007092.1
AC007131.2
AC010733.4
NONOP2
COMMD1
EHBP1
WDPCP
AC016734.2
AC012370.3
ARHGAP25
AC092431.2
MXD1
TGFA
SFXN5
RAB11FIP5
ALMS1P
RP11-711M9.1
FNBP1P1
AC104135.2
RNF103
AC125232.1
EIF2AK3
SLC9B1P2
AC097374.2
MAL
AC092675.3
C2orf15
PDCL3
CREG2
AC108051.3
MRPS9
RP11-332H14.1
RGPD3
AC108868.5
CBWD2
RP11-395L14.5
AC009404.2
HTR5BP
PTPN4
AC067960.1
CNTNAP5
AC079776.2
AC018865.8
FAM168B
AC098826.4
AC097532.2
MBD5
EPC2
AC113610.1
AC104777.1
AC018731.3
CACNB4
AC073551.1
AC005042.5
WDSUB1
AC009299.3
AC019181.3
KLHL41
AC096649.1
TTC30A
RP11-171I2.4
CCDC141
AC093911.1
PPP1R1C
AC018867.1
GLS
AC010983.1
KCTD18
MPP4
AC073410.1
CCNYL1
AC093698.2
AC009492.1
RUFY4
SLC11A1
AC073052.1
COL4A4
COL4A3
MFF
TM4SF20
AGFG1
C2orf83
