TPSB2
CPA3
TPSAB1
SRGN
RGS2
RGS1
NFKBIA
GLUL
VIM
ANXA1
CTSG
MS4A2
HPGDS
FOSB
CD44
LMNA
BIRC3
FTH1
PTGS2
GATA2
VWA5A
CD69
LAPTM5
KIT
ID2
SAMSN1
ARHGDIB
SH3BGRL3
FCER1G
PLIN2
SELK
CD63
HPGD
CREM
SLC2A3
ALOX5AP
CAPG
ZFP36
SLC18A2
H3F3B
RGS13
ACSL4
DDIT4
BHLHE40
C1orf186
IL1RL1
S100A4
SAT1
CD82
NR4A2
RAC2
PTMA
HDC
SGK1
SDCBP
TPSD1
CD83
TAGLN2
LGALS3
SQSTM1
TNFAIP3
FCER1A
CDKN1A
HLA-A
LITAF
DDX5
GPR65
EIF1
GADD45B
CMA1
CLIC1
CD9
PRNP
AHR
BATF
AREG
UBB
NR4A1
NFKB1
TYROBP
PPP1R15A
EEF1A1
GCSAML
FXYD5
MCL1
NR4A3
RPL36AL
PRDX1
FAU
NFKBIZ
VEGFA
RPL30
RP11-354E11.2
JUNB
IFITM2
CDC42EP3
LIF
RPL37A
HLA-E
RHOH
LAPTM4A
RPS11
CPM
FOSL2
PTGS1
MAOB
RPS25
TSC22D3
RPL24
PAG1
CTSD
EMP3
RPS4X
DUSP6
RASSF5
RPS20
ASAH1
ELL2
ICAM1
GALC
BCL2A1
HSP90AA1
AKAP13
RPL9
KLF6
AHNAK
HLA-B
YWHAZ
RPL35A
NAMPT
CD52
CST7
KMT2E
DDX3X
CALB2
RAB27B
CD37
ZNF331
RPS15
RPL19
CTNNBL1
RPS27A
ADCYAP1
SIGLEC17P
ARHGEF6
JUND
IER3
IDS
TIPARP
LGALS1
IL18R1
CKLF
CCL4
CFL1
RPL13
LCP1
TUBA1B
MYADM
SMIM3
EHD1
NFE2L2
TWISTNB
ZEB2
ITM2B
CLU
LEO1
STK17B
PABPC1
BMP2K
ALOX5
RNF145
NPC2
ELF1
MSN
HLA-C
SMYD3
PHF20
CALM2
LMO4
REL
ATP1B3
TIMP1
CYCS
RPL37
RPL11
EPAS1
LAT2
SDPR
TUBA1A
ARHGAP18
KDM6B
LCP2
ADRB2
LRRFIP1
MAPK1
SARAF
DUSP10
MLPH
RPS3
CD53
