"V1"
"COL1A2"
"COL3A1"
"COL1A1"
"COL5A2"
"SPARC"
"COL5A1"
"DCN"
"LUM"
"OLFML3"
"OGN"
"COL12A1"
"FSTL1"
"ASPN"
"LGALS1"
"MDK"
"POSTN"
"PCOLCE"
"LAPTM4A"
"NREP"
"CRABP1"
"PTN"
"NID2"
"ISLR"
"CRABP2"
"MARCKS"
"PPIB"
"ITM2C"
"TCEAL9"
"COL11A1"
"OSTC"
"MEST"
"PLAC9"
"ITM2A"
"VCAN"
"TUBB"
"PENK"
"EGFL6"
"SOX4"
"GPC3"
"SNRPE"
"RPL9P9"
"C2orf40"
"FKBP7"
"CALU"
"SUB1"
"SERPINH1"
"IFITM3"
"GPX8"
"ELN"
"ARF4"
"USMG5"
"FN1"
"NPM1"
"LOX"
"RBX1"
"TMEM258"
"KERA"
"PRSS35"
"SFRP2"
"COMMD6"
"MGP"
"C12orf57"
"CDH11"
"TCEB2"
"CTSK"
"SNRPD2"
"CD99"
"ZFAS1"
"KDELR2"
"MAGED2"
"MORF4L1"
"UBL5"
"TUBA1A"
"PDGFRL"
"ID2"
"FMOD"
"HMGN3"
"TBCA"
"PPIC"
"HNRNPA1"
"FBN1"
"TIMP1"
"GLT8D2"
"C14orf2"
"GPC6"
"MTATP6P1"
"HMGB1"
"ATP5L"
"SUMO2"
"FBN2"
"SON"
"IGFBP5"
"PFN2"
"SEC61B"
"FOS"
"NDUFS5"
"CXCL12"
"NUCB2"
"CSRP2"
"TUBA1B"
"BEX3"
"LSM5"
"CD63"
"CTHRC1"
"PFDN5"
"UQCRQ"
"PFDN4"
"PRDX4"
"GTF2H5"
"SSR2"
"NDUFS4"
"CKAP4"
"FTH1"
"SRP14"
"SNRPF"
"VIM"
"THBS2"
"ATOX1"
"RPL4"
"S100A6"
"C6orf48"
"HSBP1"
"SEC61G"
"RPS3AP6"
"PRSS23"
"PRRX1"
"SEC62"
"C8orf59"
"RP11-475C16.1"
"COL14A1"
"CALD1"
"RPL7P1"
"HMGN2"
"07-Sep"
"LSM3"
"C4orf3"
"SNHG6"
"PHPT1"
"AKAP12"
"PXDN"
"UQCRH"
"RPL7A"
"STMN1"
"SNHG5"
"DYNLL1"
"TMSB10"
"SF3B6"
"MFAP5"
"SULT1E1"
"SRP9"
"PCDH18"
"LRRC17"
"RPS10"
"MIR100HG"
"IL11RA"
"HBA2"
"AC090498.1"
"SNRPG"
"GPX7"
"TCEAL8"
"COL6A3"
"MYL12B"
"FRZB"
"LAMA4"
"ATP5J2"
"HSP90B1"
"FAM229B"
"NID1"
"PDIA6"
"MFAP4"
"SVBP"
"RPL23A"
"MALAT1"
"MFAP2"
"FBLN5"
"MRPL51"
"KCTD12"
"THY1"
"RP11-234A1.1"
"SHFM1"
"15-Sep"
"GAS5"
"COL21A1"
"RPL7P9"
"GSTP1"
"S100A11"
"FKBP10"
"BANF1"
"ALCAM"
"GAP43"
"P4HA1"
"XIST"
"SEMA3C"
"RP11-466H18.1"
"ANXA5"
"ANAPC11"
"NDUFA1"
"CPE"
"NAP1L1"
"SRPX"
"RPL10A"
"RPS2"
"RPL10P9"
"RPS7"
"RBP1"
"RPL28"
"TMSB15A"
"H2AFZ"
"UBB"
"RPS5"
"HMGB2"
"RPL22"
"RPL35"
"KIAA0101"
"RPL6P27"
"RP11-543P15.1"
"TCF21"
"MYL6"
"RACK1"
"RPL27"
"PPIA"
"RPS9"
"A2M"
"ATP5G2"
"ACTB"
"NDUFA4"
"RPL23"
"RPL14"
"ID3"
"PTMA"
"LDHB"
"HMGN1"
"RPL29"
"GAPDH"
"RPL3P4"
"HNRNPA1P48"
"RPL8"
"RPS3AP26"
"DYNC1I2"
"RPSA"
"RP11-632C17__A.1"
"RPL12"
"RP4-765C7.2"
"RBMX"
"H3F3B"
"NUCKS1"
"RPL10AP6"
"UBE2C"
"RP11-864N7.2"
"CFL1"
"TOP2A"
"AC007969.5"
"CDK1"
"RPL24"
"NACA"
"RPL23AP42"
"HNRNPDL"
"HNRNPD"
"TMA7"
"RPS21"
"FAM127A"
"RPL13AP5"
"SERF2"
"RPS2P46"
"PTMS"
"NR2F2"
"HNRNPK"
"RPL13P12"
"RPL13AP25"
"CTD-2287O16.1"
"RPL18"
"RPLP0"
"UBA52"
"CKS1B"
"PTTG1"
"RAN"
"HNRNPA2B1"
"RP11-761N21.2"
"C7"
"FUS"
"RPS7P1"
"CALM2"
"RPL18AP3"
"RPL15P3"
"CIRBP"
"TMPO"
"ZFP36L1"
"RPS27AP16"
"EIF3E"
"RPL18A"
"SNRPD1"
"HIST1H4C"
"CTSC"
"RPL10P16"
"LUC7L3"
"ERH"
"TMEM98"
"TIA1"
"SNAI2"
"ACTA2"
"RPS16"
"FAU"
"COX6C"
"RPS23P8"
"ZNF503"
"NUSAP1"
"TYMS"
"OST4"
"RP11-343H5.4"
"RPS20"
"CBX3"
"PPDPF"
"RPS8"
"TPM1"
"EMILIN1"
"SEPP1"
"SLC25A6"
"BTF3"
"ID1"
"HNRNPA0"
