RP5-857K21.4
MTND1P23
MTND2P28
hsa-mir-6723
RP5-857K21.7
MTATP6P1
RP5-857K21.11
PLEKHN1
RNF223
TTLL10
SDF4
PUSL1
GLTPD1
MRPL20
ANKRD65
VWA1
SSU72
AL645728.1
TMEM52
C1orf222
PRKCZ
AL590822.2
RER1
PEX10
PLCH2
TNFRSF14
FAM213B
MMEL1
MEGF6
TPRG1L
TP73
LRRC47
RPL22
RP11-58A11.2
VAMP3
TNFRSF9
ERRFI1
CTA-215D11.4
SLC2A5
GPR157
RP3-510D11.2
SLC25A33
RP11-496H15.2
CFL1P6
UBIAD1
FBXO6
DHRS3
PRAMEF6
LRRC38
EFHD2
DDI2
EPHA2
RP11-430L17.1
PADI3
RP11-174G17.2
KLHDC7A
TMCO4
RNF186
PLA2G2A
PLA2G2D
PLA2G2F
UBXN10
VWA5B1
CAMK2N1
RAP1GAP
CELA3B
CDC42
C1QA
ZNF436
C1orf213
RPL11
LYPLA2
GALE
HMGCL
FUCA1
CNR2
PNRC2
GRHL3
STPG1
NIPAL3
RCAN3
RP4-594I10.3
RUNX3
PAQR7
PAFAH2
SLC30A2
CNKSR1
SH3BGRL3
AIM1L
RP11-569G9.7
DHDDS
PIGV
SFN
C1orf172
TRNP1
SLC9A1
TMEM222
SYTL1
RP4-752I6.1
RP1-159A19.3
STX12
RCC1
TRNAU1AP
RP11-442N24__B.1
EPB41
PTPRU
LAPTM5
SERINC2
TINAGL1
SPOCD1
RP11-84A19.4
PTP4A2
TMEM234
EIF3I
KIAA1522
HPCA
TMEM54
AK2
TRIM62
GJB5
GJB4
GJB3
ZMYM6
TRAPPC3
MAP7D1
LSM10
ZC3H12A
MANEAL
AL929472.1
POU3F1
RRAGC
MYCBP
GJA9
RHBDL2
PABPC4
TRIT1
MYCL
CAP1
SMAP2
FOXO6
PPCS
ERMAP
SLC2A1
ELOVL1
PTPRF
RPS8
PLK3
BTBD19
HECTD3
PRDX1
TMEM69
TMA16P2
UQCRH
FAAH
RP5-1109J22.1
MKNK1
EFCAB14
CYP4B1
CYP4Z2P
CYP4Z1
DMRTA2
CDKN2C
RNF11
RP11-296A18.5
TTC39A
EPS15
BTF3L4
RP11-159C21.4
SCP2
CPT2
TMEM59
TACSTD2
JUN
RP4-794H19.2
RP4-794H19.1
RP11-145M4.2
CYP2J2
SLC35D1
RPS7P4
LRRC53
RP11-415A20.1
RP5-837I24.5
SAMD13
GNG5
LPAR3
C1orf52
BCL10
ZNHIT6
CLCA2
CLCA1
CLCA4
SH3GLB1
RP4-612B15.2
SEP15
PKN2
GTF2B
GBP3
GBP1
GBP2
GBP4
RP5-908D6.1
GBP1P1
RPL5P6
HSP90B3P
DR1
GCLM
ABCD3
LINC01057
SLC44A3
RP11-286B14.1
SEC63P1
PALMD
DBT
RTCA
RP4-575N6.2
RP11-90H3.1
RP5-947P14.1
SLC25A24
FAM102B
RP11-20O24.1
TMEM167B
SARS
PSMA5
GNAI3
GSTM1
GSTM5
EPS8L3
CD53
DENND2D
PIFO
OVGP1
WDR77
RAP1A
CAPZA1
RP11-389O22.4
PTPN22
DENND2C
VANGL1
MAB21L3
IGSF3
FAM46C
HMGCS2
RP11-439A17.4
RP11-417J8.6
RP11-435B5.3
TXNIP
PEX11B
ITGA10
PIAS3
FMO5
RP11-495P10.6
HIST2H2BF
BOLA1
OTUD7B
APH1A
MRPS21
TARS2
MCL1
GOLPH3L
HORMAD1
CTSS
ANXA9
FAM63A
BNIPL
CDC42SE1
PI4KB
SELENBP1
CGN
TUFT1
RP11-74C1.2
RIIAD1
OAZ3
RORC
S100A10
S100A11
IVL
SPRR1A
SPRR3
SPRR2B
PGLYRP4
S100A9
S100A8
S100A6
S100A5
S100A4
S100A2
S100A16
SNAPIN
SLC39A1
JTB
RPS27
TPM3
PMVK
PBXIP1
ZBTB7B
ADAM15
EFNA1
RP11-201K10.3
FDPS
RUSC1
KIAA0907
RAB25
LMNA
SEMA4A
TMEM79
RRNAD1
MRPL24
ETV3
RP11-144L1.8
FCER1A
TAGLN2
ATP1A4
CASQ1
PEX19
COPA
CD84
SLAMF1
CD48
F11R
F11R
TSTD1
ARHGAP30
PVRL4
UFC1
B4GALT3
NDUFS2
PCP4L1
FCGR3A
FCRLB
UHMK1
ALDH9A1
TMCO1
FMO9P
POGK
CREG1
BLZF1
RP1-206D15.3
SLC19A2
AL021068.1
SELL
SELE
FMO6P
PRRC2C
PFN1P1
METTL13
RFWD2
RP11-195C7.2
RALGPS2
TOR1AIP2
RP11-533E19.7
TOR1AIP1
RP11-533E19.5
QSOX1
XPR1
MR1
IER5
GLUL
RGSL1
RNASEL
RGS16
NPL
LAMC2
ARPC5
RP11-382D12.2
TRMT1L
GS1-279B7.2
PDC
PTGS2
PLA2G4A
RPS3AP9
RGS21
RGS1
CFH
DENND1B
PTPRC
RP11-16L9.4
NR5A2
C1orf106
MROH3P
PKP1
LAD1
RP11-134G8.8
PHLDA3
RPS10P7
RP11-134G8.6
ELF3
ARL8A
PPP1R12B
RP11-175B9.2
RABIF
ADIPOR1
CYB5R1
NPM1P40
RP11-134P9.1
BTG2
LINC00303
KISS1
GOLT1A
PLEKHA6
RP11-203F10.6
PPP1R15B
PIK3C2B
RP11-383G10.3
ELK4
SLC45A3
PM20D1
C1orf186
RP11-38J22.6
CTSE
IKBKE
RASSF5
FAIM3
PIGR
C1orf116
C4BPB
