KLK3
AZGP1
MSMB
SAT1
PLPP1
DHRS7
TACSTD2
TSPAN1
KLK2
KRT18
ACPP
NPY
EFNA1
TSPAN8
KLK4
RDH11
TNFRSF12A
TSTD1
FOLH1
RPS27
CLDN4
TMPRSS2
LAMP2
HIST1H2AC
KRT8
ZG16B
PHLDA2
TPD52
TM4SF1
ALDH1A3
STEAP1
MRPL32
SFN
ANXA1
TFF3
H1F0
NUPR1
CIB1
HLA-E
NEAT1
RPL41
GDF15
MGST1
CD99
GTF3C6
COX6A1
PLPP5
RPS29
H2AFJ
SEC11C
TFF1
TSC22D1
SSR4
HMGN2P46
RPS18
RPS14
CD9
FXYD3
ADI1
MIF
CCK
NAMPT
MT2A
RPL36
CDKN1A
ADIRF
MT1X
SORD
B2M
RPS27L
TMBIM6
ATF3
LGALS3
PDIA3
RPL10
DCXR
KRT19
AQP3
SEPP1
VMP1
RPS19
C8orf4
SPINT2
LINC00844
MALAT1
SYNGR2
TMEM14C
PRAC1
H3F3B
RPL21
ARG2
EMP1
REEP5
CST3
RAMP1
HERPUD1
HIST1H1C
CREB3L4
RASD1
HOXB13
NCOA4
NEFH
RPL31
SLC45A3
ATP6V0E1
UBC
SQSTM1
CLIC1
ELOVL5
LPAR6
CD46
MEAF6
SARAF
NDUFC1
ADM
RPS27A
ERP29
ERRFI1
PPDPF
LMNA
UQCR10
TIMP1
DUSP14
DDIT3
MPC2
DSTN
ARFGAP3
CPM
PERP
PLA2G2A
PRDX1
FLJ20021
CD47
POLR2L
SNRPN
XBP1
FAM162A
C15orf48
CPE
SEC61B
UQCR11
ATP5J2
AMD1
HIST2H2BE
ARL6IP5
CLDN3
ISG20
SOD1
NANS
PNKD
MT1M
UGDH
IER2
RP11-356O9.1
HSPB1
MT1E
PART1
TSC22D3
ELF3
ID1
TXNDC17
AGTRAP
GDE1
RPL23A
FAM177A1
IRF1
LDHA
SLC44A4
ANXA3
SPCS1
MT1G
RNF144B
CYB5A
MYDGF
SOCS2
ANG
RPS6
CSRP2
DEGS1
MAGED2
PHPT1
IDH1
F11R
DPP4
SQRDL
CD177
RPL35A
RPL36AL
ATP6V0B
BNIP3
SPCS2
PET100
SOD2
CD24
TMEM179B
HIST1H2BD
TMEM59
ATP1A1
ORMDL2
BZW1
