PF4
RP11-152K4.2
TMEM40
PPBP
GP9
GP1BA
CMTM5
ITGB3
SELP
PDE5A
LY6G6F
PKHD1L1
RP11-556I14.2
EGF
RP11-930O11.1
LGALSL
NEXN
DOK6
GP6
CLEC1B
RP11-290H9.4
CALD1
TUBB1
DNM3
KALRN
PCSK6
TRPC6
ADCY6
ELOVL7
C6orf25
KCNT2
MMRN1
ARHGAP6
MRVI1
ITGA2B
MYOM1
ZFPM2
F2R
ASAP2
PRKG1
PROS1
SDPR
NRGN
RGS18
ACTN1
THBS1
CNST
RUFY1
VCL
LINC00504
MYL9
RP11-417O11.5
LTBP1
CD226
CLU
FERMT3
MYLK
PRKAR2B
LIMS1
TMEM91
TLN1
DGKG
RAP1B
PDLIM7
MAX
ROCK2
RSU1
COL24A1
SYTL4
GNB5
CD9
SLC37A1
LRP12
MFAP3L
TIMP3
PSTPIP2
PLEK
RAB27B
PTGS1
MCTP1
MED12L
MPP7
PARD3
GSAP
LINC00534
TGFB1
STOM
CTDSPL
PDLIM1
PLCB4
FLNA
NT5C3A
OPHN1
MYH9
ANO6
BIN2
DGKD
RP11-142C4.6
PDLIM5
MEIS1
PBX1
RASA3
STON2
CTSA
FLI1
LYL1
ZYX
LAT
ECE1
NLK
ATP2C1
INPP4B
ENDOD1
TREML1
CA2
WDR1
MEG8
TPM4
EFHC2
MICU1
DAAM1
MEG3
SNTB1
DIAPH1
CMTM6
PDE3A
HPSE
TEC
SOS1
ARHGAP21
NLRC5
STIM1
UNC13D
PTPN12
ITGA6
RASGRP2
SH3BP5
LOXL3
ABCC3
TNIK
GFI1B
TTC7B
ATP2A3
PARK2
ZC3H12C
OR2W3
PAPSS2
NEAT1
FNBP1L
FADS2
MPP1
ARHGEF3
TAL1
CDC14B
TSPAN32
UBASH3B
LRBA
FXYD5
LRRC16A
ATP8A1
YWHAZ
CMIP
ADAM10
PARVB
MAPRE2
CLIC1
DHCR24
MYL6
VASP
TBXAS1
SLC44A1
RP11-367G6.3
GSN
HIPK2
FYB
MAST4
MAP3K5
TMEM163
LRRFIP2
ARHGAP32
EIF4G3
SORT1
MARCH2
PTK7
CAP1
DLK1
STAR
SULT2A1
GNAQ
MAML3
RNF24
MYO18B
ANGPT1
SLC2A3
BZRAP1-AS1
GATA1
RGS10
ABCC4
PIM1
F13A1
DMD
CYP17A1
SPARC
CORO1C
F2RL3
HIST1H2AC
GUCY1B3
MCU
CTTN
TSPAN9
ABI1
RASGRP3
LEPROT
SUSD1
RP11-127H5.1
RAB37
HDAC5
CASS4
GRTP1
NBEAL2
CDC42BPB
SRC
RAB32
PLXNA4
ACRBP
ILK
PROSER2
SLC9A1
TUBA4A
C7orf41
KIAA0513
INHBA-AS1
EMILIN1
GTDC1
CMAS
TRIM24
INPP5A
IFRD1
ICAM2
LINC00989
TPST2
LINC00152
PPM1L
TMBIM1
INF2
RALB
LMNA
XRCC2
IRS2
KBTBD12
EGFL7
SUSD3
RAB3C
PRKAR1A
PTPLAD2
NCKAP1
FCER1A
TAOK1
HMGN1
ERBB2IP
HBD
C2orf88
DENND2C
CYP11A1
LAPTM4B
TJP2
PAPSS1
PTGER3
LINC00963
STAU2
C15orf26
CD47
AFAP1
FAM214B
AC093415.2
SEPT11
EIF4G2
NFIB
GNG11
PTGIR
ESAM
ALOX12
LANCL3
CXCL3
CTNNA3
EVA1C
UBR4
MFSD6
AL132709.5
MLC1
ABLIM3
CYP21A2
TPM1
KMT2C
EXOC3L2
PDGFB
WDR44
LRRC8B
SH3TC2
SAV1
MLEC
CD109
RP11-69I8.3
CENPT
EFCAB13
XYLT2
FHOD1
SESTD1
HSPA5
DBN1
C11orf21
PDIA6
NFX1
CAMK1
PTTG1IP
CATSPERB
KAZN
RP11-624L4.1
VANGL1
TMEM87B
COL6A3
EHD3
SEPT5
TUBGCP4
ABO
RBPMS2
RP11-412B14.1
MYCT1
SLC35D2
SNAP23
RAP2B
ANKRD55
LRRC32
CALR
RP11-541F9.2
PPIF
ITGA2
XIRP2
TLK1
SERPINE1
KIFC3
DNM1L
PRICKLE1
TBXA2R
ZCCHC6
PLA2G12A
NIPAL3
SLC39A3
YIF1B
CDIP1
MAPK10
EVA1B
KLHDC1
TMEM55A
KLHL18
MAN2A1
GJA4
RDH11
PRTFDC1
MDM1
CXCL2
SPINT2
RP11-540K16.1
KCNE3
GNAZ
RP11-114N19.3
TGFB1I1
UTY
FNIP1
RP11-909M7.3
PEAR1
PLCH1
NRD1
SLC30A5
RP11-215G15.5
INPP5B
MAGED2
SMTN
GAS2L1
CACHD1
SAMD14
CALM3
SMOX
REPS2
TSPAN18
SIAE
SH3BGRL2
CFH
PTBP1
THOC2
RP11-466L17.1
GSTK1
VWF
PHKB
E2F1
DGKI
SHROOM4
FRMD3
WFDC1
PNP
GABRE
RP11-38P22.2
KIFAP3
TTC27
FHL1
UBA7
CDKL1
LINC00984
MAFG
LSMD1
TSC22D1
AL627309.1
UACA
RIOK3
MPL
LHFP
SYN3
VEPH1
HNRNPLL
UIMC1
SEC14L5
