GRP
SCGB3A2
NKAIN2
IGFBP5
SEC11C
RALYL
NRG1
ASCL1
ACSL1
GHRL
MALAT1
TFF3
EGFR
SYT1
CAMK1D
ANK2
DPYSL3
GPC5
SPHKAP
GALNT13
ATP8A2
GRIK2
CADPS2
PIEZO2
EPB41L4A
DLG2
CHN2
TMEM108
CTC-535M15.2
SFTPB
KCNIP4
LIMCH1
CPM
MECOM
NRXN1
MGAT4C
NCALD
PCDH9
LRRFIP1
CALCA
SYN3
SEMA3E
LPHN3
SLITRK6
TMEM132D
S100A6
SMOC2
GRIK1
HSPB1
PRKCE
BCL2
PBX1
GREB1L
RBMS3
AFF3
PLCL1
SORCS1
NPTX1
SRRM4
KHDRBS2
KCND3
PTPRM
SMPD3
KLK11
GPM6A
COL22A1
SPTBN1
PLEKHG1
DPYD
ALCAM
LHFP
TTTY14
CGNL1
HES6
SMYD3
DGKB
RPRM
RIMS1
HTR2C
HORMAD1
GPR126
NOL4
RPLP1
NKX2-1
CPE
ID2
SCNN1A
PDE4B
MMP26
SLCO3A1
TMEM178B
PROX1
HBG2
COL12A1
BCAM
VIM
PEX5L
SV2B
ZNF503
INHBA
AGAP1
L3MBTL4
TCF4
SLC38A1
SPATS2L
KRT7
FREM2
FSTL5
HBA2
LARGE
SORL1
EYA4
SYNE2
DAAM1
KLK12
IGFBP2
GFRA3
ZFHX3
CD9
SGCZ
GPR39
TOP2A
TPBG
DCLK1
OLFML3
COL4A5
NNAT
GULP1
AMPH
CPLX2
FAT3
SOX6
GRIA1
JAM3
RP11-444D3.1
GPC4
HBA1
CA8
IRX3
SFTA3
MVB12B
OLFM3
SLC35D3
CMIP
TCERG1L
ATXN1
KIAA1456
ADARB2
CCDC88A
ZFP36L1
HBG1
KCND2
STXBP5L
HIVEP3
PDE1C
KCNH6
LINC00478
SMAD9
COL1A1
ID1
MKI67
LGALS3BP
DTNA
CELF2
GNA14
GOLM1
TMEM176A
CENPF
TUBA1B
QSOX1
TMEM178A
KCNQ5
FRAS1
COL1A2
ADCY1
ETV1
DCBLD2
RP11-438J1.1
HLA-A
RP11-40F8.2
MUC1
AHNAK
FBXL7
AMIGO2
CDH18
NDNF
TBX1
APLP2
CSRP1
SDK2
DOCK3
ATP11A
EPHA4
WLS
INHBB
CEBPD
FCHSD2
FREM1
FAM13A
SLC44A1
ACKR3
PRKG1
BEST3
LITAF
UTRN
COL3A1
HEPACAM2
DAPK1
KLHL32
RP1-30E17.2
SDC4
HOXB5
CD47
TMEM176B
SCN9A
FAT1
NFIA
CRIP1
FIGN
A2M
CLIC6
NPNT
NGF
CHRD
WBSCR17
FN1
B2M
SCGB1A1
FLT4
LIFR
CCDC14
SYK
PLCB1
STAC
SERGEF
SRGAP1
ADAM23
DCN
PEG10
ENC1
LDHB
ANO5
RP11-114G22.1
SCARB2
SH3GL3
ST6GALNAC3
ANKRD12
SEC14L1
BRINP2
DLL3
ATP1B1
WFDC2
GRIA2
STAR
SFTPC
HLA-C
ALB
TMEM181
XKR4
HES1
LMO7
GSE1
ROR2
PTPRZ1
SNCAIP
FXYD3
ANTXR1
RP11-475O6.1
LFNG
C12orf42
RBFOX1
ADAMTSL1
RP11-123O10.4
SEMA3C
GPR116
KCNK3
KRT18
SLC24A3
DYNC1I1
AQP4
TENM1
PTCHD4
ARHGEF26
DNER
VCAN
CAPN6
MYH9
DAB1
PRKD1
APP
CD59
DISC1
NUCB2
PRMT8
RP11-2E17.1
OSR1
BCL11A
PAPSS2
HLA-B
CDC42BPA
PLS3
KCNH2
ITGA2
FSTL1
CANX
IRF2BP2
ADAMTS18
NUP210
GNAI1
CYP17A1
DUSP6
GMDS-AS1
COL4A2
KCNA4
HEATR4
IRX5
OGT
BIK
PRUNE2
NFKB1
TMSB4X
AQP3
ACTN1
TNKS1BP1
GRM7
NUSAP1
TMBIM6
SLC1A5
EPDR1
NREP
SEPP1
PYGB
HBB
SMOC1
PHIP
SYT13
GRHL2
PPAP2B
SPARC
TGFBR2
ERBB3
CALR
MBNL1
EPCAM
FLNA
NPC2
TMEM47
FGFR2
RP11-279F6.1
ADH1B
FGF13
CENPE
GLUL
OXR1
IPCEF1
SLC36A4
VWDE
ATP1A1
IL6ST
ATP6AP1
VGF
SMC4
PLA2R1
PON2
PCDH10
GNS
HK1
LPL
MSN
CPNE4
SOX21
LTBP1
TACC2
ASPM
PTK2B
C11orf63
LAPTM4B
RP11-325K19.1
TMEM123
APOA1BP
EPHA3
HSPA5
FRYL
FOXJ3
NDST4
ADAMTSL3
POTEJ
HHIP
FAM13C
MYLK
AC079807.4
MYL9
APCDD1
CITED2
NFIB
ELOVL7
FOXP4
LDHA
SCG3
TFF1
ASXL3
NFIX
S100Z
SYBU
BMP3
TSPAN12
RASEF
ST14
STS
NIPBL
ANTXR2
ID3
LINC00669
MME
COL2A1
IRS1
FAAH2
ASAH1
SLC25A24
S100A11
THSD7A
TGFB3
RP5-1043L13.1
RASD1
CLMN
PHF21B
SNCA
ELMO1
ZNF704
SLC16A7
PIK3R1
RP11-410D17.2
SOX9
LECT1
DIAPH3
CPXM2
OS9
GALNT2
EFNB3
CYB5A
KIAA0408
TAPBP
GYLTL1B
PKM
ANXA2
LEPROT
AGR3
RAB40B
ARHGEF2
RP1-35C21.2
PERP
GLCCI1
ZBTB16
EPHB3
PRR4
POSTN
PDIA4
TDRD7
DTNB
EMC7
FBP1
WDR49
ZDHHC2
EPHA7
ACTA2
BMP5
RET
SLAIN1
ANXA3
TCF7L1
CTA-373H7.7
VPS13C
PLS1
SIX1
TMEM30A
C5orf46
ASTN1
LAMP1
SERINC1
RAB2A
SGCE
NRGN
ENAH
CTD-2231H16.1
CCDC80
UTY
FHL1
MIPOL1
PIK3IP1
ITFG1
MRFAP1
MGST1
CFTR
POTEI
MLTK
SH3BP4
GSTP1
ELAVL3
WNT5A
RP11-279F6.3
SERPINH1
PDGFB
SLIT2
MYO9A
L1CAM
TTC39B
SERINC3
CRYM
FIBCD1
UBA6
KIF11
WIF1
DAAM2
EMP2
CNKSR2
ALDOA
HMGB2
ARHGEF3
AMOTL2
SYNE1
MCTP2
SLC44A2
NDUFA4L2
TGOLN2
SERF2
STOX2
C1orf95
CALM3
IGF2R
RRM2
METRNL
WWC1
CRNDE
ITPR3
ACTN4
PTPN13
ENO1
BTG1
VANGL1
SOGA3
ID4
CD164
HGF
TM9SF3
CRY2
SCN2A
KIAA0247
ILDR1
ICA1
ARRB1
PDE11A
VAMP8
ZNF521
JAG2
RDX
SCLT1
SCUBE3
NRXN3
C12orf75
MPPED1
XBP1
CCND3
CD302
MCF2L2
GSAP
TMEM66
SLC39A6
NRSN1
CREB3L2
C1orf116
HOOK1
FAM189A2
FMN1
CXCL17
PBK
ZEB2
LMO4
ETV5
PARP14
TPX2
AMFR
PPT1
ME3
RASA2
RNASE1
TLE3
VSTM2A
CXADR
EDEM3
TANC2
DNAJB14
PKP4
RP11-222A11.1
SEPW1
CNN3
LMBRD1
RGS7BP
PPP2R1A
CTNNA1
HSPA13
APMAP
MBOAT1
TMTC1
GALNT7
HTR1E
KIAA0040
IQCA1
ENPP4
AGBL4
PPP1R12B
C3orf58
CNTNAP3B
ARL6IP1
SLC4A7
PDIA6
IQSEC1
KCNC2
RP11-499F3.2
C4orf32
CIT
ITGA1
FAM111A
NCEH1
XPO1
FANCI
ESPN
GPR56
SPARCL1
HS3ST1
MANBAL
EPHB1
TMED4
SGCG
VANGL2
DST
TMEM43
ADD3
PTGFRN
MEF2C
NDUFA4
UBE2C
MAP6
IGSF8
MAN1A2
IGSF3
NEURL1B
TMEM189
SPTLC2
PCYOX1
SEC62
RAB11A
TSPYL1
RALGAPA1
FBN2
RBBP8
CYTL1
PCBP3
COL6A3
TNFRSF11B
SERP1
IL10RB
CLDN5
C5orf15
ZBTB41
SULT1E1
NR2F1
PTP4A3
EXTL2
HSP90B1
TMEM62
COL4A1
CKAP2L
MXD3
FRMD3
FBXL2
TSPO
FARS2
HCN4
IFITM3
RP11-761E20.1
ESYT3
KIAA0825
IARS2
ERCC6L2
GLRB
SFRP4
TMEM150C
HIST1H4C
FAT4
CEP128
SGOL2
VOPP1
RHBDL3
ARL17B
LGALS1
CXorf48
IFIT5
KAL1
TMED9
CACNA1H
SLC41A1
RP11-844P9.2
RP11-142I20.1
CLDN9
NEB
HERC3
CTSO
SLC2A12
KANSL1L
BARD1
WSB2
DAD1
MYL12B
