BEX3
STMN1
HNRNPA1
SOX4
LDHB
SKP1
SNRPE
HMGB1
RPL10A
ID3
SRP9
GSTP1
SRP14
CKS2
ITM2C
H2AFZ
NPM1
SON
HSP90AB1
GAPDH
HMGN3
ATP5G2
TMA7
RACK1
HNRNPC
TCEAL9
NREP
RAN
HES1
SNRPF
SNRPD2
HMGB2
HINT1
HNRNPK
RPS7
SHFM1
DYNLL1
RPS4X
TMSB15A
GAS5
RPLP0
CD24
SNRPG
MDK
ATP6V1G1
ACTG1
RPL35
TUBB
WFDC2
HSBP1
HSPE1
ERH
SUMO2
MORF4L1
NDUFS5
ID2
RPL18A
RPS21
SNRPD1
RPL6
HNRNPDL
ATP5E
UQCRH
EIF4A2
HNRNPA2B1
ATP5L
COX6C
BTF3
RPL22
RPL18
RPL38
TMEM258
RPL5
UBL5
YWHAE
ATP5J
H3F3B
DYNLT1
PTTG1
EIF3M
CFL1
RPS15
HSPD1
ZFAS1
UQCRQ
RPL10P9
SRSF3
HNRNPD
RPL27
COX7C
RPS26
PTGR1
CYB5A
MYL12B
DNAJA1
SUMO1
RPL29
RPL41
SLIRP
SNRPB2
RPS11
RPL14
RBMX
RBP1
PPIA
RPS8
SF3B6
HMGN2
LUC7L3
UQCR10
RPS17
TPI1
ATPIF1
POU3F3
DPY30
TRMT112
TBCA
CBX3
SSB
TXN
C11orf58
PTMA
PRDX2
RPL7A
RPL4
NDUFA5
CALM2
RBX1
LSM5
RPL11
COX7A2
OCIAD2
RBM8A
CCT2
POLR2G
ILF2
HSP90AA1
BANF1
WDR83OS
TUBA1B
COA3
SNRPD3
COX7B
SNRPC
NACA
ATP5O
NAP1L1
COMMD6
RPSA
RPS9
OSTC
CKS1B
TSC22D1
RPL3
FKBP3
MRPL51
LAMTOR5
NDUFB6
NDUFB4
SSBP1
RPAIN
EMX2
NDUFC1
HSP90B1
CRABP2
SRSF7
PRDX3
PSMA4
NUCKS1
UBB
ARL6IP1
FOS
PSMB5
GTF2H5
PSMB1
BTG2
SUB1
TSPAN6
IFITM3
TUBA1A
ENO1
SAP18
NDUFA4
ARL3
ATP5C1
EIF3E
RPL9
MAGOH
CACYBP
ACP1
HNRNPA3
HMGB3
C14orf2
CLDN6
MRPL33
PFDN4
PFDN5
MDH1
CYR61
GSTM3
