FAM132A
AL590822.1
SMIM1
RP13-614K11.1
AJAP1
CAMTA1
RP11-338N10.2
RP11-431K24.2
RP3-510D11.1
PIK3CD
RP11-558F24.2
KIF1B
APITD1
APITD1-CORT
AGTRAP
MTHFR
CLCN6
MIIP
TNFRSF1B
AADACL3
C1orf158
RP4-597A16.3
FHAD1
DNAJC16
AGMAT
TMEM82
RP11-169K16.7
MST1P2
ACTL8
IGSF21
AKR7A2
RP4-749H3.1
PINK1
KIF17
ALPL
ZBTB40
EPHA8
TCEA3
MYOM3
IL22RA1
NCMAP
CLIC4
MTFR1L
RP11-231P20.2
UBXN11
NPM1P39
ATPIF1
RP1-308E4.1
TMEM200B
SRSF4
BAI2
RP11-84A19.2
RP4-811H24.9
FNDC5
ADC
RP4-665N4.4
TEKT2
STK40
RP5-1180C18.1
DNALI1
INPP5B
CCDC30
EBNA1BP2
WDR65
C1orf210
TIE1
IPO13
ERI3
RPS15AP11
UROD
TESK2
AKR1A1
LRRC41
NSUN4
LINC00505
CYP4A11
CYP4A22-AS1
MTND1P34
PDZK1IP1
TAL1
CMPK1
SLC5A9
RP11-329A14.1
CALR4P
DNAJC19P7
ECHDC2
SLC1A7
GLIS1
DIO1
FAM151A
C1orf177
PRKAA2
C8B
FGGY
RP11-776H12.1
RP11-436K8.1
ANGPTL3
RP11-182I10.3
AK4
LEPR
WDR78
GNG12
SRSF11
CTH
RP5-952N6.1
FPGT-TNNI3K
TNNI3K
ACADM
AK5
RP11-181C21.6
DNAJB4
GIPC2
RP11-115A15.1
RP5-887A10.1
RP11-147G16.1
SSX2IP
WDR63
MCOLN3
RP11-290M5.4
RP5-1052I5.2
RP4-665J23.1
BTBD8
KIAA1107
RP4-593M8.1
FAM69A
RP4-561L24.3
ALG14
SNX7
LPPR5
LRRC39
RP11-84O12.4
RP11-411H5.1
RP11-233E12.1
RP11-270C12.3
SCARNA2
C1orf194
GSTM4
GSTM2
SLC16A4
LAMTOR5
CEPT1
CHIAP3
RP5-836N10.1
WNT2B
MOV10
RP11-426L16.10
FAM19A3
OLFML3
RP4-543J13.1
RP4-591B8.2
RP11-418J17.3
RP5-834N19.1
HAO2
HSD3B2
HSD3BP2
HSD3BP3
HSD3BP5
RP11-114O18.1
PDZK1
GPR89A
GPR89C
NBPF11
RP11-337C18.7
GPR89B
NBPF15
RP11-403I13.7
HIST2H2AB
MTMR11
RPRD2
SEMA6C
TNFAIP8L2
CELF3
S100A1
INTS3
RP11-422P24.11
KRTCAP2
HCN3
MSTO1
SLC25A44
PMF1
APOA1BP
RP11-110J1.2
FCRL3
RP11-404O13.1
RP11-190A12.7
CCDC19
LY9
NIT1
APOA2
NR1I3
SDHC
C1orf192
FCGR2A
FCGR2B
C1orf111
RGS5
RP11-479J7.1
FMO10P
GPA33
MPC2
RP5-968D22.3
RP1-206D15.5
SELP
MROH9
FMO3
FMO1
FMO4
RP1-15D23.2
SLC9C2
ANKRD45
RP11-360D2.2
SERPINC1
RP1-35C21.1
SEC16B
RP11-568K15.1
LHX4
AL162431.1
CACNA1E
RGS8
RGL1
PRG4
LINC01035
RGS13
KCNT2
CFHR2
CFHR4
CFHR5
F13B
LINC00862
RP11-92G12.3
RP11-175B9.3
