RPS9
RPL36A
GAS5
BTF3
NPM1
SNHG5
ZFAS1
STMN1
SLC25A6
RPS3A
EEF1B2
UBA52
RPS4Y1
TUBA1B
HMGB2
SNRPE
KIAA0101
HMGB1
FAU
ATP5G2
LRRC75A-AS1
MEST
SNRPD2
CD63
RPS12
BEX3
DLK1
HNRNPD
GPC3
PFN1
H2AFZ
ATP5L
RPS14
CDKN1C
ATP5E
C1QTNF3
RPS10
ACTC1
EIF1
COX7C
MIF
TUBB
RPL9P9
SPRY1
RPL37A
TPM2
HMGN1
HSPB1
AKR1B1
MYOG
RPL27
PSMA7
NAP1L1
HMGN2
UQCRH
UBE2C
SNRPF
SGCA
RPL23A
EEF1D
LDHB
S100A6
RPLP1
RP11-475C16.1
RPL27A
CHRNA1
NDUFA4
ATP5G3
SLC25A3
NDUFS5
DYNLL1
RPS17
CD82
RPS27
GNG5
SEPW1
EIF3E
RPL21
RPL11
MDK
RP4-614C10.2
NPY
SNRPD1
RPS3
COL5A1
PEG10
HINT1
CALM2
RPL30
TUBA1A
SNHG6
RPL26
HNRNPC
TCEAL9
MEG3
LAPTM4A
RPS19
RPS27A
MSTN
HSP90AB1
ANAPC11
SNRPB2
HNRNPDL
H2AFV
RPL31
ATP5O
RPS6
MORF4L1
HNRNPA2B1
COX8A
PTTG1
COMMD6
TSPAN12
SUMO2
RPSA
TMPO
SRSF3
RPS3AP6
RP11-466H18.1
PDLIM3
SPATS2L
RBMX
EIF3F
RPL37
IGF2
ATP5A1
MYF5
HMGB3
RPS26
RP1-302G2.5
SHFM1
RAN
PSMB7
LSM5
FBL
TOMM7
RPL7
COX7A2
MRPL51
IMPDH2
DUT
CFL1
RBM8A
NUCKS1
RPL10
GLIPR2
TPPP3
CKS1B
CBX3
CFL2
VDAC3
EDF1
EIF3H
TBCA
RPS23
RANBP1
EIF3M
MATN2
FITM1
RPL19
CDK1
TMSB15A
MAD2L1
RPS13
RPS29
VCAN
LAMA4
MYLPF
PSMB5
CIRBP
MAGED2
CDK4
UBE2E3
SPARCL1
PRDX6
FGFR4
HNRNPK
TMEM258
CBX5
LSM7
KLHL41
SRSF11
TYMS
RPL39
CHCHD2
NNAT
NUSAP1
CCL2
RPS24
FABP5
C6orf48
SIVA1
TNNT1
VDAC1
TRMT112
PFN2
SNHG16
SEC11A
POPDC3
NUTF2
