MYL7
ACTC1
TNNT2
MYL2
MYL3
TPM1
TNNC1
PLN
CSRP3
TNNI3
COX7A1
SLC25A4
SMPX
MYL4
HSPB7
MDH1
TNNI1
NREP
FHL2
MYH7
NPPA
MYL9
FABP3
COX5A
COX6A2
MYOZ2
ATP5G1
COX8A
MB
NDUFA1
LDHB
RPS14
CRYAB
ATP5A1
ACTN2
SEPW1
ATP5G3
NDUFA6
HSPB3
NDUFB9
GNG5
NDUFS5
CKM
ATP5C1
NDUFA13
NDUFA12
SH3BGR
PGAM2
RPL7
CASQ2
C14orf2
MGST3
ATP5H
ENO3
CRIP2
UQCR11
USMG5
RPS19
NDUFS6
MINOS1
ATP5I
COX7B
PKM
HSPB1
NDUFAB1
ATP5B
NDUFB1
PHPT1
ATP5J2
UQCRH
NDUFB3
TTN
DSTN
RPL34
COX6C
CYCS
NDUFB8
ALDOA
FITM1
VDAC3
ATP5J
HACD1
PRDX3
MTATP6P1
CYC1
SORBS2
NDUFA3
PDHA1
DES
CHCHD10
COX5B
BANCR
BNIP3
ATP5O
RPS27
HIGD1A
UQCRFS1
IDH2
COX6B1
NPPA-AS1
NDUFB2
ECH1
NDUFC1
NDUFA4
UQCRC1
NDUFB7
NEXN
PSMB6
CKMT2
LDB3
RPS18
UQCRB
NDUFB6
DECR1
NDUFA8
MLF1
NDUFB4
ETFB
ANAPC11
TRDN
RPL23A
PDLIM5
LAMTOR5
NDUFA5
SLC25A5
FAM127A
MAGED2
MPC1
MDK
CISD1
MYBPC3
HSBP1
MIF
SLC25A3
VDAC2
NDUFB5
PNKD
SLIRP
NDUFB10
KTN1
GOT1
SMYD1
LDHA
ACAT1
MRPL41
ARL6IP5
CAMTA1
UQCR10
RPL10
RPL36A
UQCC2
DLD
POPDC2
PRDX2
TCEB2
FGF12
OST4
CSRP2
GBAS
FXYD6
ATP5F1
RPS3
SDHA
FAM162A
PTTG1
HIGD2A
NDUFS2
MORF4L1
HADHB
APOBEC2
ALDOC
HMGN3
RPS26
SDHD
ATP5G2
TCAP
SPAG7
PRKAR1A
TUBA1A
ATP2A2
POMP
TECRL
NEBL
PDHB
SLC25A6
PSMA2
SLC8A1
PPIC
NDUFS7
RPL18
TPI1
02-Sep
CAP2
HSPB2
NDUFV3
DYNLT1
PTN
MDH2
SKP1
UGP2
