SST
CNTN5
LSAMP
TRPM3
NLGN1
KCTD8
SERPINA1
KIAA1244
EGR1
ISL1
LEPR
SAMD5
HHEX
CHGB
FOS
EEF1A2
LRFN5
PCSK2
CRH
GAD2
FOXO1
EYS
TPD52
HDAC9
PLXNA2
RP11-384F7.2
PBX3
PPFIA2
CADM1
RP11-297N6.4
PPP1R1A
VAMP2
SEMA3A
CTNNA2
DNAJB1
RP11-307P5.1
GABRB3
TENM3
TIMP1
BAI3
ABCC9
COL14A1
CALCR
SLC44A5
MCC
TMEM130
PCP4
MIR7-3HG
RXRG
RPS11
MTND1P23
NCAM1
SASH1
ST3GAL1
AKAP12
SCTR
TSHZ2
JUNB
ENPP2
PTH2R
PRSS12
NTNG1
SLC38A4
PPP2R2B
SSTR3
MYO3A
SYT4
SHC2
CIRBP
ABI3BP
DOK6
GABRG2
SFRP1
NAV3
LPHN2
PTMS
SLC4A4
C9orf16
KCNJ8
NAV1
ARF5
SLC35F3
ATP5E
NKX6-3
LINC00616
BAMBI
BSG
IGSF21
RPL15
EXOC6
RGS6
KCNT2
UNC5B
CCND1
ATP1B2
NUDT4
PPP4R4
HSPH1
NRCAM
AES
MARCH8
COPE
KIF5C
LRRC4C
MYO16
SLC17A6
PRICKLE1
GUCY1A2
RYR1
TPPP3
PSD
GABRA1
SPTSSB
SLC8A2
PCED1B
BHLHE41
TMX4
KIAA0319
MRAP2
AC005307.3
ACTG1
RPS27A
KL
RP11-742N3.1
GPR64
NCAM2
RIPPLY3
GNB2
LINC01035
CDH4
RPL3P4
SGPP2
PAK3
SLC16A12
WNT4
RPL23A
IFI27L2
SH3GLB2
LAMA1
NETO1
ATP5L
CTSD
MED12L
C3orf14
MAP3K15
FRZB
RPS29
PKD2
DUSP1
IDS
ST8SIA4
PPIB
DNM1
FHOD3
RP11-436D23.1
PAPPA2
PIPOX
GABRB2
S100B
NAAA
GPX4
NDRG4
SSTR1
EML5
LINC00657
RPL38
RPL23AP2
CARD11
AC009014.3
VEGFB
C1QTNF4
RPL4
CALD1
RPS16
RPS27
HSP90AB1
PTOV1
CERCAM
SEMA5A
TMED6
MZT2B
TPT1
PFDN5
RPL39
GLRA3
RPL34
NRG3
RCAN3
SMDT1
CHPF
KCNIP1
FAM213A
SLC12A5
CTNNA3
SH3KBP1
SLC26A4
ATP5D
CELF5
TPGS1
IQSEC3
RHOBTB3
PFN1
FIS1
GAMT
IGSF10
SLC25A6
BRD2
LTBP3
NCOA7
RPS15A
CLCN5
RPL19
POU3F1
TTC8
RPL9
MAPK8IP2
GTDC1
RYR2
GDAP1L1
UQCR11
ASPDH
BAIAP2
IRF2BPL
BOC
TSTD1
H1FX
UGT8
MPPED2
FAM47E
VASH1
RPL17
LGR5
MXD4
PNRC1
ANKRD36BP2
ST13
INA
AGTR1
SCRN1
PFN2
PCBD1
SLC43A2
RAB36
RGS2
SALL1
SERPINF2
IGFBP7
AMOTL1
C12orf57
PDE8B
ATP6V0D1
MAN2A1
CTSF
SVOP
GPR27
ZKSCAN1
AC009120.4
PPM1K
CTDSPL
TTN
APOBEC2
TLE1
SMIM6
PDE4C
SIX2
HTR1F
REG1A
SCML4
ZNF83
C15orf39
MAGED2
FKBP2
GPBAR1
ANAPC11
BLOC1S6
CALB1
AGPAT6
TMEM59L
CLIP4
CYHR1
ANGEL1
USP2
UQCRB
RASSF7
ZNF358
EPAS1
RP11-101E14.2
PRMT1
NME4
EHBP1L1
TPI1
SLCO4C1
CIDEB
IRS2
PMVK
RP11-282I1.1
CLSTN1
CCDC106
EIF3L
KLF16
PPFIA3
KCNJ2
TRIB3
GSS
CLIP3
CTRC
JPH3
SNRPD2
KALP
TFEB
NDUFA1
MAP3K11
RELN
VKORC1
MASP1
PLEKHH2
EIF1
CNGA3
LRPPRC
STEAP3
RUNDC3A
SSR2
PPP1R15A
GAL3ST1
RP11-548L20.1
POLR2J
IDS
FBXO41
DUSP10
CTD-2037K23.2
COPS3
ERLEC1
RAVER1
RP11-375B1.1
ACSL6
DFNB31
ANKRD13A
ZNF318
ANGEL2
TOMM7
SZRD1
TMUB1
C21orf2
MRPL54
GPR153
PIH1D1
SNHG8
MEI4
LINC00936
RP4-614C15.2
FBLN7
CTSC
PSIP1
CXorf57
GAPDH
SLC9A9
TMEM159
RGAG4
RTN4
ELK4
FBXL15
LAGE3
CDH8
C7orf41
CTD-2547E10.2
EFEMP1
B3GNT1
SYT16
ABCA7
KCTD17
ERI3
MAN2B1
PRNP
FRMPD1
LAMTOR4
VAT1L
NDUFA7
RRP36
AC139100.2
KLF7
RP11-676J15.1
EHMT2
SDSL
EIF1B
GSTT1
PIN1
MEIS3
ZNF580
CTD-2031P19.4
PCBP2
CHCHD10
ABHD17A
COX7A2
STX2
FNDC5
CTD-3193O13.9
RP11-488C13.5
RP11-493L12.4
MMP24
SHC3
OBSL1
PNMA2
B3GAT1
AC092675.3
SCAMP3
ZNF395
GMPPA
GAS2
CTC-304I17.5
SSR3
RAB13
CTD-2287O16.1
KRT10
GAP43
SLC25A5
BMP2
SLC25A43
EFEMP2
JTB
RP11-101E14.3
NDUFB10
TMEM258
DYRK2
SYCE1L
MST1
AAMP
SIN3B
ZDHHC22
DNAJC6
PCGF1
PLAC9
NPHP4
EEF1A1
ICA1L
KLHL42
CLTB
VWA5A
CBFB
YWHAE
TMSB4XP8
NR1D2
C8orf82
TMA7
DNAJA4
COX6B1
HRAS
RAB24
AP2S1
MAGIX
TDRP
RPS20
BEX4
GPRASP1
DYNLL1
TAOK2
GPRIN1
RPL41
MAPT
CETN2
STARD13
FBXO44
FAM134A
C21orf119
HDHD2
POLR2E
ZBTB8A
RP11-328K4.1
NDUFS6
UBA52
PTTG1
UQCRH
PCDP1
ZNF487
CCDC173
THBD
ERCC4
ASRGL1
KIAA0895
PPP5C
CLCN7
RP11-166P13.3
HECW1
CSE1L
C11orf71
CRAT
PDLIM4
RHOC
ECE2
TVP23A
FAM200B
IRAK1
PDRG1
TH
NBPF1
FLRT2
KCNF1
TNFAIP3
C6orf62
GNPNAT1
CNOT6L
LINC00643
ANAPC15
EMD
MAP9
UBXN1
C1orf86
FAM57B
SEC61B
PDZD4
EIF3G
VPS51
SARS
FIBP
CPT2
RP11-768G7.2
C19orf43
VILL
FNDC3B
CCDC158
C8orf34
SUMO2
BUD31
SAMD4B
TMEM240
PNMA1
UPK3BL
MRPL51
EGLN2
HPSE
FAM104B
TLE2
RPL10
PSMD2
AP3D1
TCEAL8
MED8
FAM84B
C1orf123
TCEAL2
RND2
SLC2A3
YTHDF1
ZRANB1
RIOK1
CISD3
CPLX1
CDO1
CYB5R4
HTATSF1
SMIM1
AP000797.3
NACAD
MRPS14
PURA
SERP2
DNAJC8
PTGES2
RP11-262H14.3
PHB2
AC011306.2
RP11-79E3.3
LRFN3
MCHR1
IKBIP
SIAH2
ZNF226
WDR93
HSF1
MORF4L1
TMEM61
CEP41
ZPLD1
MAPK12
C15orf61
LRCH2
SPSB4
TNFSF10
ARFIP2
SNRPF
SSTR5
CTD-2089N3.2
NAP1L5
TRMT61A
MVD
AC096669.3
CHCHD1
ATP2B2
FAM20C
RP11-431K24.1
AC117395.1
SHISA7
C6orf120
SDHC
TMEM218
MRPL17
IRGQ
DGAT1
GRK7
MON1B
SLC35E4
RP11-174M13.2
CAPNS1
WDR61
GINS3
PSMC5
RNF167
CERS6
