PRTN3
CD226
NRXN3
TCP11L2
CD9
SLC16A9
MYL9
WDR26
UBR2
BNIP3L
GPCPD1
RAPGEF2
CCDC26
TPM4
PTGS1
PLCB1
FRMD4B
SLC2A3
CMIP
PTH2R
MTMR3
PLXNC1
DLEU2
CCND3
MSN
SORBS1
PRKCB
PDE3A
ATP8B4
CD84
KIF13A
S100A6
TAOK3
BMP2K
ZNF609
GNAI2
PDE3B
MAST4
MYO15B
MAML3
UTRN
ZNF521
ZEB2
ELMO1
FREM1
MALAT1
DOCK8
MYB
IGF2
B2M
P2RY8
CAPZB
NRROS
ZNF804A
SUSD1
PBX3
DOCK11
RFX7
REV3L
S100A4
AZU1
LYZ
CSF3R
RNF10
RHOBTB3
C20orf194
TIMP1
COTL1
RP11-707A18.1
SCMH1
NKTR
FCER1G
KLF7
RP11-142A5.1
UBE2E2
FNDC3B
CTSA
CSF2RB
GRK5
CD82
DEPTOR
MAP4K5
SNX29
IQGAP2
FTX
PRAM1
ABCC3
TTC39B
KDM5B
BCR
RPL13
HBS1L
GALNT7
PCCA
DENND5A
COBLL1
ACSM3
RAB37
SLC38A1
CKAP2
FAM89A
SBF2
FLT3
RP11-426C22.5
NFIB
RNF216
PBRM1
PCED1B
TSC22D1
UBAP1
RFWD2
TRIM44
SATB1
RNASEH2B
UBB
IRS2
TCF7L2
CNTNAP2
DLK1
PTBP2
TET2
ICA1
MYO1F
RP11-624L4.1
HSD17B12
ST8SIA4
PLCB2
CDC14A
SGPP1
KAZN
CR1
RCSD1
CDC42SE2
EPCAM
ARHGAP4
FARS2
SNX5
LDHB
PCNX
UBE2R2
TMC8
LRP5
PLA2G4A
NCKAP1L
PIK3CD
TSPAN18
CD47
ADAMTS3
PARP8
SLC25A6
NFAT5
ARHGAP25
MYO9B
ABR
FHL1
HSPG2
PKN1
NFKB1
CTSC
IFITM2
OGT
TNFRSF19
LCP1
STK4
ADAM28
CHD4
DPP7
GFPT1
TET1
PTPRCAP
OSBPL3
S100Z
PRELID2
SNAP23
GAS7
EPS15L1
COMMD10
ITM2B
KHDRBS1
PLEKHA2
ZFP36
WDR7
TRAF3IP3
CLNS1A
DLC1
HEATR1
CCM2
MAP4K3
XXYLT1
STK3
RBPMS
SELL
YARS
TAB3
IFNAR2
SLC16A3
HMHA1
LARP4B
TM6SF1
CXADR
STK17B
RAB32
ARID4B
NEO1
PHYKPL
DPYD
MRPS25
LYST
HCST
CNTN4
ARPC5
CAMK2G
IFI16
CD99
UQCC1
EFCAB11
UNK
ESYT1
FAM107B
ITFG2
SEPN1
ASPH
RP11-134O21.1
RPS6KC1
GNPTAB
TRPS1
PTPN6
SEC63
CYTH3
GNG7
AL163953.3
SDCCAG8
WDFY4
CKMT2-AS1
PRKCD
AC027612.6
CDIP1
ATP7A
C2CD5
LRFN4
ZFYVE9
CDR2
CSPP1
SSH1
LRRC37A4P
TCF19
RP5-977B1.7
PNMT
NIN
GLTSCR2
RP11-620J15.3
SLC27A2
XPNPEP1
RGS12
MAP1A
WDR41
GOLGA2
PRKCH
IGFBP7
RBMS1
RP11-156P1.3
PARP6
SLC35D2
TAPT1-AS1
SLC25A25
GIGYF1
GLCE
TAF1B
ACVR1
CTD-2341M24.1
TSC22D3
ARHGAP26
FAM110A
LAT2
LONP2
IBTK
PGD
RPS27A
NFKBIZ
CDC42EP3
KCNQ1OT1
KLHL13
N4BP2L1
AK2
CDCA7
MAML2
FAM214A
WASF3
FMNL1
CCSER1
SETBP1
INPP4A
PPCDC
CASP3
USP47
STXBP6
KCNAB2
PRKAR1A
RENBP
RNF125
MEST
MAPKAPK2
ITGAL
PRKD3
LSAMP
ZFP64
PRRC2C
TTK
EFCAB4B
TMEM156
IL1RAP
RASSF2
ADD3
LUZP1
INVS
DEPDC5
CALU
ABCB9
CDH12
CMTM7
TFB1M
PPP1R18
PSAP
MIAT
NMD3
USP34
ZMAT1
RP11-114N19.3
FCGRT
DYRK1A
RP1-69D17.4
AKNA
MTF2
CHM
STK38
RAB38
ZNF551
LASP1
ITPA
C1QBP
CYFIP2
CSGALNACT1
POM121
GLRX
FAU
PTPRE
TDRP
KIAA0100
DCTD
SUFU
TAPBP
RAI1
PLD3
B3GNTL1
IKBKB
NLRP1
SAT1
TAX1BP1
LPAR5
TTC28-AS1
MNAT1
ERCC8
