IGHG4
IGHGP
IGHG3
IGKC
XBP1
IFNG-AS1
FAM46C
POU2AF1
SEC24D
IGHM
PRDM1
SKAP2
FNDC3B
IGJ
RNA28S5
FCRL5
TSC22D3
DENND5B
CDK14
CPEB4
ELL2
CD38
SLAMF7
HSP90B1
STAT1
RRBP1
FAM69A
CSGALNACT1
ST6GAL1
MYO1D
FUT8
MZB1
TPD52
HSH2D
APOL6
RAB30
HERPUD1
IRF4
LARGE
XAF1
FOXO3
RNF122
CEP128
CD180
TSHR
RASA1
NCOA3
SCARB2
UBE2J1
AGPAT5
EDEM1
GLCCI1
RPA3-AS1
ANKRD36BP2
ANKRD28
IGLL5
SEMA4A
TMTC2
TRIB1
TRAM1
IFI6
AC096579.7
MX1
SLC2A5
ERC1
GOLGA4
C11orf80
RP11-446N19.1
IL15RA
ISG15
LAX1
DNAJC1
EAF2
MLKL
AC006129.2
ARRDC3
LARP1B
CLIC4
TBPL1
RP11-444D3.1
SEL1L
AK3
SGCZ
SIAH2
GMDS
RP11-669M16.1
SAMD9L
GMDS-AS1
RP11-557H15.4
GIPC1
AC107218.3
ACVR1
WIPI1
CCNE2
LRP11
FNDC3A
FAM214A
TCIRG1
RP11-325F22.2
MBNL2
SSR4
SEC23A
ABHD3
NXPE3
BMP6
RP11-284N8.3
HERC2P9
EIF2AK3
GALNT2
TXNDC12
BTN3A1
TTC3
RP3-508I15.14
SIK1
SPSB1
OXCT1
PIM2
TPRA1
PPFIBP2
HIBCH
IGHA1
DUSP22
PDIA4
CREB3L2
NPLOC4
IGF2R
MTND1P23
SYNJ2BP
IGHG1
CTBS
ZBTB38
GFPT1
CCDC66
EIF2AK2
RABAC1
RP11-96H19.1
CPNE5
ZSCAN5A
GOLGB1
HOOK1
FUCA2
ST6GALNAC6
XRN1
EIF4E3
IBTK
RP11-81H14.2
PYGB
SSR1
ENAM
GOLGA3
DNAJC3
IDH2
ACYP2
SSPN
SLC6A16
SCAMP5
LAMC1
PTP4A3
VPS37B
TMEM194A
GLA
TMCO4
ARFGAP3
SCFD1
KCNA3
KLHL32
ANKDD1A
SLC15A2
C12orf23
USO1
NAT14
CHRNB4
SYVN1
STX8
TNFRSF13B
UBE2L6
STT3B
DANCR
AC074289.1
SERP1
TP53INP1
PHGDH
SPCS3
P4HB
XIST
MAN1A2
NUAK2
MAMDC4
BCAM
CCPG1
HM13
NDST1
CTD-2023M8.1
AC007246.3
SERPING1
TXNDC5
AC093818.1
PDK1
OSBPL3
PTN
PPCDC
CLCC1
DDX58
CAB39
EML5
SARM1
TRMT112
GADD45A
CDKN1B
DBP
RUVBL2
C6orf183
PSMA4
SCG5
PPAPDC1B
FAM3C
PI4KAP2
PI4K2B
SEC14L1
IQCB1
AP000476.1
MTDH
IFI35
SPATS2
ZNF215
ZCCHC24
CTD-2509G16.5
PPFIA2
TIFA
SLC3A2
CTLA4
SPG21
ESR1
RUFY4
GOLPH3L
ZBED5
UBXN4
ZBP1
CTD-2370N5.3
TCN2
SOX5
OTUD5
CT64
PQLC3
NEU1
FUBP1
MAP7D3
AC009948.5
TG
OR2A1-AS1
IGFBP3
CASP10
HPSE2
N4BP1
NGLY1
PLOD1
ANKRD12
GKAP1
PRKCG
CTA-211A9.5
ZNF862
AC016831.7
ABCD2
CCDC144B
ASPHD2
TMEM41B
GORASP2
TNK2
SDE2
IRAK1
HIST1H2BD
LMAN2L
DCC
CRNDE
GPR75-ASB3
CYCS
ATF5
ZDBF2
CCT4
RNA18S5
RPN2
LIAS
HGF
RP11-238K6.1
NAALAD2
ANAPC1
OARD1
FKBP11
ATF4
TMEM258
CTD-2260A17.2
MCEE
SLC39A6
TXNDC11
CTA-109P11.4
TRAM2
WDR20
CCDC102A
ZNRD1-AS1
PRDX4
SPAG16
FBXW7
INO80
RP11-298J20.4
C16orf13
HIST1H2BJ
TMED9
ITGA8
TRAPPC6B
TTC21B
RSL24D1
CALU
CKMT2-AS1
RNF7
MAP3K14-AS1
CROCC
UBQLN1
TIRAP
CHODL
PRELID1
CRYGS
IFI27L2
EDEM3
CASP7
PCNP
KRT10
SAMD10
QTRTD1
NAGLU
RP11-325K4.2
TOR3A
AGBL4-IT1
HCG27
TMEM256-PLSCR3
ZCRB1
GGH
KIAA1429
B3GALT4
PTRH2
MIAT
BRMS1
EML6
RAB5A
WDR52
RP11-732M18.3
