CLEC10A
CD1C
AGPAT9
RTN1
MOB3B
AIM1
NR4A3
SAMHD1
ITPRIPL2
CD86
MYOF
RAPGEF1
PLEKHO1
AIF1
HLA-DMB
KCTD12
AMICA1
TBC1D9
CLEC7A
SCIMP
RILPL2
GLIPR1
ETS2
MS4A4E
IGSF6
STK17B
TPK1
OGFRL1
JAK2
UST
AOAH
UBA52
HIP1
IL13RA1
KIAA0930
RIN3
ARPC1B
TET2
COTL1
BTBD9
PRKCA
NLRP1
RAB31
ZNF385A
RPL8
PLA2G4A
GNAI2
PLCB2
ITGAX
LST1
WDFY2
HLA-DOA
APAF1
TFEB
ABI3
FES
NAGA
BHLHE40
ZNF217
PDE4A
CNDP2
TPI1
STK38L
JHDM1D
HGSNAT
LINC00486
MGAT1
COX4I1
CMTM3
KCNC3
PEA15
RBM3
LTBR
SIGLEC5
NDRG2
FAM26F
TNFAIP8L2
AIP
GALNT3
GJA3
TMED10
PRKAR2A
SESN2
DDX21
ATF3
MSLN
LRP1B
DUSP3
CALM2
RPS6KA1
CEBPA
VPS35
RALA
DBI
CD1D
PPM1G
NFKBIE
MAP3K11
SCLT1
KHSRP
HAAO
GRAMD4
GRASP
SLC12A9
XRN2
FZD2
CIDEB
LILRA1
DISC1-IT1
ARRDC1
GANC
CLEC4F
BAIAP2-AS1
MYD88
ZFAND5
IL1R2
C15orf38
PAPD5
NDUFA1
RASA4B
GLB1
ENHO
SLC25A43
CLEC4A
hsa-mir-6723
EIF3L
ATP5A1
ALKBH7
MRPL37P1
KLHL15
CCR5
DOK1
CD101
FCGR2C
SCNM1
GIPR
PRPF19
RCC2
CLN3
CCDC112
IMPA2
GGT3P
MICALCL
PDE6G
CASP9
TMEM109
AC024084.1
CD207
XPA
LAMTOR2
CDC37
FFAR2
ASCL2
CES2
HSD17B10
ADGB
KCNMB1
FUOM
COMMD8
MTHFD2
RP11-154D6.1
ACAA1
RP11-404O13.4
ADI1
ARF5
SPATA5L1
TXNDC17
DDOST
SLC4A3
NUBP1
RAB34
VPS29
GTF2F1
MRPL12
FCGR2B
NIPSNAP3B
BCKDK
MAP1S
AC008440.5
COMMD9
SLC25A19
CRLF3
PDCL3
GPR162
XXbac-BPG181M17.5
RP3-473L9.4
GHRL
WDR11
BACH1-IT1
DNPEP
PABPC4
CCDC86
FUT4
GTPBP4
ZBTB47
NDUFS7
HADHA
CLASRP
CTD-2006K23.1
IL10RB-AS1
ADORA1
RP11-519G16.3
TRAPPC11
FAM118B
SST
HCAR3
CDH17
NRARP
PCYT1A
SPSB2
HLA-AS1
TNIP2
RPGRIP1
MRPL27
ASB13
RP11-108K14.8
WIPF2
PPIE
AC093627.10
RP11-4F22.2
RP11-575F12.1
HAS1
ZNF689
LINC00968
SIGLEC6
IL18BP
LINC01010
HAUS7
SMG9
SRD5A1
RP11-778D9.4
CTC-484P3.1
RP3-522P13.2
RABGGTA
BTN2A3P
ELAC2
MTCH1
ADAM33
SDHB
RP11-832A4.5
RP11-22P6.2
INSL6
CTC-378H22.2
MPND
FRAT2
IMP4
BACH1-IT3
RP11-804H8.6
ATP5EP2
POMP
LRRC48
RP11-318K15.2
PPFIA3
HHLA2
CTC-236F12.4
ASNA1
CTD-2245F17.3
RP11-348H3.2
RP11-396B14.2
RP11-69E11.4
OTX2-AS1
RP11-24J23.2
RP11-409K20.6
HTR2C
RP11-834C11.5
SNORD13
MTRNR2L8
PIGR
Y_RNA
CTC-349C3.1
RP11-53B2.4
RP3-468K18.5
ZNF555
CTD-2308G16.1
RPL35P5
RPS21P4
MTND4P24
ATF6B
LINC00339
ZDHHC16
RP1-27K12.2
AC009951.2
MFSD3
MPV17L2
RP1-91J24.3
C8orf31
CYSLTR2
ABCF3
DTX2P1
RPL21P1
TMEM186
RP11-418J17.3
RNU1-103P
GCC1
RP11-310H4.6
MIR940
RP11-452C13.1
