NDST3
VCAM1
CD5L
PIEZO2
ALB
AFP
TIMD4
CETP
HBA1
HBA2
HBG1
HBG2
SNTB1
MYO9A
KIAA1217
DYSF
EXT1
KCNMA1
FGF13
RP11-1080G15.1
KCNAB1
TCF7L2
SIGLEC1
FRMD4B
DSCAM
MS4A7
CD163
IQGAP1
H19
MS4A6A
ITSN1
CCDC26
LGMN
DAPK1
FNBP1
RGL1
IGF2
SLC40A1
WWP1
FTL
TGFBI
DPYD
ITGA9
PSAP
APOA1
SDC3
CR1
TPRG1
PRKCB
DMXL2
LILRB5
HMOX1
DST
MARCO
CFP
MS4A4E
APOA2
KYNU
ME1
GFRA2
PPARG
RNA28S5
CXCL12
PSD3
PLEKHG1
ADAMTS2
EPB41L2
PDGFC
LINC00704
EDA
WSB1
PTPRM
TMEM26
MPPED2
RBM47
SLC16A10
ABCA1
STON2
CD44
CD38
PHACTR2
ARHGEF18
VIM
CTSB
MCOLN1
SERPINA1
IFNAR2
BLVRB
IGSF21
AGBL4
ABCC3
PTK2
HIP1
FMNL2
MTSS1
LIPA
APOC3
ADRBK2
FAM49A
RUFY3
FYB
MVB12B
NHS
HBB
SOBP
ARHGEF3
AHSG
AXL
RGL3
CXCR2P1
HBM
ANKS1A
CMKLR1
ARAP2
AHSP
PIK3R3
APOB
RP11-807H22.7
DCBLD2
CPNE8
AC023590.1
MT1G
CLIC2
IFI44L
FCGBP
PSTPIP2
PEG3
NR1H3
ACTN1
MCU
MEGF11
AP2A2
SLC38A6
FCHO2
CHN2
BASP1
SLC23A2
TRPV4
SEL1L3
TRIM14
ABTB2
AC079807.4
FUT8
PARD3B
NABP1
IGF2R
FLVCR2
DIRC3
PLAC8
CD55
RXRA
CTSL
CTSS
ITSN2
VTN
BAZ1A
ARID5B
WDFY3
LINC00970
NEDD9
PARP14
LILRB1
GPR155
MICU1
SPIC
LINC00299
PYGL
LILRB2
SYT1
TIMP1
IL10RA
COL3A1
LIMCH1
DLEU2
RP11-300J18.3
RP1-193H18.3
TGFBR3
LMNA
EPAS1
SCIMP
FGB
SETBP1
KIAA1958
TSPAN4
RND3
EGFR
NCEH1
ZNF609
CTD-2337J16.1
NFIA
TTR
RAPGEF2
RBMS3
PHKA1
TCF7L1
MRC2
EPB41L3
TMC8
MYO1F
BACE2
EXOC6B
FNDC3B
XAF1
TF
TMTC1
INPP4A
RPL17P50
HK3
GCNT1
SELENBP1
FCGR3A
MOB3B
AMBP
CEPT1
EMR4P
FBN2
ADAP2
HBZ
CD82
EYA2
PPAP2B
IQSEC1
DOK2
PIP4K2A
LRP1
GCLC
IL15
PVT1
MT2A
TMEM132E
IFI6
ME2
ITIH2
AC104809.4
SPSB4
SNTB2
CPVL
HEG1
FARP1
FBXL7
ERO1LB
ITGAD
STAT1
GSAP
TNS1
C6orf62
CDH5
FGA
ZNF704
RHOBTB1
C9orf72
C20orf194
SLC16A7
MX2
CD244
EHBP1L1
RNF213
RAB10
ANKRD36C
CABP4
APOH
PNPLA6
DMD
STOX2
SGPP1
MT1H
STK10
TNFAIP2
NOTCH3
SARM1
SESTD1
HEATR3
ZNF710
ALAS2
AIG1
UBXN11
SUSD1
PDLIM5
SLC7A8
HERC1
SLC22A23
ZNF124
PLCB1
ARHGEF12
IFI27
TSHZ3
TTC7B
TMEM123
SLC16A9
IFIT2
PIK3AP1
SUCNR1
FUCA1
