SPINK1
DLK1
RBPJ
MEG3
CPA2
RBP1
HNRNPA1
XIST
CD24
SERPINA1
SOX4
BEX3
TM4SF1
FLRT2
SLC4A4
GATM
CLDN10
HNRNPA2B1
ERP27
CLU
IGF2
TTR
RPL4
RHOBTB3
NAP1L1
ANXA4
RPS25
CYB5A
EGR1
RPL23
DDX17
TMEM123
EPCAM
RPSA
GMNN
CTRB2
RPS7
LGR4
NREP
MTATP6P1
APP
EIF3E
GNAS
CPA1
HMGA2
HSP90B1
RPL41
STMN1
RPL7A
UBB
ATP1B1
RPS16
CDH1
RPL24
DSG2
RPL10A
RPL23A
SERPINI2
RACK1
AMBP
RELN
RPS17
FXYD2
PAPSS1
CLPS
SNRPE
RPLP2
EIF4G2
RPL22
PROX1
TCF12
MDK
HNRNPU
RPL37
COX7C
MEST
BEX1
NACA
TIA1
FRAS1
SOX9
COMMD6
NONO
HNRNPH1
HMGN3
HSP90AB1
ERBB3
PHIP
KCTD16
LAPTM4B
TCEAL9
CTNND1
ATP5G2
HSPA1A
MARCKSL1
PNISR
LUC7L3
RCN2
SERINC5
02-Sep
ZKSCAN1
CD164
RPL14
NUCKS1
MATR3
ALDH1A1
SERBP1
RP11-528G1.2
NR5A2
SPINT2
TM4SF4
SCOC
RPS9
CLDN6
NDUFS5
PDCD4
HMGN1
NPM1
TUG1
VEGFA
RPL29P11
RBPJL
LRRC75A-AS1
RPL36
CADM1
SEPW1
RPL27
HDAC2
CIRBP
SET
ARID1A
BTG1
TSPAN6
ZFAS1
BTG2
SRP9
HNRNPDL
ZFP36L2
SEL1L
SRSF10
ATRX
ELMO1
CBX5
ITM2C
UGDH
MYO10
OSTC
TXNIP
RBMX
BTF3
PTPRF
CFTR
XPO1
KHDRBS1
CYR61
SRSF11
RPL39
MARCKS
GSTM3
BEX5
GUCY1A2
PFN2
C14orf105
SUCLG1
NPNT
COL27A1
HNRNPA3
HMGB1
AFP
PPM1B
SRSF3
GOLGA8B
WSB1
MORF4L1
NDUFA4
CTNND2
GTF2H5
GAS5
JAG1
SPATA13
JUN
MEIS1
PDX1
TMEM245
SHFM1
TMED10
PFDN5
RBM39
SV2B
KRT8
NEDD4L
NOTCH2
COL2A1
SF3B1
SOX6
LAMB1
UGT2A3
HMGB2
PPIA
CELA3A
