RPS14
RPS29
RPS18
RPS6
RPS27
RPLP1
RPL31
RPL34
RPS19
RPL27A
RPS3
RPL7
RPS23
RPL21
RPL32
RPS27A
RPS3A
RPL15
RPS15
RPL13
RPS12
RPL10
RPL30
RPL36
RPL37A
RPL37
RPL19
RPL11
RPS15A
RPL26
RPS24
RPL13A
RPL3
RPL35A
RPS25
RPS4X
RPL10P9
RPS21
RPLP2
RPS13
RPS17
RPL39
RPS20
RPLP0
RPS28
RPL18A
RPL36A
RPS11
RPS8
RPL5
RPS5
RPL23A
RPL9
RPL28
RPL23
RPL35
RPL27
RPS16
RPL12
RPL18
RPL10A
RPL6
RPS7
RPL41
RPL14
RPL38
RPL29
RPL24
RPL7A
RPS10
RPS9
RPL8
MPO
RPSA
RPS2
GMFG
PRSS57
SPINK2
SNHG6
RP11-620J15.3
RP11-386I14.4
PLAC8
ENO1
VAMP8
RPL22
PRTN3
SNHG3
STMN1
RP11-234A1.1
CD52
SNHG8
SNRPE
RPL4
RPS26
SNRPD2
SMIM24
RPL9P9
SELL
RP11-543P15.1
AIF1
NAA38
UQCRH
FXYD5
S100A4
IGLL1
NUCB2
AC002454.1
GSTP1
AZU1
SERPINB1
PSME1
COX6B1
SNRPD1
MIF
ELANE
TXN
HCST
HLA-DRB1
MTATP6P1
CD69
SNHG25
UXT
ARHGDIB
RPL22L1
S100A8
FAM30A
LST1
HMGA1
CPA3
RPL10P6
C14orf2
NHP2
COMMD6
RP11-466H18.1
APRT
SCARNA9
RPL18AP3
NME1
SNRPF
RPS3AP26
TALDO1
LSM7
SH3BGRL3
MS4A3
GYPC
RNASE2
CTSG
ABRACL
CD37
PFDN5
SNRPB
AC007969.5
CLIC1
C6orf48
RPL13P12
COX4I1
TRBC2
SYNGR1
H2AFZ
LSP1
S100A9
APEX1
DANCR
SF3B5
CD99
RNVU1-4
HLA-DPB1
TAGLN2
TUBA1B
EAF2
EIF3E
TMEM258
SLC25A5
IMPDH2
EIF3K
COX5A
SNHG9
ARPC3
RPL13AP25
SRGN
GTF3A
RPL3P4
HLA-DPA1
SNRPC
ATP5G3
TMA7
SSBP1
UQCRB
ATP5I
ANP32B
LYZ
HPGDS
ATP5G1
SLC25A6
LSM5
MRPS21
NPM3
AP001171.1
RSL1D1
MRPL57
