AL645608.1
KLHL17
TNFRSF4
B3GALT6
SCNN1D
ACAP3
TMEM240
C1orf233
MMP23B
SLC35E2B
MMP23A
SLC35E2
GNB1
TNFRSF25
PLEKHG5
RP11-338N10.1
RERE
UBE4B
MTOR
PTCHD2
CELA2B
SLC25A34
SPEN
RP4-798A10.2
CROCCP3
RP4-798A10.7
NBPF1
CROCCP2
CROCC
MFAP2
SDHB
PAX7
MINOS1-NBL1
NBL1
FAM43B
SH2D5
HP1BP3
EIF4G3
KDM1A
ASAP3
RP1-317E23.6
ARID1A
RP11-4K3__A.3
IFI6
XKR8
OPRD1
RP1-212P9.2
KHDRBS1
FAM229A
LRRC37A12P
ZNF362
PHC2
ZSCAN20
RP4-728D4.3
AGO4
RP4-789D17.5
AGO3
CSF3R
MEAF6
PPIEL
COL9A2
RIMKLA
LEPRE1
CCDC23
CDC20
KDM4A
ST3GAL3
ZSWIM5
MAST2
PIK3R3
TRABD2B
FLJ00388
ELAVL4
OSBPL9
ZFYVE9
GPX7
RP5-1024G6.8
LRP8
AL161915.1
RP11-467C18.1
CACHD1
RPE65
LRRC7
ANKRD13C
ST6GALNAC5
TTLL7
PRKACB
HS2ST1
RP5-1052I5.1
LRRC8C
HFM1
GLMN
RPL5
BCAR3
RP11-122C9.1
RP5-1070A16.1
LPPR4
HIAT1
EXTL2
PSRC1
ATXN7L2
RSBN1
HIPK1
TRIM33
C1orf137
HIST2H2BA
RP11-423O2.2
ANKRD20A14P
ANKRD34A
LIX1L
ANKRD35
RP11-94I2.1
NBPF13P
PRKAB2
RP11-495P10.8
RP11-495P10.3
RP6-74O6.6
PLEKHO1
PRPF3
RFX5
POGZ
GATAD2B
ADAR
SHC1
ARHGEF2
C1orf61
TTC24
CRABP2
NTRK1
PEAR1
CD1D
PPOX
ADAMTS4
RP11-122G18.8
FAM78B
RP11-479J7.2
FMO8P
MAEL
RP11-318C24.2
BRINP2
RP11-538D16.2
SHCBP1L
COLGALT2
HMCN1
CDC73
B3GALT2
KIF14
RP11-168O16.1
LMOD1
RBBP5
DSTYK
TMCC2
IL19
SYT14
RP11-354K1.2
FLVCR1
VASH2
ANGEL2
PROX1
RP11-365D23.4
MARC2
RP11-400N13.2
MIA3
NDUFB1P2
DEGS1
CNIH3
ENAH
RP5-865N13.2
ARID4B
B3GALNT2
RGS7
RP11-306K13.1
RP11-527D7.1
CHML
CEP170
KIF26B
AC105393.1
SNTG2
AC019172.2
RSAD2
MBOAT2
YWHAQ
KCNF1
LINC00276
AC011897.2
FAM84A
AC068286.1
NBAS
RP11-32P22.1
DDX1
OSR1
AC010096.2
LINC00954
TDRD15
AC067959.1
AC011752.1
FAM228B
RP11-507M3.1
KIF3C
AC013449.1
SMARCE1P6
ABHD1
SPDYA
RP11-713D19.1
ALK
LTBP1
AL133244.1
AC016995.3
DHX57
COX7A2L
KCNG3
MTA3
FTOP1
SIX2
AC093702.1
CALM2
FBXO11
NRXN1
AC139712.4
AC010967.2
AC010967.3
GPR75-ASB3
ASB3
CCDC88A
PAPOLG
KIAA1841
AHSA2
CEP68
AC074391.1
MEIS1
AC007392.3
AC007392.4
AC007403.2
AC023115.2
AC023115.1
AC078941.1
AC010987.5
CNRIP1
ANTXR1
TIA1
FIGLA
RPS20P10
ALMS1
WDR54
CCDC142
LBX2
SEMA4F
C2orf68
REEP1
KDM3A
RMND5A
ANAPC1P1
AC027612.6
LINC00342
ANKRD36C
SNRNP200
RP11-353K11.1
ANKRD39
SEMA4C
ANKRD36
ANKRD36B
AFF3
CHST10
MAP4K4
FLJ20373
TMEM182
C2orf40
AC108868.3
RGPD4
SULT1C4
SH3RF3
DPP10
GLI2
CYP27C1
AMMECR1L
SAP130
R3HDM1
MTND2P19
ARL5A
GALNT5
FAM133DP
ACVR1
UPP2
DAPL1
OR7E28P
TANC1
BAZ2B
CERS6
HMGB1P4
AC007405.2
GAD1
TLK1
AC092573.2
CHRNA1
CHN1
RP11-6C10.1
ATF2
HOXD11
HOXD10
HOXD1
OSBPL6
RP11-65L3.1
PRKRA
FKBP7
AC009478.1
UBE2E3
AC068196.1
ANKAR
STAT4
AC092614.2
SF3B1
RFTN2
CLK1
ALS2CR11
AC079354.1
SUMO1
BMPR2
ABI2
KLF7
AC007879.1
CREB1
CRYGEP
CRYGD
MAP2
FN1
USP37
DES
SPEG
TMEM198
ACSL3
HTR2B
ARMC9
B3GNT7
PDE6D
AC068134.10
ECEL1
CHRND
CHRNG
TIGD1
COL6A3
AC112721.2
AC096574.5
OTOS
AQP12B
KIF1A
STK25
ATG4B
AC131097.4
AC093642.3
ITPR1
GRM7
TADA3
ATP2B2
RAF1
CAND2
ZFYVE20
COLQ
KCNH8
NR1D2
LINC00691
RPS12P5
AC099048.1
SUGT1P2
UBP1
ARPP21
TRANK1
AC097359.2
RP11-259K5.1
ACVR2B
SCN5A
WDR48
MYRIP
CTNNB1
CCK
NKTR
ZNF197
KLHL18
FCF1P2
SPINK8
COL7A1
QRICH1
AMIGO3
IP6K1
NAT6
DOCK3
IQCF3
PCBP4
DUSP7
NISCH
SFMBT1
DCP1A
DNAH12
DENND6A
FAM107A
C3orf67
CADPS
FAM19A1
UBA3
LINC00877
GXYLT2
PPP4R2
ROBO1
HTR1F
RP11-159G9.5
ZNF654
ARL13B
RP11-201E8.1
TMEM45A
CEP97
TAGLN3
RP11-90K6.1
RP11-572C15.6
CCDC80
GTPBP8
BOC
KIAA2018
LSAMP
RP11-384F7.2
RP11-768G7.1
RP11-768G7.2
ARHGAP31
RPS26P21
RP11-18H7.1
FSTL1
STXBP5L
OR7E29P
ALG1L
HMCES
TFP1
XRN1
LINC00880
C3orf80
KPNA4
B3GALNT1
RP11-71H9.1
RP11-298O21.5
LRRC34
LRRIQ4
SKIL
RPL22L1
TBL1XR1
RP11-114M1.1
RP11-33A14.1
RP11-145M9.4
GNB4
