SLC38A11
ATP1A2
MFSD2A
SLC38A5
SLCO1A2
C1orf64
SLC7A11
SLC6A12
FOXQ1
ZIC1
SLC7A5
ITIH5
SLC38A3
CDH6
ABCC9
MFI2
ABCB1
PDE8B
KCNJ8
ATP10A
PRELP
TFRC
PLXDC1
NKD1
NDUFA4L2
PRSS12
FOXF2
SLC39A10
LRP8
LEF1
SLC7A1
SEMA5A
ZIC2
NKD2
PDXK
CSPG4
EDNRA
PDGFRB
S1PR3
SLC6A1
SLC1A4
LRRC55
SLC3A2
NOTCH3
CDH2
MMP25
RP11-345J4.8
HOPX
PCDH18
ITM2A
SLC39A8
TTYH2
SLC12A7
NHS
CTD-2547E10.2
LAMC3
SPON2
GPCPD1
STRA6
RELL1
SLC9A3R1
SPOCK2
CD248
FLVCR2
CSRP2
DPEP1
SLC16A1
MIR143HG
DAAM2
GJC1
BGN
CAMK2N1
SLC30A1
CTD-3179P9.1
FRZB
MIR4435-1HG
HES4
GPD1L
PPARD
SERPINE1
PPM1H
GUCY1A2
EFR3B
BSG
SLC16A14
BBS9
SORT1
ABCG2
CCDC141
MAP1B
ESYT2
PON2
RGS5
PMEPA1
SMARCA2
CCDC3
MMP28
PDE5A
PIK3R6
MYO1B
SLC20A2
GGT5
CYTH3
PTEN
PRKCDBP
CD82
NREP
LURAP1L
TNFRSF21
C10orf118
CALD1
CHST2
LINC00607
QPCT
IL17RD
SESTD1
SAMM50
LINC00152
PRRX1
ISM1
DYRK2
FAM171B
DDR2
PINK1
RRP1B
SLC31A1
SGPL1
RP11-343N15.5
UFM1
AP3S1
