"x"
"AGT"
"AGTR2"
"ANXA2"
"AQP1"
"B4GALT7"
"BAX"
"BMI1"
"BTC"
"C1QL4"
"CCNA2"
"CCNB1"
"CD300A"
"CD74"
"CDC6"
"CDC73"
"CDK4"
"CDK6"
"CDKN1A"
"CREB1"
"CTC1"
"CTNNB1"
"DAB2IP"
"DACH1"
"DDR2"
"DHX9"
"E2F1"
"EGFR"
"EMD"
"EREG"
"ESR1"
"FBXO4"
"FGF10"
"FN1"
"FOSL2"
"FTH1"
"GAS6"
"GSTP1"
"IGF1"
"IL13"
"JUN"
"LIG4"
"LTA"
"MED25"
"MED31"
"MIF"
"MIR17"
"MIR494"
"MORC3"
"MYB"
"MYC"
"NDUFS4"
"NF1"
"NGFR"
"NLRC3"
"NUPR1"
"PARP10"
"PAWR"
"PDGFA"
"PDGFB"
"PDGFC"
"PDGFD"
"PDGFRA"
"PDGFRB"
"PEX2"
"PLA2G1B"
"PML"
"PPARG"
"PRKDC"
"RNASEH2B"
"S100A6"
"SFRP1"
"SIRT6"
"SKI"
"SPHK1"
"TP53"
"TP53INP1"
"TRIM32"
"WAPL"
"WNT1"
"WNT2"
"WNT5A"
"WNT7B"
"ZMIZ1"
"ZMPSTE24"
