CD200R1
CLEC1B
NPL
CA3
AC092155.4
ATRNL1
ACP5
CLEC4M
EDA
RP11-466L17.1
TIAM1
MAN1C1
OIT3
DPP10
CCDC39
PRUNE2
NHSL2
CRHBP
FCN3
MKLN1-AS1
SNX6
ITSN1
DAB2
FCHSD2
SLC9A9
OXR1
NR5A2
HIBCH
ACSM3
GALNT14
BMPER
GNA14
STAB2
SMAD6
ST3GAL6
GATA4
NRG3
ARRB1
NSMCE2
DNASE1L3
DUSP5
FEZ1
PARP4
AC004538.3
RTN4RL1
PRELID2
FAM196B
KIAA0196
CA13
RP1-193H18.3
SNX8
FAM222B
DIXDC1
RP11-568K15.1
SCAMP5
KIAA1211
NRCAM
ZZEF1
SOCS2-AS1
CTPS2
RARS2
WDR37
RP11-630C16.2
P2RX4
SOCS2
C6orf165
HSD17B14
RP5-864K19.4
MB21D2
GALK2
STAG3L2
ADCK3
EFCAB13
SYNJ1
ZNF846
RNF215
