CX3CR1
PDK4
P2RY12
LYST
MAP3K5
HTRA1
MEF2C
RP11-480C22.1
SYNDIG1
APBB1IP
MEF2A
SFMBT2
SSBP2
OLFML3
ENTPD1
SLC9A9
SORL1
SYT6
NAV3
KCNQ3
MAP4K4
SPECC1
ABCC4
SDK1
LINC00478
A2M
HS3ST4
ANKRD44
DOCK8
FRMD4A
MAML2
CPED1
P2RY13
DLEU7-AS1
SALL1
ST6GAL1
GAL3ST4
MERTK
SAMSN1
FMNL3
CSF1R
JAZF1
CECR2
RASGEF1C
NAV2
TLN2
MGAT4A
OSBPL6
IFNGR1
LY86
TENM4
C12orf75
ADC
PTPRJ
DCLK2
CAMK2D
USP53
FAM149A
CHD7
TMEM119
ITPR2
ANKRD44-IT1
IL17RA
LEPREL1
MMRN1
SIGLEC10
MED12L
MYCBP2
TLR10
PRKCA
NRIP1
JAG1
DOCK10
ATP8B4
GAREM
IL6ST
PLCL2
PPAP2A
SYT17
GCNT2
INPP5D
MCF2L
SPNS2
PTAFR
APPL2
LPAR5
TAL1
RP5-1031D4.2
RAPGEF6
RAP1A
LPAR1
FCGR1A
TIAM1
MKNK1
RP11-588H23.3
SLC4A7
PAQR8
LRCH1
DISP1
FCHSD2
RP4-749H3.1
SIGLEC8
TANC1
PCED1B
FAM135A
C10orf54
AL592494.5
GPR56
SRGAP2B
BLNK
JAM3
NLGN4Y
RECK
GSN
DIAPH2
GALNT10
USP6NL
SEMA6A
SP140
PTPN14
RP11-248J23.7
MICU3
SORCS1
ZNF608
GPR34
ADK
SPTLC3
RP4-735C1.6
ICA1
SNCA
NBEA
PLCXD3
MEF2C-AS1
ZNRF2
DAAM1
MBD5
UBL3
VASH1
MIR181A2HG
ITM2C
ARL15
LAT2
ELK3
CHD9
BIN2
NAA20
RP11-413E1.4
PKD2
DIP2B
RP11-554D14.6
PSMA1
SPATA6
ST5
MYOZ2
TSPAN7
CD53
RP1-249H1.4
RP6-99M1.2
SMURF1
CARD11
SLC7A6
HCG22
WDFY4
ARHGAP22
IL13RA1
FNBP1L
KBTBD12
ATM
KIAA0226L
SORT1
BRINP2
ST8SIA4
LRIG1
ADAMTS9
EXPH5
DCX
SLC2A13
SELPLG
AC009950.2
SLC25A12
WLS
FAM129A
MPZL1
TLE4
RP11-83A24.2
JAM2
ITGA6
ASTN1
TMPRSS4-AS1
DNAJC10
SYK
CTC-425F1.4
HDAC8
ALOX5
BICC1
MKLN1
RP11-64J4.2
SGMS1
REEP1
TMEM178B
CASK
RP11-960L18.1
BAZ2B
DEPTOR
PRR4
SNCAIP
ALOX5AP
HACE1
KDELC2
RP11-946L16.1
CPEB3
DDX26B
RAB28
PVRL3
COL8A2
UTY
ADORA3
SGSM1
C5orf17
SSPN
RP11-930P14.1
TMC7
ATF7IP2
SEMA6D
ARHGAP6
CDYL
DISC1
SNX13
SMURF2
GTF2I
TBCK
RP11-343N15.2
MIS18BP1
ASH1L
RP11-551L14.1
ANKRD18DP
TLR1
ZFYVE9
KIAA1598
OXR1
LINC00504
ZNRF2P2
GMDS-AS1
SPNS3
ZDHHC2
RP11-472N13.3
TRAF3IP3
C1orf112
CDH23
LIN28B
RP11-142M10.2
NUDT3
RP3-449O17.1
ZNF280D
EMID1
LRMP
TMIGD2
P2RX7
SCLT1
AF127936.3
RFC3
IGSF10
GLIPR1
CDKAL1
GLIS3
ARHGEF6
SP100
RASAL3
LINC00671
PRKD3
MFSD11
ANGEL1
CACNB2
ACY3
SLC44A1
MMP2
RFX7
ENTPD1-AS1
DUSP27
FAM172A
FAM198B
RBM19
KANSL1
MAST3
RP11-597D13.8
KAT6A
E2F3
AC021860.1
SNX7
MAMDC2
VPS13C
LEMD3
PTGS1
TTC17
BRIP1
C3orf70
KIF3C
ARL6IP5
TMEM173
RAD51L3-RFFL
RXFP1
NIPBL
CLASP1
FAF1
PLCG2
AP001347.6
LINC00539
GDPD4
CPNE5
SPATA5
CAB39
LRRC36
STAG1
TREML1
UGGT2
AMOT
SSH1
GATAD2B
KIRREL3
RP11-452F19.3
CEP128
RP11-346D6.6
AC034228.7
hsa-mir-6080
UBE2E3
RP11-1084J3.4
ZEB1-AS1
KTN1
THUMPD2
KIAA1211L
IL7R
HERC4
BVES-AS1
DOPEY1
BCAR3
ATF6
