MPO
TUBB1
PCSK6
NUSAP1
RP1-90G24.10
FAM117A
SLC22A16
NEAT1
MFHAS1
STOM
JAZF1
ADD2
DENND1A
MYO1D
PRDX2
MGST3
E2F2
KAT2B
RABGAP1L
MIR144
CD36
CR1L
EIF5AP2
AMMECR1
KEL
CROCCP2
SPTB
C17orf99
ABCB10
ALAD
GYPC
CYP17A1
CAMKMT
PIGQ
RP11-57H12.2
SLC22A4
DPF3
PIP5K1B
ABCC4
ANKH
TFRC
EPN2
AP2A1
CLU
AQP1
SNX22
SEC14L4
DHRS13
SLC11A2
UROS
STRN3
EPOR
H1F0
TUBA4A
CD46P1
LINC00299
GALNT10
MKNK2
TSPAN32
FAM211A
WRN
MYL4
AGO2
KLF13
GCLM
LGR4
CYBRD1
APOC1
KLF1
CHST11
RHBDD1
GDPD5
HAGH
ACHE
RNF123
RUNX1T1
RSRC1
SULT2A1
HIRA
ATP1B2
UROD
MFSD2B
THEGL
CDYL
STEAP3
EHBP1L1
MFAP3L
ARL6IP1
OAZ1
TSPAN14
NDEL1
ENDOD1
CREBRF
ANKRD55
RXRA
SLC30A10
CLTC
CRADD
CDKL1
EPB41L4A
PIK3R2
TXNIP
CDH1
PNPLA6
TET3
PAQR9
TSC22D2
ASH2L
AURKA
APOE
FAM222B
MBD5
SLC25A42
RPL17P22
CALCR
ZDHHC3
RP11-382A20.4
LONRF3
FAM132B
SP4
XK
GLIPR2
CDKN2D
AGPAT3
NEK1
UBE2K
ZNF37BP
RMDN3
RP11-798M19.3
MFSD6
FAM20B
METTL4
OAT
MGME1
ANKLE1
BTG2
AQP3
CTSE
ZBTB7A
KIAA1715
RP11-626H12.1
ZCCHC6
ZCCHC8
POLR3C
APLP2
HTRA2
RFPL2
PSD3
TRIM59
PSMD9
HPS1
RAB10
MSMO1
RAB11A
RAB3IL1
RP11-432B6.3
RP5-867C24.4
E2F4
RP11-314D7.2
FAM73B
IRAK2
MRPS9
NUTM2A-AS1
AK7
USP49
RBX1
ST6GALNAC3
ST6GALNAC4
GTPBP1
UBE4B
FRMD3
KRT1
TRPV2
SH3GL1
GLUL
ATP6V0D1
RAB6B
CMAS
LEMD3
