CHGA
TTR
ALDH1A1
ERO1B
CPE
SCG5
BEX1
EPCAM
SCGN
HDC
GNAS
UBB
RBP1
CHGB
PCSK1N
KLK11
SCG3
INS
NEUROD1
MAOB
EIF4A2
HEPACAM2
AZGP1
LHX5-AS1
STMN2
CYSTM1
C10orf10
ATP5E
CD24
SEC11C
SSR4
SPINT2
FXYD3
TMEM59
RPL3
ACSL1
PFN2
TUSC3
MS4A8
SLC18A2
SEZ6L2
TPD52
UQCRB
QDPR
MT1F
BEX3
GFRA3
GPR160
PCSK1
CIRBP
PDIA2
MTATP6P1
KIAA1324
PCBD1
PKIB
CALM1
MT1G
SRP9
HMGN3
SARAF
ZKSCAN1
CCKBR
BEX2
INSM1
FTL
SEC62
OCIAD2
SNRPN
DSP
UCP2
CLPS
C4orf48
VAMP2
SERPINA1
SOX4
C12orf75
LY6H
SERPINB6
ATP5L
PERP
EID1
PAX6
MAFB
APLP1
PTPRN2
MIR7-3HG
TSTD1
ATP6V1G1
SEPW1
PLD3
RAB3C
DSTN
TM4SF4
COX17
PAM
HSBP1
KCTD12
SST
UCHL1
CUTA
CLDN10
PLAGL1
PARVB
ATP5G2
PTPRN
LUC7L3
DYNLT1
SSTR2
SCG2
CLDN18
ISL1
CA2
MORN2
FLNB
RFX6
TERF2IP
MDK
LHX5
TMEM14A
ACVR1C
CST3
NDUFB4
XIST
MT1E
SMDT1
UQCR11
PCP4
STMN1
SMIM6
LINC00261
UPF3A
EIF4G2
MEG3
RAB11A
TSPAN3
KIF9
CD46
ERP27
ARL3
IMMP1L
GC
SLC30A8
DPY30
CRYBA2
MRPL33
FTH1
CADPS
GCG
FKBP2
DDX17
NPDC1
NONO
RPL41
PSMB5
QPCT
RBPJL
ARFGEF3
C2orf40
GABARAPL2
POLR2L
C1orf194
CETN2
ANAPC16
C3orf14
BACE1
PRDX2
HSPA1A
EMC10
DNASE1
PTPRF
COX7A2
COX7C
BEX4
RPAIN
ERP29
ENPP2
COX8A
SMIM22
YWHAQ
MAN1A1
FAM213A
DNAJC12
NDUFB11
PRKAR1A
TTC3
ATRAID
SCOC
BEX5
DUSP26
MEAF6
VSTM2L
ATPIF1
ERI3
SNHG8
ABCC8
CAMK2B
MEIS2
TUBA1A
FAM3B
GHRL
