PPBP
CCL5
TMCC2
XPO7
LMO4
TBCEL
FAM178B
AFF3
ATG14
LINC00534
C2orf48
ATP8A1
RP11-142C4.6
PLCL2
COL23A1
CD74
STON2
SPC25
CNKSR3
RNF220
HDAC7
SLC39A11
GATA2
WNT5B
PVT1
NKAIN2
ARHGAP15
CASC15
RNF130
SMYD3
PPM1H
PUS7
CPQ
NOP58
FNBP1
NR6A1
SLC40A1
MSI2
AUTS2
KIAA1211
TCF4
SNHG3
GRB10
STXBP5
SPN
ABCC1
SEPT6
FHIT
ADK
CMSS1
MECOM
RUNX1
RP11-453F18__B.1
PACS1
CUX1
RYR3
PRKDC
CALN1
ETV6
MEF2C-AS1
LINC00478
MIR181A1HG
WWOX
MACF1
RAD51B
STIL
COA1
IL1RL1
MYCBP2
GPHN
SLC39A8
PRKCQ
MYC
DIAPH2
CPVL
ACACA
FOXP1
MDN1
ST8SIA6
GPR141
LINC00884
APBB1IP
ZRANB3
HPGDS
PELI2
DCAF12
LDLRAD3
ST3GAL3
PNN
ZCCHC11
AFF2
PDGFC
TAF4B
RP11-761E20.1
KIF14
MPHOSPH9
IKZF2
BCL2
MCTP2
SERPINB1
ZNRF2P2
FAR2
TVP23C
ARID1B
ADRBK2
INPP5D
DMD
TSEN2
PIEZO2
TTC28
SESN3
HMGA2
BCAT1
LINC00989
CTD-2020K17.1
CHD2
PTPN7
EXOC6
ARL15
UBAP2
FAM35A
BCAS3
AKT3
MACROD1
XPO1
CCDC88A
HDC
EVL
HS2ST1
FAM171A1
KLHL5
DAPK1
MXD3
ANKRD33B
ATXN1
EIF2B3
MTAP
SOX4
SPATA5
UBE2E1
ATP2B4
AHCYL2
NFATC2IP
PAPSS1
PTCRA
ACBD6
ERGIC1
NOP56
LINC01036
STAT3
SLC12A6
WDFY2
PPA2
SIPA1L3
CCDC138
TESPA1
PRKACB
ARHGEF6
IGF2BP1
FXN
CHRM3
TAF15
GNA15
RNF24
TRAP1
RP5-1043L13.1
C1QTNF4
NDUFAF6
KIAA0020
IRAK3
BAZ1B
ZNRF3
ZZZ3
BIRC6
EXT1
TTYH3
EEF2K
VIM
MIPEP
SGK3
CD34
PTK7
NFATC2
KAT6B
PDSS1
MSH2
ACSL4
PDE7A
TGIF2
FCER1A
LMO2
PRKAR1B
MIR4435-1HG
RALGAPA2
FNDC3A
TMEM117
WDR44
STAU2
RABEP1
CBFA2T3
DENND1B
SNORA76
ZBTB20
COG5
PHACTR1
SORL1
MAP4
EGFEM1P
BAALC
CEP170
CDC7
OLA1
AHI1
GALNT2
DANCR
PMS1
XPO4
SLC16A10
AC004980.7
BDP1
LRCH1
C22orf34
SMURF2
ZNF69
RCC1
CCDC41
KPNB1
UVRAG
MLLT3
LYPLA1
ZNF124
MEIS2
THOC1
SRM
MED13L
NAA25
CSE1L
CD37
MAP7
CDK15
PLSCR4
FNBP4
FAM120A
CPPED1
SPTLC2
PPM1F
GPI
RP11-398G24.2
ITGA9
H2AFY
LARS
MIS18BP1
RUNDC3A
CBFA2T2
PAICS
HSH2D
C11orf49
RSAD2
RERE
SUZ12P
AC144521.1
ANKRD28
DNAJC11
LARP1B
CTDSPL2
MSRB3
CCNY
DNAJC1
PDSS2
TULP4
BICD1
PLAC8
PARP4
MAP2K5
NSD1
METTL16
SERPINB6
MDFIC
PPP3CA
TRMT1
DTD1
FOXK2
UCK2
NOL10
SHANK3
SPRED1
PREX2
SMTN
MTHFD1
E2F5
NEIL3
ITGB3BP
SMG6
FAM135A
GATAD2A
SUZ12
WDR12
SUMF1
STX8
NUP107
UBE2G2
EBPL
ASCC3
CDT1
PDCD11
SNAPC3
CLYBL
GTF2F2
ANAPC5
NDC1
TBL1X
CTNNBL1
AOAH
NAA15
CLASP2
SCAPER
LEPR
CD55
PPP2R2A
DHRSX
PRIM1
ESF1
DAP3
ERI3
ANKRD27
RPN2
BCKDHB
UBE2Q2
CALCRL
GRAMD1A
PAXBP1
DNAJB14
DLG1
RNF149
SEC14L5
PPP4R1
RPRD2
ESYT2
B4GALT6
PIGL
TRAPPC9
ZMYND8
ANKIB1
CYP7B1
HOOK3
RBFOX2
ARHGAP19
TUBGCP3
FOXN2
LRP8
KIFC1
FOCAD
NTN1
BRE
VPS13D
NR2C2
FKBP4
XRCC5
PRKX
EMB
GRB2
ZNF121
SH3RF1
INTS10
CD320
HLCS
TTC19
CCDC169
RNF145
STAG3L2
REV1
SMS
GLTSCR1L
SPATS2
ANKRD11
PIP5K1A
IFRD1
KIAA1731
PTAR1
S100PBP
TRIM24
SPINK2
SIPA1L1
HIATL2
PHLPP1
MRPL45P2
HIBCH
URB1
SNHG16
DPY19L3
MCCC2
GMFG
NAT10
STK33
ARL4A
TMEM2
SHPRH
ATE1
SNX14
NUP205
EIF3E
SIAH2
C4orf29
DHX33
ZNF141
BRI3BP
CFDP1
ME3
CBLL1
PNPT1
IL12RB2
ARHGDIA
ECHDC1
KDM1A
RPF2
AC009120.6
C2orf43
MAPK8
RCC2
HLA-DRA
PDPR
RP11-191G24.1
RP11-1023L17.1
FBXL20
ZNF618
EEFSEC
DENND6A
AKR1A1
RBPJ
TTLL5
MGST2
GMDS-AS1
RP11-37B2.1
EPHA1-AS1
P2RY14
UTP20
MCM6
NFATC1
JAKMIP2
RP11-85K15.2
UBA6-AS1
AP3B1
C5orf42
ABHD12
KIFAP3
TRIM37
DPY19L2P1
SLC25A36
RP11-458D21.5
PALM2-AKAP2
PPP6R2
CYTL1
EEA1
DHX15
CYYR1
CD81
F11R
PFKP
MAP4K4
HLF
DNAJA3
