PTPRG
ADAMTS17
LRRC39
NPL
ANKH
IMMP2L
TREM2
CDC14B
RTTN
CSF1
RALGAPA2
KAL1
APOE
BMP2K
VSIG4
ADAM28
BNC2
SPP1
SOCS6
MARCH3
RP11-556E13.1
GNB4
CHSY3
RP5-964N17.1
SMYD3
GPNMB
BICD1
MYO1E
FAR2
SESN3
UNC5C
PLD1
MITF
TBC1D12
NCK2
STEAP1B
CSGALNACT1
SPATS2L
PLA2G7
NCKAP5
DKK2
SAMD4A
AKT3
CYFIP1
ASTN2
SLC38A4
ATP2B4
TMEM144
RP11-792D21.2
RP11-93L9.1
CD84
LRRK1
GLDN
AC002480.5
RP11-10H3.1
ITM2B
MPDZ
LPHN2
CRIM1
HPSE
PMEPA1
ZFHX3
CAPZB
TBC1D4
FGL1
LPIN2
IL6R
MTUS1
RP4-543J13.1
RABEP1
NBL1
STRBP
SNX29
PLCL1
CTTNBP2
APOC1
PIP5K1B
NPAS3
ERC2
AKAP6
RASGRP3
DTNB
FER
PPP1R16B
ATG7
SRGAP3
AC007319.1
ESRRG
ANTXR1
GABRA3
RTN4
TIMP2
LPL
TNFSF18
TGFA
GLCCI1
RP11-536O18.2
ASAH1
RAD51B
GAS6
GALNT1
ABCC5
CPQ
ABR
CD226
GNAQ
MAP7
TRPM2
CYTH3
NRP2
DNASE2
FAM69A
TM6SF1
LINC00278
RGS10
ITPKB
SCMH1
SERPINF1
GPD2
ATP1B1
CD81
BMPR2
FHIT
SULT1C2
HPGDS
AP1B1
NUAK1
PEAK1
NNAT
SNX24
RP11-41O4.1
ROR1
ZNF804A
APBA2
PDE3A
FOLR2
LGALS3
CD37
APBA1
ALPK1
WIPF3
USP9Y
ZNF148
XPR1
BMPR1A
RNF130
DENND4C
CD99
SLC16A3
RIN3
RP11-99E15.2
C14orf37
ZNF292
ATP6AP2
RTN4RL1
GRID2
RP11-179A16.1
TEC
ATP6V1B2
SLC18B1
CD276
APLP2
COL4A3BP
GBE1
PKN2
SIRPA
HS2ST1
RASA1
ZHX2
STX7
RNF13
CREG1
CD99P1
INPP4B
PLA2R1
DDX60L
MAGI3
ENC1
FNIP2
ARFIP1
SDCCAG8
SLC44A2
PPT1
CDK17
APP
OSBPL3
ADAM9
ZC3H12C
IFRD1
BAI3
RP11-356M20.3
RP11-624C23.1
SYNE2
CAMSAP2
SLC7A11-AS1
HSD17B14
ARL5A
DDC8
UGCG
SH2D4A
KCNJ5
CTC-575N7.1
GM2A
ARHGEF10L
PIK3R5
BACH2
RP11-733O18.1
CTD-2337A12.1
PTN
WNT5A
KCNIP4
HIVEP1
RP13-884E18.4
S100A1
OSBPL1A
GTF2IRD1
PCDH17
NCKAP1
RP11-106M3.2
ANXA4
CRYBB1
KCNAB2
KLF7
KCND2
EVI5
GLCE
CTNND2
KCTD7
TIGD4
ASAP1
SCAPER
C7orf60
INA
NELL2
LPP
CAPG
KIAA1109
CHIT1
TMEM154
RP11-666E17.1
PPM1H
CEP350
ZIC1
RP4-756H11.3
OSTF1
GAB3
RYR3
CHI3L1
RP11-152P17.2
PILRA
NEK6
MTAP
OXCT1
MBOAT1
TWSG1
SH3BGRL
PDE8A
PTK2B
RP11-254I22.1
CD59
C2
PTMS
WDR91
KIF5C
RP11-712B9.2
ACER3
FAM159A
STAU2
INVS
KIF13A
RP11-281A20.2
MACF1
EVI2A
USP2
P4HA1
ZNF700
HM13
CREB3L2
ACSM5
LSAMP
NMRK1
CTB-32H22.1
VCL
C12orf5
NFIB
MBD4
FNIP1
RP11-145M9.4
LAG3
ST20
PIK3IP1
SMS
FBXO17
MGST2
DTNBP1
UBE2N
MICAL1
DOCK6
SOX4
EDNRB
TAB2
ST3GAL6
AC067959.1
RP11-187O7.3
RILPL1
DIP2C
SGK223
ZC2HC1A
CEP112
DFNA5
KIAA1328
AKR1A1
CALM1
LARGE
RANBP3L
NEUROD1
RP11-85F14.5
TUBB2A
SLC17A5
C12orf4
CDR2
ADCK2
TRPM7
PMP22
KIDINS220
DENND2D
HEXA
NFX1
AP001007.1
VPS37A
WIPI1
ONECUT2
ARHGEF9
GSK3B
RRAGD
LAMP2
FBXO40
SLAIN1
ADTRP
SFXN2
KAT6B
ECHDC2
NAALADL2
LAMP5
ATP6V0E1
MLLT10
SLC25A27
TBC1D32
AC005154.6
SLC15A3
AC011752.1
PPP1R13B
DYX1C1
RP11-271K11.5
ARMCX4
CHCHD3
MORC1
EXOC6
MYOF
TMEM87B
NFATC1
INTS10
COX10-AS1
CELF1
PPFIA2
ZNF69
PCNXL4
NUDT4
FGGY
CACNA1C
TXLNG2P
SEC22A
SEPT3
ZC4H2
ATP1A3
SCN2A
RCAN1
CTB-164N12.1
ZNF821
AC010890.1
GABRB2
WNT5B
TNPO1
ANKRD6
BCKDHB
GRAMD4
COL24A1
RHOT1
FAM155A
HMGB1P21
MLLT4
RP11-357C3.3
NEK3
NFATC2
SLC28A1
PAK3
RP11-370K11.1
STK3
ALMS1
DNMT3A
TTC14
ARHGEF11
ZNF532
UBA6
AVL9
LURAP1
GPR68
TMEM206
TPP1
NDUFAF5
SNX30
MPC1
FBXO10
HIBCH
SND1
KIAA1715
VPS41
TTTY14
CCL5
RP4-562J12.2
ITPKB-IT1
SLC25A13
TTC13
STARD9
PPM1L
AC097500.2
ATP7A
AGPS
RALYL
GFAP
BTBD10
AC002480.2
RP11-345M22.1
CCDC125
RP11-528G1.2
RP13-884E18.2
CNTN1
AMER2
TPTE2
STXBP5L
LILRA4
AP3B1
EPHB3
RGS12
RNF38
MANBA
TAS2R14
NUPR1
CTD-2353F22.1
GNPTAB
RP11-707P17.1
