FCN3
CCL5
HLA-B
MYL12A
CRHBP
IFITM2
IFITM3
MS4A6A
S100A4
HLA-C
CTSL
ARHGDIB
RPL32
UBB
FCN2
IFI27
HLA-E
RPS25
GMFG
H3F3B
CD52
RGS2
CLEC2B
ATP5E
BCL2A1
DNASE1L3
TIMP1
FCER1G
APOA2
TPT1
ALB
CD69
NKG7
HES1
RPL41
SERF2
IFITM1
CLEC1B
SERPINA1
RPL35A
CLEC4M
TYROBP
RPL37
OIT3
KLRB1
CLEC4G
GZMA
RGS1
ID2
ITM2B
RPL15
GNLY
RPL36
TTR
S100A11
HLA-A
CD36
GNG11
RPS23
G0S2
APOC3
CXCR4
MALAT1
LYZ
AIF1
CREM
FOS
A2M
IL32
CCL3
RPS15A
RPL11
LYVE1
IGLC2
TM4SF1
AMBP
ACTB
IL1B
PLAC8
RBP4
HCST
CMC1
FCGR2B
SOD2
APOC1
RPS20
APOH
FGG
LST1
GC
CFL1
CXCL8
TRBC2
AC092580.4
RPLP2
CTSS
RPS12
BST2
NAMPT
CST7
CARD16
CD3D
RPL19
TSPAN7
RPL13A
SEPP1
UBC
C1QB
SH3BGRL3
DUSP1
FGB
CALM1
RPL37A
FOSB
RPS15
HP
MRC1
APOA1
DNAJB1
PLAUR
TM4SF4
PCAT19
PTMA
RPL39
GPR65
RPS3
DDX5
IGHG1
PTPRC
GZMK
RPS13
RPL9
XCL1
CD4
PFDN5
CCL4
IFNG
CD53
GPR183
ARPC3
CTSB
IL33
LPAR6
ORM1
PLPP3
TMSB4XP8
FGA
CD14
DEFB1
SAT1
TRAC
MYL12B
IGLC3
CALM2
FCGR3B
RAMP3
PSMB9
PRCP
SDCBP
MNDA
LGMN
YPEL5
TMA7
CCL23
C5AR1
LCP1
HLA-DRB5
ALOX5AP
S100A8
IGKC
RPS11
ALDOB
TRBC1
PFN1
TGFBR2
HSPA1A
BTG1
LITAF
PLEK
RPS28
C8orf4
STAB1
TF
FPR1
GZMB
GIMAP7
XCL2
S100A12
CCL3L3
SAMSN1
FTLP3
RPL18A
C1QA
IL2RG
FCGR3A
IGHM
RPL36AL
VAMP5
IGHG2
CETP
