INS
DLK1
PLAGL1
ACVR1C
MEG3
CCSER1
IGF2
ERO1LB
MEIS2
MAFB
ROBO2
PDZD2
PAX6
RBP4
PCSK1
PDE4D
FXYD2
HADH
PLCXD3
MFAP4
SGCD
UNC5D
ECEL1
CNTN4
RPS3
ASIC2
FTL
MAFA
CNTNAP2
GLIS3
LINGO2
CAMK2N1
CASR
HSPA1A
AMN
GCK
NKX6-1
IAPP
ST6GALNAC5
LRFN2
STMN2
MNX1
FOXP2
VEGFA
CNTN1
OLFM2
PDX1
SLC29A1
EDARADD
SIM1
MEG8
CNTNAP4
ASB9
HSPA1B
EYA2
PCDH7
PSD3
SULF1
RAB3B
AGPAT2
NT5DC2
DMTN
CDH22
RPL7A
NTN1
PDE5A
GNG4
ASCL2
CHST8
HECTD4
CPA1
VIL1
AKT1
LPPR5
ASPH
DOCK10
EMID1
BACE2
ATP2A3
EEF2
KLHL1
C1QL1
RHOB
RPL8
TBC1D4
RPS9
PHACTR2
FBXO17
HPCA
TSPAN5
NTNG2
ADAMTS2
ORAI2
KCNMA1
ABCC8
SF3B5
ZDHHC14
MDFIC
KIAA2022
MEIS1
C19orf77
SLC16A9
RPLP0
RPL3
RPL37A
RPL5
SSC5D
ADRA2A
PITPNM1
PEMT
SFMBT2
CD81
KIAA1614
AC110781.3
FFAR4
ELFN2
PARVB
ZNF804A
EGFL7
MYT1L
RPS14
RPL28
GNB2L1
LMO3
TESC
BTBD17
STX1A
SCGN
MPP6
SURF4
ACLY
TMEM196
RAB11FIP4
IGDCC4
RPS5
RPS2
GRM4
NKAIN1
GLIPR2
HSPD1
SYT7
RPS8
LDLRAD3
PALM
IGSF1
TMPRSS6
GJC2
IGF1R
PRODH
RPL32
AMACR
C2orf54
TMEM132A
TRPM5
UBC
SAMD11
CTXN1
RPL12
KDELR1
RPS18
PCDH17
RPL13A
DENND2A
ANKRD6
NLRP1
GPD1
RPL36
SPTBN2
SCIN
SCD5
EMB
UNC5A
NMNAT2
PLEKHM2
RCN1
MTUS2
ACVR1B
RAB7L1
CDON
TFCP2L1
RPS4X
DUSP9
CALB2
RP11-566J3.4
RPLP2
DCX
RPL13
TMEM37
RPL27A
SLC4A8
PRDX5
RPS6
CAMKK1
INSM1
CCDC67
NISCH
NAT14
LMO2
CBFA2T3
SPEG
LRRTM2
DIP2C
RPL7
SLC29A4
NDN
FAM222A
NPHS1
PTPRF
PDCD5
KNDC1
UBTF
RPL18
NR3C1
DCBLD1
FER1L5
RRAGD
PDE4DIP
RPL27
ATRNL1
RPS10
RPL30
CDIP1
SESN2
AL132709.5
DZIP1
CCNI
RPL21
CDK5R1
RP11-38P22.2
CCDC88B
FBLIM1
RP1-206D15.5
GPR158
NPTX2
RPSA
EVPL
UCHL1
RPS24
TSC22D3
CYYR1
KCTD1
ZFAND2A
AMPD2
PPP1R16A
RPS23
SSBP4
SH3GL2
MEAF6
PLXNC1
RP11-58C22.1
EFNB1
INS-IGF2
HIP1
P2RY1
MAP2
NCOR2
LPHN1
GUK1
AL132709.8
TSHZ1
FCGRT
FTCD
HIF3A
MAF
RPL23
MZT2A
ZFP36L2
CABP7
RPS12
TRPM8
RPS3A
RASGRF1
HSPA6
