RP11-34P13.7
AL627309.1
RP11-168F9.2
RP11-542C10.1
KLHL21
THAP3
RP11-431K24.4
DFFA
MASP2
C1orf64
CLCNKA
MST1L
PADI2
AC004824.2
RP11-473A10.2
RP13-279N23.2
PQLC2
HTR6
C1QC
RP5-1057J7.7
RP11-223J15.2
RP5-886K2.1
SEPN1
CHCHD3P3
MED18
RP11-810H18.1
FABP3
HCRTR1
RP11-415J8.7
C1orf94
ZMYM1
OSCP1
MTF1
HPCAL4
RP4-739H11.3
CLDN19
C1orf50
MMACHC
TEX38
RP11-543D5.2
RAB3B
TXNDC12
AL357673.1
TTC4
BSND
RP11-90C4.2
OMA1
HOOK1
EFCAB7
INSL5
RP11-424D14.1
PTGER3
RPL31P12
SLC44A5
RABGGTB
MSH4
RP11-550H2.1
PIGK
USP33
NSRP1P1
PTGFR
RP3-445O10.1
RP11-170N11.1
RP5-836J3.1
RP11-486G15.2
CTBS
CLCA3P
GBP5
ZNF326
RP11-330C7.3
RP4-717I23.2
ARHGAP29
RP11-147C23.1
DPH5
RP11-20O24.4
AHCYL1
CCNT2P1
DRAM2
RP11-512F24.1
BCL2L15
DCLRE1B
SYT6
RP5-1086K13.1
RP4-753F5.1
TBX15
RBMX2P3
ZNF697
RP11-344P13.3
RP11-782C8.2
RP11-782C8.1
RP11-458D21.1
CD160
PDZK1P1
WI2-3658N16.1
CCT8P1
XXyac-YX155B6.7
HIST2H2BB
HIST2H4A
ZNF687
LCE5A
RP11-350G8.4
EFNA3
MTX1
FCRL4
RP11-451O13.1
USF1
FMO11P
DUTP6
RPL34P1
RP1-10C16.1
ATP1B1
CCDC181
RP11-297H3.3
GORAB
RPL4P3
TNN
PAPPA2
C1orf220
RP11-533E19.2
SMG7
NCF2
BRINP3
RP11-541F9.2
ZBTB41
RP11-16L9.1
RP11-469A15.2
TMEM9
SHISA4
GPR37L1
TMEM81
MFSD4
C1orf147
RD3
RPL21P28
FLVCR1-AS1
RP11-554K11.2
ESRRG
RP11-504P24.8
DNAH14
RP4-559A3.7
LEFTY2
CTD-2090I13.2
ZNF678
PRSS38
CCSAP
RP11-286M16.1
C1orf198
TSNAX
RPS7P3
RP11-478H16.1
RP11-182B22.2
MAP1LC3C
RP11-261C10.3
ZBTB18
COX20
FAM150B
TPO
AC108488.4
KIDINS220
ODC1
AC096559.1
AC106053.1
NCOA1
SLC35F6
AC109829.1
GALNT14
DPY30
CYP1B1
AC019171.4
PLEKHH2
DYNC2LI1
ABCG5
ABCG8
AC013717.3
RPL36AP15
FSHR
ACYP2
EIF3FP3
B3GNT2
AC096664.1
AC007365.1
AC007365.3
NFU1
C2orf42
FAM136A
ATP6V1B1
ZNF638
C2orf78
BOLA3
AC105342.1
AC079896.1
FUNDC2P2
SUCLG1
DNAH6
GNLY
PTCD3
CD8A
MTATP8P2
ZNF2
AC159540.2
COA5
RP11-299H21.1
AC108051.2
AC013402.2
AC068535.4
AC068057.2
POU3F3
RP11-443K8.2
SULT1C3
LIMS3
AC112229.7
BCL2L11
ZC3H6
POLR1B
AC104653.1
AC093901.1
TMEM37
SCTR
PCDP1
AMER3
TUBA3D
FAM201B
THSD7B
AC114763.1
AC064865.1
AC017080.1
KCNJ3
AC019186.1
PKP4
AC005042.2
AC009961.2
GCG
SCN3A
AC074363.1
B3GALT1
STK39
ABCB11
AC007405.6
SLC25A12
RP11-1O7.1
DNAJC19P5
TTN
SESTD1
AC104820.2
ITGA4
CERKL
SSFA2
AC097500.2
SLC39A10
C2orf66
MARS2
PLCL1
AC019330.1
AC018717.1
SATB2
MTND5P31
ENO1P4
AC079354.2
RP11-686O6.2
FAM117B
CYP20A1
AC007383.3
AC010731.4
AC093698.1
ERBB4
AC079610.2
AC012668.1
MREG
GPBAR1
CDK5R2
AC114765.1
AC114765.2
EPHA4
RP11-395N3.2
SPHKAP
DNER
C2orf82
MROH2A
MSL3P1
SH3BP4
UBE2F-SCLY
SCLY
TRAF3IP1
AC062017.1
GPR35
THAP4
GAL3ST2
AC090043.1
AC027119.1
AC026167.1
MRPS36P1
OXTR
LHFPL4
CPNE9
SLC6A1
FANCD2P2
HACL1
RP11-608O8.2
TBC1D5
AC104451.2
AC133680.1
AC092798.2
MINOS1P3
CMC1
GLB1
RP11-129K12.4
NDUFAF4P3
CTDSPL
KRBOX1
KRBOX1
SNRK
ANO10
TCAIM
ZKSCAN7
ZNF660
SACM1L
LZTFL1
CCR9
TDGF1
MYL3
AC109583.1
BSN-AS2
MAPKAPK3
GLT8D1
LRTM1
CCDC66
C3orf49
RP11-245J9.5
LRIG1
KBTBD8
FRMD4B
RP11-62G11.2
MITF
LINC00870
RP11-433A10.3
RP11-624D20.1
FAM86DP
ZNF717
RP11-779P15.2
RP11-383I23.2
LINC00488
DPPA2
RP11-572C15.5
ATP6V1A
ZBTB20-AS4
RP11-190P13.2
RP11-190C22.8
NR1I2
ILDR1
CASR
RP11-797D24.3
ADCY5
ITGB5
MUC13
SLC12A8
RP11-775J23.2
RP11-379B18.5
MGLL
RP11-434H6.7
IFT122
RP11-93K22.1
ACPP
RP11-469L4.1
RP11-375I20.6
CEP63
PPP2R3A
RP11-731C17.1
CLDN18
DZIP1L
MRPS22
RP11-764I5.1
ATR
RP11-88H10.2
RP11-758I14.3
HPS3
RP11-651P23.5
SELT
FAM188B2
GPR171
SUCNR1
C3orf33
RP11-379F4.6
BRD7P2
NMD3
KCNMB2
DCUN1D1
ECE2
EPHB3
MAGEF1
RP11-48F14.1
HRG
KNG1
CLDN16
TMEM207
ATP13A4
AC090505.6
AC090505.1
RP11-352G9.1
NCBP2-AS2
LMLN
RP11-478C6.5
TMEM129
ALG1L7P
UNC93B4
STX18
STK32B
EVC
RP11-586D19.1
HMX1
AC006445.7
RP11-341G5.1
LINC01085
CPEB2
PROM1
RPS7P6
KCNIP4
SOD3
CCDC149
RP11-302F12.3
SLC34A2
RP11-302F12.1
RP11-180C1.1
RP11-79E3.3
RP11-548L20.1
DTHD1
TCEB1P33
DCAF4L1
ATP8A1
GUF1
SLC10A4
SCFD2
FIP1L1
LNX1
AC069200.1
RP11-646I6.6
SPINK2
LPHN3
RPL17P19
RP11-798L4.1
RP11-12K22.1
YTHDC1
CXCL5
EREG
PPEF2
FAM47E
ENOPH1
MRPS18C
FAM175A
AGPAT9
RPL3P13
GPRIN3
STPG2
RP11-571L19.8
RP11-556I14.1
AC004069.2
RBMXP4
EGF
RP11-255I10.2
LARP7
RP11-119H12.1
UGT8
RP11-659O3.1
AC092661.1
RP11-384K6.6
QRFPR
RP11-381N20.2
RP11-404I7.2
RP11-9G1.3
PCDH10
RP11-775H9.2
RPL5P13
RP11-707F2.1
LRBA
RP11-18H21.2
RP11-206F17.2
RP11-153M7.3
MAP9
GUCY1A3
ASIC5
TDO2
RP11-502M1.2
RP11-366M4.8
CPE
RPL5P11
MORF4
FBXO8
WWC2
TRAPPC11
RP11-290F5.1
RP11-386B13.4
SLC25A4
F11
RP11-215A19.2
RP11-219G10.1
DUX4L4
C5orf55
CTD-2228K2.5
SLC9A3
CTD-2245E15.3
SDHAP3
IRX2
C5orf38
IRX1
CTD-2247C11.1
CTD-2247C11.5
RP11-531A21.2
LINC01018
RP11-480D4.2
DNAH5
CTB-40H15.4
RP11-124N3.3
CTD-2306M5.1
LINC01021
IL7R
NADK2
RANBP3L
OFD1P17
CTD-2130F23.1
PRKAA1
MROH2B
PLCXD3
SERBP1P6
C5orf28
AC112198.1
CTD-2023N9.2
ERCC8
ZSWIM6
RP11-631M6.2
RP11-305P14.1
MARVELD2
GTF2H2B
RP11-195E2.4
RP11-136K7.2
RP11-389C8.3
CTD-2376I4.1
TMEM171
CTD-2292M14.1
ZBED3
RPL7P23p
CTD-2179L22.1
CTD-2015H6.1
HAPLN1
EDIL3
RASA1
CTC-498M16.2
CETN3
ARRDC3
CTC-529L17.2
TTC37
ARSK
RHOBTB3
GLRX
