RPS6
RPS19
RPS18
RPS4X
RPS3A
RPS14
RPS23
RPL11
RPS16
RPS3
RPL15
RPS27
RPLP1
RPS27A
RPL5
RAN
RPL27
RPS24
RPL9
RPL31
NDUFAB1
STMN1
RPLP0
RPSA
RPL37A
RPS13
RPS15A
SNRPE
RPL19
CALM2
RPL7
RPS17
RPS12
RPL7A
RPL32
RPS7
RPS29
RPL37
RPS20
RPL35A
PRDX1
RPS25
RPS15
SOD1
RPLP2
RPL30
NPM1
RPL34
SLIRP
RPL13A
RPL21
CBX3
RPL3
RPL24
RPL26
RPL38
RPL36A
SNRPD1
RPL6
SNRPG
SEC61G
SSBP1
SHFM1
LAMTOR5
RPL23
GAS5
SKP1
PDCD5
HMGB3
RPL10
UQCRH
RPL23A
HSP90AA1
RPS8
HSPE1
CKS2
POU5F1
CCT8
CCT2
RPL8
HNRNPA1
SLC25A5
C14orf166
RPL36
DYNLL1
LSM5
HMGB2
TUBA1C
RPS5
RPL10A
PTMA
SNRPD3
COX6C
RPL35
RPL14
RBM3
CCT4
NACA
ATP6V1G1
GTSF1
RPL12
SNRPF
RPL28
SNRPD2
HN1
EEF1B2
SUMO2
RPL18
LDHB
RPL4
UBB
PGK1
RPS21
SAP18
SNRPC
RPL27A
PSMB1
BNIP3
TCP1
TCEB1
TUBB
METTL5
TCL1A
DNAJC15
ARPP19
ZFAND6
RPL41
NDUFB9
RPS26
ATP5A1
EEF1E1
PRDX4
SUB1
DPPA5
RBM8A
HNRNPDL
CCT5
CCT3
EXOSC8
BTF3L4
CFLAR
CCT6A
UBE2T
EIF3K
COX7A2L
RACK1
PFDN4
NAE1
UBA52
NASP
MDH1
COX7C
HENMT1
LARP7
PSMD10
SOX4
PDHB
LSM3
UBE2N
NOP58
TMEM258
XRCC6
SAT1
NDUFA6
PSMA3
EIF3H
ATP5G3
RBX1
PDPN
APOO
RPL22
CTSL
COX20
ILF2
KPNA2
CETN2
PFDN2
TRMT112
RPL39
ACTG1
ATP5O
HSP90AB1
SUMO1
RSL24D1
BCCIP
CKS1B
BANF1
MED4
SYCP3
C11orf58
MORF4L1
RPA2
MRPL42
TXNDC17
RPL18A
CNBP
ATP5J2
MGST3
GTF2H5
APOC1
