"V1"
"CCL5"
"NKG7"
"GZMA"
"ARHGDIB"
"CD3D"
"TRBC2"
"IL32"
"CCL4"
"CST7"
"TMSB4X"
"SRGN"
"B2M"
"HCST"
"CD52"
"HLA-C"
"PFN1"
"GNLY"
"TRBC1"
"GZMB"
"KLRB1"
"CALM1"
"SH3BGRL3"
"TRAC"
"HLA-B"
"MYL12A"
"IFITM2"
"IL2RG"
"IFITM1"
"HLA-E"
"CD69"
"HLA-A"
"ARPC2"
"RPS27"
"KLRD1"
"PTMA"
"RGS1"
"GMFG"
"LCP1"
"GZMH"
"CD7"
"AC092580.4"
"CFL1"
"CD53"
"RPS29"
"BTG1"
"CXCR4"
"PCED1B-AS1"
"RPS19"
"CTSW"
"RPL41"
"RPS15A"
"CD2"
"RPL23A"
"PTPRC"
"RARRES3"
"XCL2"
"TRDC"
"PSME1"
"XCL1"
"CLEC2B"
"CD3E"
"RAC2"
"RP11-543P15.1"
"IFNG"
"CREM"
"CORO1A"
"PLAC8"
"GIMAP7"
"ARL4C"
"PSMB9"
"RPL37"
"RPS25"
"S100A4"
"RPS27A"
"RPS20"
"ALOX5AP"
"RPL39"
"GZMK"
"CYTIP"
"RPS16"
"PRF1"
"UBB"
"CMC1"
"RPL30"
"CCL4L2"
"RPL35A"
"ACTB"
"RPL32"
"ANXA1"
"H3F3B"
"PSME2"
"EVL"
"TRGC2"
"CD247"
"ID2"
"RPLP2"
"RPL28"
"RPL37A"
"TMA7"
"RPS11"
"RPL36AL"
"RPL27A"
"APOBEC3G"
"RP11-761N21.2"
"RPS12"
"LAPTM5"
"RPL27"
"CD96"
"RPS3"
"LSP1"
"CARD16"
"HOPX"
"LEPROTL1"
"CD48"
"BIRC3"
"LCK"
"CD8A"
"RPL21"
"PABPC1"
"TYROBP"
"RPS28"
"ISG20"
"IL7R"
"GNG2"
"RPL26"
"RPS23"
"RPLP1"
"GZMM"
"LIMD2"
"UBA52"
"ZFP36L2"
"FGFBP2"
"ACAP1"
"LITAF"
"EEF1D"
"ABRACL"
"PSMB8"
"SARAF"
"IL2RB"
"MYL6"
"RPS21"
"SH2D1A"
"CLIC1"
"YWHAB"
"EIF1"
"RPS18"
"GIMAP4"
"BIN2"
"ISG15"
"TSC22D3"
"FYB"
"CD37"
"UCP2"
"CD3G"
"RPS15"
"EMP3"
"RHOH"
"ARPC3"
"RPL10"
"RPL13A"
"TRAF3IP3"
"KLRF1"
"HSPA8"
"SERF2"
"HLA-F"
"FCGR3A"
"ITGB2"
"TMSB4XP4"
"GPR65"
"NR4A2"
"APOBEC3C"
"HCLS1"
"ADGRE5"
"CLEC2D"
"CCL3"
"LINC00861"
"LTB"
"PPIA"
"RPL15"
"DDX5"
"FXYD5"
"CD160"
"TXNIP"
"RPS26"
"SON"
"DUSP2"
"FAU"
"TMSB4XP8"
"RPL35"
"RPL18A"
"RUNX3"
"TNFAIP3"
"GPSM3"
"WIPF1"
"SAMSN1"
"PPP2R5C"
"CYBA"
"CD8B"
"01-Sep"
"SUB1"
"LDHB"
"SNHG5"
"GPR183"
"RPL22"
"HINT1"
"BTF3"
"SELL"
"RPL4"
"GAS5"
"CCR7"
"YPEL5"
"TCF7"
"ITM2A"
"ATP5L"
"NOSIP"
"SNHG8"
"TAGLN2"
"CD27"
"RPL9P9"
"EEF1B2"
"RPL13P12"
"TOMM7"
"ICOS"
"RGS10"
"PSMA7"
"PFDN5"
"HNRNPA1"
"RP11-466H18.1"
"RPS3AP26"
"RPL36A"
"RPL12"
"COX4I1"
"SRSF2"
"DNAJA1"
"ARPC1B"
"SNRPD2"
"ZNF331"
"RPL18AP3"
"CACYBP"
"HSPE1"
"AIF1"
"OCIAD2"
"NPM1"
"RPL3P4"
"ZFAS1"
"AC007969.5"
"PGK1"
"CHI3L2"
"TRAT1"
"SPOCK2"
"06-Sep"
"GTF3A"
"APRT"
"RP11-234A1.1"
"RPL10A"
"SNHG6"
"TUBA4A"
"SLC2A3"
"EIF3K"
"GYPC"
"FCMR"
"RPL10AP6"
"CIB1"
"JUNB"
"NFKBIA"
"KLF6"
"SIRPG"
"SOD1"
"TMSB10"
"UXT"
"TAGAP"
"STK17B"
"ARHGAP15"
"ANAPC16"
"09-Sep"
"IL16"
"GSTK1"
"CNN2"
"RPL13AP25"
"RP11-864N7.2"
"GPR171"
"CAPZB"
"DGKA"
"COMMD6"
"STAT1"
"ZFP36"
"AAK1"
"C9orf16"
"PPP1R2"
"SIT1"
"ENO1"
"CDKN1B"
"SRSF7"
"CD79A"
"DENND2D"
"HSPD1"
"PIK3IP1"
"RPS2P46"
"SRP14"
"CHCHD2"
