CACNA1A
HS6ST3
ERBB4
CNKSR3
NEGR1
CDHR3
CACNB2
TPH1
SLC38A11
MIAT
TOX
TTC6
SOX2
KCTD12
ADCY2
LRRTM4
LINC00261
DDC
MS4A8
FGF14
SCG2
ZBTB20
RGS7
GC
PRICKLE2
DACH2
RORA
AUTS2
PTPRN2
FOXP1
KCNB2
NEBL
MAOB
LRBA
HS3ST4
IMMP2L
DMD
JUN
PTPRK
MSI2
CLDN18
FOSB
PPP3CA
REV3L
CHRM3
ADAM28
PDZRN3
VSTM2L
SCN3A
SLC18A1
UBE2E2
RIMS2
CBFA2T2
RGS17
ATP8B1
SV2C
SGIP1
KCNH8
HDC
RP11-305F18.1
PTPRE
MAGI1
CAMK2D
LY6H
RFX6
FOXN3
FOXA1
CNTN3
PRKAG2
MYRIP
FMNL2
FGFR1
SDK1
FGF12
RAB11FIP1
TMEM163
DGKH
FLNB
KALRN
JPH1
CDK14
SMARCA2
SOBP
DOCK4
RAB3C
PRKCH
FAM155A
NPW
MAP3K5
PDGFD
NFATC2
RFX2
RUNX1T1
DLGAP1
TCF12
PARD3B
ETS2
SNED1
DOPEY2
ARHGAP24
RP11-93L9.1
TEAD1
LPP
COBLL1
NAV2
FHIT
C10orf11
ASTN2
DIAPH2
SERINC5
CASZ1
SVIL
SSH2
USH1C
GCNT2
NHS
SHANK2
ARHGAP32
SOX5
BMP7
APBB2
CDH1
TXNIP
NBEA
MBD5
SEL1L3
SKAP2
FRMD4B
MAGI3
ATXN7L1
PROM1
RERE
SEMA6D
LGR4
AGR2
RASSF6
ZSWIM6
LRCH1
ZNF423
CDH2
ROS1
NAALADL2
COL4A4
ITPR2
MARK1
SPAG16
CLSTN2
ARID1B
ATF3
EVL
SBF2
TOX3
RABL6
SAMD4A
JUND
GATA6
CPEB3
PKIB
ITPR1
CELF4
ROR1
MAP7
SLC18A2
SMARCC1
C4orf19
MLLT3
GRB10
CDK8
GAB2
GNAQ
NFASC
MPDZ
ARHGAP10
FGD6
UCP2
STK39
JAG1
NEDD9
COTL1
NME3
TNS3
UBE3C
LMX1B
JMJD1C
DOCK5
DNAJB6
PSCA
ZMIZ1
ACOXL
SEMA3D
DOCK6
OSBPL1A
TBL1X
ZNF608
SLC26A5
ESRRG
DEPTOR
EFNA5
NR3C2
PLEKHA5
USP3
EXOC6B
CDC14B
SLC2A13
OR51E1
RABGAP1L
TBC1D22B
C10orf10
PELI2
PPDPF
ARHGEF38
BRAF
UNC13B
ARHGEF28
CAP2
FAM134B
SLC12A8
FAM181B
FAM49B
MED13L
ABCA5
SIDT1
MAPK10
C3orf52
ABHD2
RP1-60O19.1
RAB30
TMTC2
ERC1
ABCC1
SSBP2
OPCML
EPB41L5
RP11-767I20.1
THRB
CACNG4
FAM160A1
NEDD4L
FAM149A
FBXL20
C2CD4B
DOCK9
RALGDS
STARD9
IER3
GPHN
LAMB3
KLHL13
JAZF1
PLD5
H1F0
DDAH1
RALGAPA2
EIF4G3
ZNF331
DOCK1
IGDCC3
CABLES1
BICD1
SH3BGRL
STX8
RRP12
FAXDC2
TMEFF2
EXT1
DLG1
ERC2
ASAP2
GCNT1
GOLGA4
SNTB1
PER1
COBL
PRELID2
ST6GAL1
VGLL4
ATP9B
MACROD2
MAFF
ZBTB7C
RBPJL
PRDM5
CHD6
RAP1B
ZFYVE9
ARHGAP44
SLC25A29
USP54
TMOD1
BTBD9
ETV6
MDGA2
CYSTM1
DMWD
MKL2
PARD6G
JARID2
FNBP1
PLEKHG4B
UBE2H
CDYL2
KCNG3
KANSL1
UNC79
CERS4
DMPK
F11R
DNAJA1
CHDH
RAPGEF2
ECT2
IGF2BP2
HMGCS1
MLPH
SAMD12
KLF5
SRRM3
CELSR1
NT5C2
RANBP17
VTI1A
CRIM1
BHMT
ST3GAL6
DNAJC22
ESYT2
RELB
UBE2D2
RNF11
PGAP1
